,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30
g000,0.04198446942838651,0.25463741576863985,0.3959827837774484,0.24738278341773948,0.04963523838930502,0.006985017097980074,0.0022937166066456446,0.0012466988628814307,0.0007810399440203128,0.000453268698710237,0.00026842825142188366,0.00016648454153750077,0.00010744231313488072,7.037385157341225e-05,4.6128125489368716e-05,3.0093301718038213e-05,1.924356523346586e-05,1.2024542563469466e-05,7.306776432174371e-06,4.305114307714459e-06,2.4543565873224073e-06,1.3530794646116697e-06,7.26163030083637e-07,3.785252915002995e-07,1.9043681240139947e-07,9.324224537590839e-08,4.4291011802525233e-08,2.0437194217469226e-08,9.220396683389447e-09,4.071091617486793e-09
g025,0.03968383418843049,0.2422239236629918,0.37485602666325496,0.23570300472884897,0.05078927721572306,0.008718639942187837,0.0028896893444703945,0.0013520025775216856,0.0007647854921134085,0.00044435129900949533,0.0002742862507106633,0.00017951753624772425,0.00012271877551500309,8.549471999544367e-05,5.9850275419947866e-05,4.191564614845926e-05,2.8971699397065494e-05,1.9731066938567073e-05,1.3180668909010622e-05,8.60977133819562e-06,5.499777823829081e-06,3.425610248765209e-06,2.091070644005119e-06,1.2493508875854987e-06,7.27520519155511e-07,4.1391626105928186e-07,2.302052203267179e-07,1.2514468664790784e-07,6.676226549389738e-08,3.491735324926343e-08
g050,0.036439508092535385,0.2244516288488145,0.34759976422358374,0.22101078525308648,0.05051411938527878,0.010285418720393116,0.003845214810361516,0.0017296020199471217,0.0008161701735008996,0.00043297372786068824,0.00026510222742540416,0.00017768493951327819,0.00012512401275030982,8.975897584809491e-05,6.461889485151775e-05,4.65319625352693e-05,3.311472346975403e-05,2.3282572220280913e-05,1.6115417012455682e-05,1.0956382623701025e-05,7.325717837663584e-06,4.805041149625984e-06,3.1073465748245337e-06,1.980631006706501e-06,1.2407128963297186e-06,7.650170187703513e-07,4.6557828972808713e-07,2.795594688217368e-07,1.6630042401748104e-07,9.797347268468317e-08
g075,0.032408731872344984,0.20217288104758085,0.3169483547892587,0.2042084418564558,0.04900246590258148,0.011397063698689838,0.004888234136922181,0.0023151146001643657,0.0009579807549366971,0.0004405786805585567,0.00025444568501177084,0.00017094094707358314,0.00012290132922036274,9.018721594957187e-05,6.629405552582623e-05,4.8671550247980164e-05,3.5306130199795244e-05,2.531874486296954e-05,1.789932718321328e-05,1.2453346989856642e-05,8.544207606714819e-06,5.768884010114473e-06,3.853995008405293e-06,2.5488467068128834e-06,1.6662967713437625e-06,1.0790063769052836e-06,6.949852022002329e-07,4.4568538418913256e-07,2.85866842369159e-07,1.8358649485463436e-07
g100,0.02880580503068183,0.18135336202577818,0.2874433005256168,0.18633055446901498,0.04650339769301574,0.012021250003023787,0.006057472294902639,0.003338305402805218,0.0013649674981258669,0.000532748361346848,0.00025879966455270365,0.00016172636862772056,0.00011567003649255061,8.625084853162521e-05,6.465245463476189e-05,4.839288032338578e-05,3.578229101165026e-05,2.6168903816492362e-05,1.888599996377093e-05,1.3433542242250443e-05,9.442558549486273e-06,6.54808667348052e-06,4.506548931377041e-06,3.0825857633854822e-06,2.095824134082328e-06,1.4206641845532994e-06,9.658289029465402e-07,6.602619779280907e-07,4.565221416099076e-07,3.1978827371568293e-07
g125,0.025809162127824227,0.16345912849789507,0.2592357363168413,0.16842277344030218,0.04348761202902669,0.01209835918016489,0.006878417324126958,0.00438262902467657,0.0019751226315900742,0.0007462015129521999,0.00030325933079816545,0.00015994094601058914,0.00010677698466411456,7.909680456199883e-05,6.009887302087185e-05,4.580147664357328e-05,3.451317067836573e-05,2.574033178975804e-05,1.896607613932918e-05,1.3796988716152607e-05,9.941323957526747e-06,7.087555008087789e-06,5.03310920827062e-06,3.5685507470120696e-06,2.5306093617330138e-06,1.802129831816173e-06,1.2981306806178576e-06,9.492198563168907e-07,7.084638982961417e-07,5.401129434749587e-07
g150,0.022842171276495245,0.1455318338383662,0.23077576350754614,0.15102531354815,0.04043403047104996,0.012059954700357685,0.007628781685930191,0.005534716789815929,0.0028198551052055947,0.001128935447791213,0.000420394396841061,0.00018015694816639563,0.00010137351686400608,7.022662636173898e-05,5.29988277675495e-05,4.092723243516631e-05,3.1398760192023174e-05,2.3866941745235114e-05,1.7936392014937817e-05,1.3324376465137323e-05,9.821760407110584e-06,7.1801915008075624e-06,5.243216554068826e-06,3.835896595221009e-06,2.8191416257355375e-06,2.0902453563574065e-06,1.5750348711252094e-06,1.209883313610473e-06,9.512934652051427e-07,7.651235098861802e-07
g175,0.019874588744893704,0.1275371459394076,0.20306517226634208,0.1345255722716389,0.03732029803850418,0.01152126309333148,0.007626701713787236,0.006027506338728242,0.0034258489750311765,0.0015091447408407963,0.0005766004645474979,0.00022296944294633277,0.00010299798776300247,6.1035001442605164e-05,4.328155229474381e-05,3.3207562930418245e-05,2.582171420643623e-05,2.001506758285184e-05,1.5370155770246166e-05,1.1682042043549868e-05,8.822347049874047e-06,6.618245076602926e-06,4.967020308433154e-06,3.740602377072104e-06,2.8349879781389496e-06,2.1701728073634374e-06,1.6887821401150786e-06,1.3389382478744172e-06,1.0843767454463853e-06,8.9585783582834e-07
g200,0.017135525867577484,0.11077812680821827,0.17741969607201452,0.11926759018261973,0.03438240759301749,0.01077308077697956,0.007155286175765155,0.0059086484518280314,0.003596984596888334,0.001713140259591191,0.0006968261595492584,0.0002675657400023408,0.00010924821719949603,5.3159332464077946e-05,3.2530356217935095e-05,2.3562666743599746e-05,1.82206390331661e-05,1.4356344718405933e-05,1.1306662975593445e-05,8.854734935519713e-06,6.911700632141431e-06,5.372637804323005e-06,4.186375681434636e-06,3.2769427102683257e-06,2.5833432577954398e-06,2.0559114422541347e-06,1.6599182197454253e-06,1.3610742332006132e-06,1.1349938382511781e-06,9.608342594817996e-07
g225,0.014560528224176788,0.09498376709591698,0.15385088471865874,0.10530208271596145,0.031623571969712924,0.009788686577082572,0.0062204759028015285,0.005084074221453777,0.0032159736917907553,0.001610634986938189,0.0006882498345241729,0.0002698585615530314,0.00010571514216459608,4.513856399499218e-05,2.3331637864403696e-05,1.512607246047641e-05,1.1267494971532617e-05,8.943347209542602e-06,7.250121068915012e-06,5.907006912843308e-06,4.823224153713559e-06,3.933842244431844e-06,3.2195562504933018e-06,2.6448648754984107e-06,2.1843054422624786e-06,1.8149674289949124e-06,1.5226128168500763e-06,1.2902618563411377e-06,1.1051236855967888e-06,9.554897973410904e-07
