,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30
g000,1.249444820515799,6.683705612337116,7.842611585851588,3.349900347153168,0.4409584812718175,0.04143552340548863,0.013435611822866693,0.007034776583887863,0.003976942982703113,0.0019954458233245394,0.0009912948375447718,0.0005187165960663872,0.0002844059790060066,0.00016009069370570165,9.255309467900915e-05,5.490372746683087e-05,3.2660351112351415e-05,1.931040192742314e-05,1.1235654863924711e-05,6.39509376725952e-06,3.551857953200358e-06,1.93112525664376e-06,1.0418490419596136e-06,5.629992030845393e-07,3.091227575706364e-07,1.7844773572248493e-07,1.1105283685678066e-07,7.568560281529769e-08,5.640177907448155e-08,4.4972267411904376e-08
g025,0.9636463232987852,5.316612634246257,6.487078086396422,2.8786168948208997,0.40884314969618113,0.045957375912053476,0.014579783681031163,0.006887650217194554,0.0036929378008023895,0.001863759127403,0.0009575705948877867,0.0005224231265990684,0.00029953421689858054,0.00017697053627647167,0.0001075760950459041,6.719470274936957e-05,4.221695526708643e-05,2.6483664794896758e-05,1.6440995009700103e-05,1.0047783939785829e-05,6.042550404259952e-06,3.580976652644638e-06,2.1148230733364925e-06,1.2527414743449328e-06,7.508746524307386e-07,4.643479150399843e-07,3.0113365153396434e-07,2.0738172588328332e-07,1.5253883842939426e-07,1.188822422606743e-07
g050,0.7519377154324867,4.265284159201783,5.376156288099891,2.4664670005008955,0.3766117993892635,0.04947876057431713,0.01633780872984268,0.007239199745963524,0.00351490116217268,0.001707832605604077,0.0008861555680579871,0.0004969829202928657,0.00029453775609235137,0.00018015554770030353,0.00011319276205434471,7.293309292076188e-05,4.724868523696034e-05,3.0605314384247445e-05,1.9677904112509416e-05,1.2512638625482754e-05,7.876817650619998e-06,4.91886808726848e-06,3.079914828827845e-06,1.944528518853836e-06,1.2459989048698925e-06,8.203449433308802e-07,5.60373310745628e-07,3.995559163892077e-07,2.984084480483002e-07,2.3240009242881411e-07
g075,0.5956626538082003,3.453860420719856,4.434437054318916,2.108408329667586,0.3448153612208654,0.05120397086666026,0.017966503807033664,0.00787598761654521,0.0034558240232128003,0.001563080441747741,0.0008009901240529201,0.00045751007373822695,0.0002794596637209638,0.00017658806118638662,0.00011433676196933578,7.568944440880849e-05,5.032461849088789e-05,3.347832445480387e-05,2.216197345023509e-05,1.4567532244349891e-05,9.528434758519029e-06,6.218760989342563e-06,4.091821392251186e-06,2.727067767041849e-06,1.8494892375146818e-06,1.2854558570680471e-06,9.199678247750875e-07,6.788329879541514e-07,5.16654111058303e-07,4.0409723329094385e-07
g100,0.45948211089094315,2.7295534349085715,3.6064307452578137,1.7930071277575055,0.3128004792187572,0.05037993654090542,0.018951085346732063,0.008927725712161348,0.00374050345653172,0.0015257414657843078,0.0007249885526211167,0.00040561779555973185,0.0002517183943723736,0.00016365718076024455,0.00010911976365644058,7.422218584086235e-05,5.0654178776991935e-05,3.4613006069928735e-05,2.3594086290565437e-05,1.6035367822891016e-05,1.0896952918331403e-05,7.430825826441362e-06,5.13624296040316e-06,3.612623159768427e-06,2.5941869431819387e-06,1.9079614952936095e-06,1.4399428752915093e-06,1.1128449935248432e-06,8.791002778130628e-07,7.062133429191939e-07
g125,0.35254006198322924,2.1454701583655456,2.941084114675397,1.5224895650658974,0.2826356441165361,0.04814250945697716,0.01916309777685509,0.010015169648008358,0.004358161260077925,0.0016726611557633612,0.0007011986817915724,0.00035914965632543726,0.00021815444460312382,0.0001439949928542553,9.845724446826957e-05,6.867865565080716e-05,4.802916375078341e-05,3.3641066199545444e-05,2.3550583867895184e-05,1.649143313892873e-05,1.1593049418131748e-05,8.21348627919922e-06,5.921984338349165e-06,4.358661276193932e-06,3.282492546630627e-06,2.5314678393614105e-06,2.0003988806799816e-06,1.614000757517931e-06,1.3260688429297232e-06,1.103020869628781e-06
g150,0.2781084451550651,1.7232447423731665,2.4158577762407547,1.2957169859651796,0.2551954769398023,0.04561581800437265,0.019263789216558424,0.01122591233520024,0.005281273342899034,0.002029955723434402,0.0007598339327271114,0.0003338154538798214,0.0001845761564219252,0.00011912727544589535,8.248361899094794e-05,5.880880671177207e-05,4.2085970357564e-05,3.0160019777515064e-05,2.1612597804680018e-05,1.5514631420439217e-05,1.1204139859949763e-05,8.172877200776083e-06,6.078412801095902e-06,4.620983506980061e-06,3.5973055669537154e-06,2.866794897154247e-06,2.338999309678068e-06,1.9460620268741448e-06,1.64599422801429e-06,1.4072607885774079e-06
g175,0.21711883494275502,1.3707663305323463,1.9624853437406693,1.1050834228425697,0.23026138597325993,0.042707187716114245,0.018535526545166027,0.011436632907858962,0.005681047227647025,0.002229514093955544,0.0007946773147484309,0.00030899515213614337,0.00014980520383124548,9.005881635880826e-05,6.151210241080705e-05,4.444737169650293e-05,3.251588507043004e-05,2.387978772545926e-05,1.755552832746164e-05,1.294226951295569e-05,9.607686024712408e-06,7.208400957536548e-06,5.512629715080293e-06,4.3049221192622545e-06,3.437252754458422e-06,2.8031696451463343e-06,2.334996406518146e-06,1.9789886173536593e-06,1.7015393758131628e-06,1.476346941119824e-06
g200,0.1665177965441544,1.0702083719242144,1.5858821693870706,0.9436219175995155,0.20691515304611416,0.039255475554939114,0.016924700839463354,0.010399814746697203,0.00516326574594819,0.0020121201738624583,0.0007042300702490876,0.0002575320002632031,0.00011167115787739697,6.0532097602372184e-05,3.940302242366293e-05,2.8391404921077022e-05,2.1160109164345038e-05,1.5981607036938093e-05,1.2141927731718389e-05,9.2823016587252e-06,7.159038200078346e-06,5.584033674777534e-06,4.43534995588631e-06,3.5885832525097237e-06,2.9589167747086e-06,2.481720474748174e-06,2.1171562869427865e-06,1.830651073830569e-06,1.6005167149266566e-06,1.4084481866369345e-06
g225,0.12997700901050455,0.8466374891929191,1.3006023725348992,0.8077438676871523,0.18510936008213852,0.03499765571930828,0.014325583361962133,0.008143757498803764,0.0038871359830172816,0.0014953325186112872,0.0005291508911973395,0.00019171048375397993,7.753960310881365e-05,3.763099993334101e-05,2.2579185084576885e-05,1.586617911200696e-05,1.1962757257929688e-05,9.312174736293277e-06,7.361947932811769e-06,5.8887059274697815e-06,4.761114739082268e-06,3.892563435877814e-06,3.2327038529790142e-06,2.723165881217594e-06,2.3262824375774895e-06,2.0104801599346337e-06,1.758079125591674e-06,1.5512121963745944e-06,1.378667388748421e-06,1.2297798918483946e-06
