,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30
g250,0.035253322360698267,0.23202537751011856,0.37792375715383886,0.2607704716167923,0.07595708631460292,0.016586798911159193,0.005118044071413811,0.0018010134942807732,0.000637341867225588,0.00020243074072847397,6.520820303992286e-05,2.3167600538496732e-05,9.335892650054923e-06,4.340214929817653e-06,2.4899817532811854e-06,1.7594670986926615e-06,1.4155325903430264e-06,1.2275558996546202e-06,1.108150174129166e-06,1.022045248084907e-06,9.464116570949429e-07,8.769571071850633e-07,8.126795360986324e-07,7.501560344214199e-07,6.899271271785407e-07,6.306055354066642e-07,5.737304865108443e-07,5.190977983626445e-07,4.6724769432871295e-07,4.176642661965815e-07
g275,0.030102141546391705,0.1986178596746224,0.325208010872256,0.22959017472755056,0.0702492852853239,0.015190780565622458,0.0044850383865124915,0.0015544804525874608,0.0005687782991816417,0.00018895328657587707,6.387645850904091e-05,2.3399026991334312e-05,9.220271849398471e-06,3.87393501621546e-06,1.9094268989490367e-06,1.2089766641161973e-06,9.364828898928892e-07,8.174052302205878e-07,7.52378468928034e-07,7.069840184068887e-07,6.642623163343802e-07,6.22196572877044e-07,5.811913191260512e-07,5.396522425306626e-07,4.985858063184253e-07,4.573298375878153e-07,4.17263498848025e-07,3.7842297451253266e-07,3.4130242028872776e-07,3.0561001206889595e-07
g300,0.024911892598456747,0.16618923796979834,0.27671586629658307,0.2037578912067,0.06607146958598846,0.014385001917418481,0.004065224281762216,0.001353562106582082,0.0005014955250563666,0.00017393611978834864,6.260102603162304e-05,2.478660219708954e-05,1.0469976534393128e-05,4.5472570324007775e-06,2.113800451158252e-06,1.159156812708669e-06,7.731647337067838e-07,6.155674929911804e-07,5.452109152167429e-07,5.071723186564358e-07,4.771341428235305e-07,4.491213309031672e-07,4.2179647784002895e-07,3.93574794941452e-07,3.6515178691675517e-07,3.3610403542918267e-07,3.075508246075634e-07,2.7959757279246144e-07,2.5267452526976554e-07,2.2663191840189305e-07
g325,0.020404459688937737,0.1376952648401403,0.23602248598059408,0.18268755532468192,0.06313033190551041,0.013890798482170553,0.0037443416092584826,0.001177898022626692,0.00043422018962015907,0.00015647553689791815,5.970534668038365e-05,2.5554064484283774e-05,1.1655906948200161e-05,5.379661777046311e-06,2.5129710046439028e-06,1.2697736394103801e-06,7.272505210414227e-07,4.977817632110817e-07,4.003895379218065e-07,3.5642306951858975e-07,3.3042237069828886e-07,3.1051391940914663e-07,2.925105712454062e-07,2.7409077260235973e-07,2.553582088446975e-07,2.359404414538478e-07,2.1661788734919661e-07,1.9750597657411127e-07,1.7894049855285935e-07,1.608570898375376e-07
g350,0.017243788665294014,0.116870809647273,0.20542285618387282,0.1660022452709192,0.06173766039518571,0.013818940422655369,0.003544980849783731,0.0010341742782866443,0.00037078871557664177,0.00013769664703861418,5.5210790885216335e-05,2.5357032151825667e-05,1.244443385414943e-05,6.150677157283109e-06,2.9964011675089405e-06,1.497299038963822e-06,7.858627781047141e-07,4.6155604748623436e-07,3.1713981395377636e-07,2.531348178038231e-07,2.216827895384535e-07,2.03531640259828e-07,1.904317838617713e-07,1.7842911270736883e-07,1.666416358027415e-07,1.5446122546024215e-07,1.422815038367715e-07,1.301434852645056e-07,1.1826231428403722e-07,1.0661025035618577e-07
g375,0.0147755979794352,0.10088209852466312,0.18123650385416673,0.1526290939301154,0.06156983843535293,0.01431497319246709,0.0036095456657715018,0.0009479333283552751,0.00031697619955278023,0.0001182286338166461,4.870212066852063e-05,2.3578097442261393e-05,1.2356658309882208e-05,6.5705319373915445e-06,3.4293034375016853e-06,1.7980828793745989e-06,9.482214686380649e-07,5.216114345014219e-07,3.1259831595727e-07,2.1223186062206855e-07,1.6331639143073382e-07,1.3870466440859053e-07,1.2497448001760167e-07,1.1539523785209588e-07,1.0740622588121471e-07,9.974546543932255e-08,9.225315422484061e-08,8.478448607159863e-08,7.741942354524506e-08,7.0124949189898e-08
g400,0.012748736213903804,0.0878271869090909,0.16151353741523444,0.14311435605843537,0.06335561963326444,0.015599180150667857,0.003957083643766696,0.0009329147838228014,0.00027615667154742466,9.982222351720143e-05,4.11408890393364e-05,2.043685169674227e-05,1.1181798812554849e-05,6.265413764504272e-06,3.46013206601709e-06,1.910060705966089e-06,1.0469144607171335e-06,5.808872881342588e-07,3.340176353863039e-07,2.0548051487923404e-07,1.3914093048556005e-07,1.0508562873982611e-07,8.721951034823567e-08,7.679426778475504e-08,6.977737333745309e-08,6.416099496846983e-08,5.918592820822518e-08,5.445112069056216e-08,4.985505465057466e-08,4.531572502963943e-08
g425,0.010982536230587647,0.07663535767286017,0.14546322048732413,0.13718825131441598,0.06681855221252209,0.01764402948417836,0.0046750513332215575,0.001054210340593122,0.00025809196882952133,8.463308590079566e-05,3.399638202582304e-05,1.6937303433809333e-05,9.461702472593342e-06,5.447107646236089e-06,3.102195209729131e-06,1.7595832932456649e-06,9.873245451791308e-07,5.546512027165425e-07,3.164818795335306e-07,1.871695644961222e-07,1.1795758124883673e-07,8.131126003004162e-08,6.193470562850835e-08,5.115408132460118e-08,4.463741545599751e-08,4.01608473971059e-08,3.668863655834144e-08,3.3663726527689484e-08,3.0860932036685975e-08,2.814566721336833e-08
g450,0.009620182553557791,0.06798788901616017,0.13396871567133797,0.13492378753775738,0.07237474982586088,0.020829168697316977,0.005775739182322645,0.0012489425731927065,0.000250057396770386,7.201867874523618e-05,2.7583746312885545e-05,1.3567910627442966e-05,7.678435111304893e-06,4.524027948414085e-06,2.656804680209242e-06,1.551775880201893e-06,8.96833548124199e-07,5.157516731781625e-07,2.974562281320029e-07,1.7357931996009285e-07,1.0443563101241727e-07,6.629142269771643e-08,4.55195385136627e-08,3.400579622883896e-08,2.7395594988719658e-08,2.336545212407975e-08,2.0688517299576766e-08,1.8683393847911144e-08,1.7019843174762828e-08,1.55097602541014e-08
g475,0.008591944059907548,0.06178100449324496,0.12691243697638224,0.13622279889382663,0.08039839706613677,0.025650580145304584,0.007532192118726502,0.0017172734221445297,0.0002917301048528864,6.59594462589272e-05,2.2609040437309476e-05,1.0679393873722785e-05,6.006976677060053e-06,3.5620256416326588e-06,2.1185976381052346e-06,1.2513680029363453e-06,7.311003610291005e-07,4.2370672427825895e-07,2.4490502595768943e-07,1.41716119324076e-07,8.316509720240276e-08,5.0293285493197143e-08,3.2102606317680686e-08,2.1947119052616287e-08,1.617034435697129e-08,1.279887472197373e-08,1.0737308067464792e-08,9.368881920748949e-09,8.371281846559068e-09,7.561014751539186e-09
g500,0.008052594683721074,0.05857024382396588,0.12447275789345601,0.14055465952709958,0.09142022926211327,0.03294465450246861,0.010272529207691243,0.002574894897003147,0.0004150731158487369,6.946994227579666e-05,1.919710506718351e-05,8.365932624041264e-06,4.6040450144332086e-06,2.7266641634483724e-06,1.6306390185364965e-06,9.691746368317797e-07,5.690057062908288e-07,3.3093894695248967e-07,1.9132053083977098e-07,1.1013349429843507e-07,6.372483247943332e-08,3.7464554967994475e-08,2.2815796981946223e-08,1.4589549448078737e-08,9.901585268264862e-09,7.1931851628166885e-09,5.581514796318665e-09,4.570461669662131e-09,3.893978585303594e-09,3.3998971801771627e-09
g525,0.007649748555331991,0.056822208776753536,0.12473508791263867,0.14765849955844595,0.10600854716256139,0.0437773143008948,0.014486290464474381,0.004082655101550001,0.000701533629155024,9.280076131959846e-05,1.807747672526295e-05,6.660896050721376e-06,3.4977505433963467e-06,2.052141196501368e-06,1.2268041921301697e-06,7.315426441454801e-07,4.2986928747018786e-07,2.5018360695209154e-07,1.443395384582165e-07,8.266447508166256e-08,4.7355364329881607e-08,2.7357612256224665e-08,1.6205822009985793e-08,9.95386481616272e-09,6.404097276772746e-09,4.368876589132058e-09,3.17290784889591e-09,2.4394506674212617e-09,1.966284240517594e-09,1.6377251890991498e-09
g550,0.007219061103613436,0.055156188407558475,0.12587641039644845,0.1572375504832136,0.12471928364654625,0.059571876171628624,0.020982333521841076,0.006631377742753163,0.0013080532585493636,0.00016292072310732604,2.1610243412350427e-05,5.651458809462179e-06,2.6697929414459543e-06,1.5312140663909896e-06,9.102617965397375e-07,5.432337375792646e-07,3.1879991803496805e-07,1.8528023242903637e-07,1.0648312269250889e-07,6.059588851046804e-08,3.436197140297482e-08,1.954918512915633e-08,1.1327470100279121e-08,6.750508229252784e-09,4.177575499872985e-09,2.7226901348229905e-09,1.8828360730729497e-09,1.3794955936411902e-09,1.0639699397881288e-09,8.519582006027244e-10
g575,0.006789083777076888,0.05345530998069312,0.12736575614836673,0.16883570584539853,0.1477306036227603,0.08184410516500601,0.031227721463872392,0.01084624209801401,0.002518932076442688,0.00034590650733759293,3.7030376433072955e-05,5.803234070626448e-06,2.105037534495869e-06,1.1417981793035297e-06,6.705199631185464e-07,3.9925866880653914e-07,2.338357471385045e-07,1.355104690538361e-07,7.754308933785706e-08,4.3819175763491765e-08,2.459953205004686e-08,1.3794413347606291e-08,7.834536092541208e-09,4.54598362465191e-09,2.7185272527639277e-09,1.7015796226512088e-09,1.1262741157648295e-09,7.901759665041675e-10,5.858201929044321e-10,4.530075214179396e-10
g600,0.006329752163072575,0.051474059659894426,0.12871109051020552,0.1822816143146522,0.17495031099205485,0.11170122867269541,0.04740782922033377,0.017712850661777427,0.0048387398698064845,0.000789300023071692,8.488802358225852e-05,8.91611346319301e-06,1.8763974336509307e-06,8.652719498199985e-07,4.938092683213557e-07,2.920879500798633e-07,1.7066070205626324e-07,9.851521497584922e-08,5.6125623387548865e-08,3.149323366254851e-08,1.7514709551005773e-08,9.695917049001592e-09,5.4137826349803025e-09,3.0728611160259184e-09,1.7870757398795878e-09,1.0827082904465023e-09,6.916741131201577e-10,4.685189338220226e-10,3.36371648667443e-10,2.5297601137440675e-10
