,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30
g000,0.025531336829333097,0.1564716098619439,0.24910210715072714,0.16542944903945214,0.0401507445721479,0.007621094095459634,0.0025246961371584364,0.0013850404940056137,0.0009276880410360903,0.000586202205216759,0.0003731747437658793,0.00024289306551509928,0.0001611113058467981,0.00010691497460402688,7.033272591935218e-05,4.578672671253207e-05,2.9132981304590173e-05,1.8078807963864073e-05,1.089228435978984e-05,6.353428286717476e-06,3.580320930510697e-06,1.9484581213297725e-06,1.0311276728847665e-06,5.294420283343892e-07,2.620060589723018e-07,1.2606534654412205e-07,5.877119408571874e-08,2.6581418930488e-08,1.1739813806771906e-08,5.065943373896056e-09
g025,0.024210462838160918,0.1495656433173936,0.23813727623724912,0.16127509651055233,0.043376473454350556,0.010408678049776982,0.0035892128171215285,0.0016228388685724082,0.0009334255170284257,0.0005800253314027222,0.0003813724309373903,0.00025953989034065925,0.00018051570063147906,0.00012601191567204175,8.749012503784427e-05,6.037244100628245e-05,4.0948479910198944e-05,2.7279754448823904e-05,1.777754793483709e-05,1.1301977748669027e-05,7.011076470700575e-06,4.234592969590905e-06,2.5046567829754208e-06,1.4491258262740578e-06,8.165020116629652e-07,4.4953278347594163e-07,2.418738140373668e-07,1.2722668848661253e-07,6.570195215474711e-08,3.327111384782631e-08
g050,0.02226233847724601,0.13909614277182863,0.22305057726304883,0.15443023763326835,0.04505607505745732,0.013010442380412528,0.005186792189246332,0.0022484511988280346,0.0010344447689236453,0.0005705199113043025,0.0003687442889631917,0.0002560292171937904,0.00018292752114236255,0.00013114885964020184,9.338714716517725e-05,6.60476209055758e-05,4.593795123555536e-05,3.1438429755659166e-05,2.110288186073764e-05,1.3866472267584134e-05,8.931915931746263e-06,5.629302385767511e-06,3.4914896585692327e-06,2.1307488368530417e-06,1.275339863270143e-06,7.504614037480968e-07,4.351899370507617e-07,2.4872249197892e-07,1.4075515563188298e-07,7.883808147284924e-08
g075,0.019822670001148113,0.1257779005345294,0.2058085106194342,0.14555230719931833,0.045331520988020804,0.01507394162706486,0.006989753949140455,0.0032441285287372035,0.0012930277473554245,0.0005952917778227837,0.00035536147623141764,0.0002457238968436159,0.0001788004290204207,0.0001309562963907897,9.514368692684511e-05,6.857833995270342e-05,4.860600307987245e-05,3.392366131312214e-05,2.3259239751927813e-05,1.5645852184580667e-05,1.035114164274858e-05,6.726551979073571e-06,4.321051662695059e-06,2.74667944473295e-06,1.7254111326029235e-06,1.0745054168606405e-06,6.663889027852304e-07,4.123729935359736e-07,2.5599677069404397e-07,1.5963335053510233e-07
g100,0.017826170485702366,0.1141143139873154,0.18957011655482678,0.1351659774063895,0.04408493833938481,0.016115370162539198,0.008710768139146325,0.004763641026520618,0.0019155961882417367,0.0007415364309447526,0.0003642643627292561,0.00023215877476884803,0.000167541726467666,0.00012446947564917471,9.209515824659773e-05,6.760447990585083e-05,4.8795152961269766e-05,3.4705008626021894e-05,2.4280543683884793e-05,1.6698552069939004e-05,1.1326841370172187e-05,7.572891294203953e-06,5.0264414041081844e-06,3.320234989927847e-06,2.1847137363762985e-06,1.438912696273818e-06,9.55478603953859e-07,6.423203810835455e-07,4.401460437431035e-07,3.0783897242933925e-07
g125,0.016404224536757984,0.10526974149069802,0.1743244301701598,0.12436655429603245,0.042125064920300284,0.016431064535136194,0.010077685273466197,0.006530214950044122,0.0029476177884421727,0.0010993551939446227,0.0004398391564619112,0.00023133736529323576,0.00015450984175199517,0.0001136629451877895,8.50789914446118e-05,6.349641740805361e-05,4.665290977639801e-05,3.381472437172305e-05,2.415065051876725e-05,1.6997845551383742e-05,1.1840415885010871e-05,8.165004890959327e-06,5.620765956032512e-06,3.877885700888633e-06,2.6902715717218806e-06,1.8883177688775292e-06,1.35259294359618e-06,9.929376382731573e-07,7.507130415244509e-07,5.834937017420206e-07
g150,0.014855988252883832,0.09579447533935567,0.15799330064972542,0.11347510012463262,0.03987923355768521,0.016458176638713386,0.011225784187010686,0.008373994779074106,0.004289991751708554,0.0016895337235918184,0.0006144814507769163,0.000259658167415888,0.00014539080719152704,9.986015421690938e-05,7.413642233338472e-05,5.5995133269836025e-05,4.185496066901866e-05,3.091681966982066e-05,2.2536037684159777e-05,1.6222359141774335e-05,1.1590579180815828e-05,8.228053747105055e-06,5.856497255401822e-06,4.1995612387640066e-06,3.0472440148222196e-06,2.2509968010654497e-06,1.7062552507927036e-06,1.3305232324789453e-06,1.069522544333791e-06,8.82724907982132e-07
g175,0.013115673129490716,0.08515889794546552,0.1410993863544184,0.10281725090694434,0.03738250854413305,0.015879658509210772,0.01138765482091743,0.009232341331843178,0.005163686229458221,0.002178526612702988,0.0007965724608582623,0.0003008263259752236,0.0001393169480206829,8.328364232956838e-05,5.875234469547798e-05,4.4259781436539945e-05,3.356343155078018e-05,2.529459224705804e-05,1.885872001366745e-05,1.3913269764213933e-05,1.0210893477237282e-05,7.464197098122051e-06,5.483865386367645e-06,4.068072634683134e-06,3.060267734513331e-06,2.345677528317252e-06,1.8437344141284677e-06,1.4876747323272402e-06,1.2327179383464775e-06,1.0443150146931158e-06
g200,0.011497102699265259,0.07517126502865931,0.12517978182886466,0.09279897236716711,0.034828200866411266,0.014816737743875699,0.010572267086276154,0.008792699220776124,0.005113305624476098,0.0022629149877655902,0.0008619934341722287,0.00031865881924817986,0.00013021217608225324,6.543372885868892e-05,4.115752181489079e-05,2.9840863218435102e-05,2.2671597112348048e-05,1.7410668883973807e-05,1.3329290364974038e-05,1.0148130025398067e-05,7.71530907749414e-06,5.862143092094663e-06,4.4882851665743574e-06,3.4748644441812635e-06,2.7296549296014177e-06,2.1818546954937494e-06,1.782527482460764e-06,1.4878538845760897e-06,1.268108044977878e-06,1.0988543381355222e-06
g225,0.009873286978365585,0.06525156745691961,0.11013882981727947,0.0834685457548894,0.03217935737208442,0.01325610075758206,0.00887554896072062,0.0070861154484385055,0.0041643462557272,0.0019031004949784593,0.0007537961491139724,0.0002807559785292935,0.00010806439032359095,4.743672536185392e-05,2.5970578020744296e-05,1.751770440026852e-05,1.3114499495152588e-05,1.0234629807949144e-05,8.084972069160072e-06,6.408118974384347e-06,5.0995126269468e-06,4.069867097091911e-06,3.2775362540759314e-06,2.666911810343592e-06,2.196918546740561e-06,1.8338124347712846e-06,1.5557001340432229e-06,1.3401915659422664e-06,1.171453291387266e-06,1.0354207718475026e-06
g250,0.008483206689242632,0.056505515688679044,0.09657256994730953,0.07507016307639731,0.029699984004176658,0.011645272386403777,0.0070934649631890995,0.005208836481486991,0.0031077480581831697,0.0014397098005447405,0.0005767403888170256,0.00021588155729765915,8.214167822455571e-05,3.4341178558879375e-05,1.7353126312285624e-05,1.0986785811738467e-05,8.03283130652832e-06,6.3138450734031825e-06,5.1081915273386615e-06,4.180028003667472e-06,3.4448068919134002e-06,2.8481397851062528e-06,2.3726732714073634e-06,1.9916146881515092e-06,1.687244186107981e-06,1.4432360742403954e-06,1.2501148254872513e-06,1.095934989128239e-06,9.719827481006356e-07,8.696806127054594e-07
g275,0.007219386584084854,0.04856103427830939,0.0843497218990198,0.06801234063126027,0.02781784575716688,0.010513784440900266,0.005857500291443111,0.0038685952811557353,0.002336224203366136,0.0010704876374751742,0.00042710630525865246,0.00016328967596845783,6.467895343369927e-05,2.7968719820965418e-05,1.4086129281737619e-05,8.591327083992369e-06,6.036546303881633e-06,4.628285680874009e-06,3.7014570154173735e-06,3.0160748606086974e-06,2.4824043569278635e-06,2.0519892415915312e-06,1.7097279155258345e-06,1.4367732742289922e-06,1.220252744247911e-06,1.0484527828357054e-06,9.142937059837714e-07,8.08277575046951e-07,7.238971771481603e-07,6.543045992878952e-07
g300,0.006071162013077678,0.04127950580655117,0.0738456758526269,0.06216100105246561,0.026491122169283426,0.009764960984275725,0.0049594871124019405,0.002809801606078791,0.0016148871791010345,0.0007134426116603361,0.00028596197846881936,0.00011720419752977988,5.182017718482364e-05,2.4928132149610115e-05,1.3232220992678414e-05,7.90583818415014e-06,5.199584257345908e-06,3.6930123610513877e-06,2.7589525035142447e-06,2.126896005633955e-06,1.6769818094240954e-06,1.3442600041533527e-06,1.0999113643573524e-06,9.185110575879776e-07,7.835249205425403e-07,6.819973450934866e-07,6.055522425525388e-07,5.462768926933561e-07,4.989259328420513e-07,4.588895848944232e-07
