,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30
g000,0.9723775411735137,5.19464605835309,6.0532290372008655,2.5849894690968407,0.3489775528594159,0.03371155687170821,0.010840104755809581,0.005645356643903512,0.0031651500459547433,0.001541502945930479,0.000720696758036382,0.0003412421049516515,0.0001623356642884237,7.536853197052061e-05,3.446807469785621e-05,1.5880704473413443e-05,7.305002942665141e-06,3.386545101052637e-06,1.594730261474125e-06,7.69811020708482e-07,3.8743737990802123e-07,2.1022656144807714e-07,1.267518256437163e-07,8.502893557877114e-08,6.249114025308301e-08,4.912910123446292e-08,4.0291642830747024e-08,3.3828642987092105e-08,2.885538623852382e-08,2.4846508188131473e-08
g025,0.7435639731857971,4.100172483085311,4.979661522021238,2.2245062987945134,0.3250894655682861,0.03712262924734898,0.011544347768661381,0.005431606135417821,0.002905816064456133,0.0014206663952845463,0.0006817206767200689,0.00033286236836581215,0.00016339839116606773,7.850671725180736e-05,3.727350046966612e-05,1.7920272152705555e-05,8.68724120407659e-06,4.308008618178727e-06,2.2128388863700925e-06,1.1923841783587928e-06,6.835484906359983e-07,4.244988447912201e-07,2.877430533075813e-07,2.10088967890826e-07,1.6271254935562206e-07,1.315040831562405e-07,1.0929830148735532e-07,9.245557795436452e-08,7.924319493334648e-08,6.850556135922902e-08
g050,0.5731498241420618,3.256768149064305,4.110388971913325,1.9097712317610889,0.3001055539285115,0.03950120455628922,0.012554697570800395,0.005488100844947025,0.0027000727475184143,0.001279350920904078,0.0006175888870761556,0.0003073783516170237,0.00015464505620419475,7.6543931306519e-05,3.763546662490945e-05,1.888189119712797e-05,9.675736421512283e-06,5.161869733762405e-06,2.9097661389922913e-06,1.7511784626636936e-06,1.1273676911242741e-06,7.769557511311976e-07,5.693623539341719e-07,4.3634190993777023e-07,3.459642421506383e-07,2.8121509563253834e-07,2.3256346855905063e-07,1.9479501491243582e-07,1.6494804912923554e-07,1.4086195651961494e-07
g075,0.45080274104681906,2.6230484799825136,3.3882214111868145,1.6368904804069497,0.27510702907276574,0.04042073449090928,0.013203876848718162,0.005456274171578519,0.0024622438470529922,0.001119674501997734,0.00054243613427211,0.00027533932503540743,0.0001424574235218726,7.300690000855676e-05,3.739707712793008e-05,1.969060602782238e-05,1.0709046037880956e-05,6.141328480638512e-06,3.762040103889111e-06,2.4712284647506737e-06,1.724218308746454e-06,1.2679447373728543e-06,9.726729273430705e-07,7.67008284943897e-07,6.171026091849189e-07,5.035874812075081e-07,4.151167057468452e-07,3.448700880524358e-07,2.8863134380477163e-07,2.430818407610123e-07
g100,0.3474727113240972,2.0717424612561155,2.763663069204965,1.3960088933815982,0.24930922867796038,0.03885415631379509,0.012792775219812657,0.005202850193146313,0.0022087503768625184,0.0009540643853647656,0.0004554329856742313,0.0002326703747444334,0.00012301200219085962,6.51109273603673e-05,3.476496540609664e-05,1.926246742571216e-05,1.1161077108028533e-05,6.899933752071808e-06,4.592907545189868e-06,3.28165548986796e-06,2.4708405517620264e-06,1.9376228733936447e-06,1.565421458380726e-06,1.2859640857935787e-06,1.0680815943039137e-06,8.920269774143002e-07,7.477352071125923e-07,6.279614041981657e-07,5.284375534420606e-07,4.450013898597217e-07
g125,0.26936156401424083,1.6427130471483045,2.268382341241116,1.1894310476150807,0.22480803131592428,0.035905404547855055,0.011379382442480164,0.0044333684673813056,0.0017926219356102975,0.0007488999705703689,0.00035459108450452064,0.00018295517029413705,9.901176396674398e-05,5.414051074004604e-05,3.0089614077402188e-05,1.7463936498726988e-05,1.068022694535943e-05,7.006551746914615e-06,4.956385921774537e-06,3.751548598036954e-06,2.9716729154711726e-06,2.433235226845596e-06,2.0389078039255344e-06,1.7280830624873692e-06,1.4749178340534069e-06,1.2610455342344986e-06,1.0793075288843219e-06,9.231434563557626e-07,7.891912255500571e-07,6.73153918890897e-07
g150,0.21374530364985458,1.3261449086933585,1.8720580717780784,1.0148048820619189,0.20251029580838878,0.03286792389945228,0.010063251922071186,0.003760668887862373,0.0014212663821139935,0.0005562782781955379,0.0002528891598421887,0.0001300450600993683,7.180483435938683e-05,4.0568575346614096e-05,2.3479250125521474e-05,1.423474529432276e-05,9.114292410584323e-06,6.254291918601291e-06,4.610661714333603e-06,3.6174736824129613e-06,2.9539370262773305e-06,2.481808541693771e-06,2.126419266185603e-06,1.8382615528850445e-06,1.5973375389202297e-06,1.3882688449516523e-06,1.206473194492258e-06,1.046635518153128e-06,9.064302424974552e-07,7.821866067664158e-07
g175,0.16902309925105546,1.0658843667502151,1.5307832030547073,0.8672931234920098,0.18238862715150703,0.029942870747185754,0.008808989024884327,0.003071088959836707,0.0010796781612715045,0.00039271449032448713,0.000167189932325274,8.378280277542165e-05,4.632565162532306e-05,2.6665257292279807e-05,1.59180444637272e-05,1.0033472410361921e-05,6.715227334826878e-06,4.819937572396056e-06,3.7020502999753444e-06,3.0065805236151017e-06,2.523279747200746e-06,2.165982833185656e-06,1.8878295788136966e-06,1.6551574306156403e-06,1.4556908229939972e-06,1.278527921656397e-06,1.1216835363620964e-06,9.815011451396288e-07,8.566291271312959e-07,7.443861534437019e-07
g200,0.12990519466210554,0.835022014848074,1.23972476312349,0.7416731714010739,0.16381845577912038,0.027174844763502744,0.007835551127338506,0.0026400693892343835,0.0008872897514765661,0.0002941234273666557,0.00010937926533725396,4.9515841933115445e-05,2.5886679725431444e-05,1.4675046315225033e-05,8.952171239360169e-06,5.925325894088793e-06,4.231306834345865e-06,3.2499813007144445e-06,2.651075747572233e-06,2.2588619909592602e-06,1.963635549585602e-06,1.7287499020417575e-06,1.5345991478702953e-06,1.3641118086483688e-06,1.2128466238347259e-06,1.074824592725513e-06,9.502873513837751e-07,8.372359663540996e-07,7.352078413982479e-07,6.424044142477408e-07
g225,0.10137870977994194,0.6604379642386156,1.0175236016669145,0.6353106162064929,0.14688623912484763,0.024391018597273436,0.006950013888527047,0.0023434009929226597,0.0007895512611763703,0.00024820316162060693,8.0156574599949e-05,3.047928700596607e-05,1.3683697297803294e-05,7.123870884185102e-06,4.374504215705006e-06,3.1163307178547067e-06,2.4489622257641214e-06,2.0545349229335813e-06,1.7946110297872924e-06,1.6050450627098332e-06,1.4413232243163279e-06,1.2968955239814319e-06,1.1685739650563627e-06,1.050004095872128e-06,9.412591097978624e-07,8.396684134428184e-07,7.465457066738339e-07,6.609757327070049e-07,5.829908177164776e-07,5.114249706540608e-07
