,r,V_r,M_r,N_e23_logM31,N_e23_logM33,N_e23_logM35,N_e23_logM37,N_e23_logM39,N_e23_logM41,N_e23_logM43,N_e23_logM45,N_e23_logM47,N_e23_logM49,N_e23_logM51,N_e23_logM53,N_e23_logM55,N_e23_logM57,N_e23_logM59,M_plugged,V_plugged,n_r,NH_r
30,31.622776601683793,1.1369460413451713e+60,617868.8400218738,110.0,49.0,24.0,3.0,4.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,617685.913649785,6.772625547284204e+59,755.4269393082793,2.562688980699354e+23
31,35.48133892335755,1.605978969610274e+60,776637.0974571779,172.0,81.0,40.0,20.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769929.0859461405,4.658799237190871e+59,672.5358721392925,2.6477064831163135e+23
32,39.810717055349734,2.2685055904490813e+60,976016.641203214,183.0,76.0,44.0,18.0,8.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,967832.1761120454,1.0164040864772022e+60,598.6600995261684,2.732240623676975e+23
33,44.668359215096324,3.204349316695936e+60,1226319.0372165833,208.0,85.0,56.0,26.0,11.0,7.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1193512.9608282167,1.2599641956576683e+60,532.819333235529,2.817048875167773e+23
34,50.11872336272725,4.526263715919282e+60,1540442.6935951794,347.0,133.0,82.0,36.0,17.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1536196.4188213937,1.0573410829036023e+60,474.13990427247757,2.9013485798620955e+23
35,56.23413251903491,6.39351743559965e+60,1934508.9417424304,377.0,167.0,97.0,50.0,22.0,8.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1933184.6970660184,1.5193090585954089e+60,421.8431697172166,2.985894226662268e+23
36,63.09573444801933,9.031083419984733e+60,2428649.2274628077,589.0,257.0,139.0,61.0,19.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2425885.509714767,1.4788346965952681e+60,375.23518047138776,3.069899832901573e+23
37,70.79457843841381,1.2756744399348517e+61,3047977.1187326033,585.0,299.0,127.0,58.0,42.0,22.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3047832.3911581836,2.427570144481222e+60,333.6974728122204,3.154116185100162e+23
38,79.43282347242817,1.801938041123581e+61,3823785.434388295,784.0,378.0,163.0,92.0,36.0,14.0,9.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3822778.200099717,3.448464000532218e+60,296.6788615441699,3.2377531827178945e+23
39,89.12509381337459,2.545305136171042e+61,4795016.287262775,878.0,472.0,219.0,91.0,42.0,26.0,9.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4793461.47526537,6.526623551569414e+60,263.68812584541274,3.321557036145023e+23
40,100.0,3.595339067362711e+61,6010060.141382579,1276.0,590.0,283.0,112.0,61.0,24.0,11.0,6.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,6003121.9557897225,5.292627393574373e+60,234.28749074007322,3.404732567349853e+23
41,112.20184543019641,5.078551418298834e+61,7528948.909685187,1621.0,750.0,340.0,150.0,75.0,38.0,15.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,7526479.846392363,6.891922590352422e+60,208.08681768258373,3.488020358564681e+23
42,125.89254117941675,7.17364455064418e+61,9426017.277565777,1860.0,932.0,409.0,215.0,101.0,59.0,17.0,11.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,9425983.082383405,8.437451130294374e+60,184.73842714705108,3.570619006290043e+23
43,141.2537544622754,1.0133042259563308e+62,11793115.158775434,2388.0,1178.0,550.0,247.0,118.0,54.0,26.0,15.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,11782929.449627046,9.56788822816543e+60,163.93248449671566,3.653262214530055e+23
44,158.48931924611142,1.431330263288232e+62,14743461.39835389,3101.0,1413.0,691.0,308.0,147.0,73.0,32.0,6.0,8.0,5.0,2.0,0.0,1.0,0.0,0.0,14733049.304468257,1.2914504817177726e+61,145.39288787600327,3.735141002197144e+23
45,177.82794100389228,2.021807735649379e+62,18416232.88997814,3576.0,1731.0,763.0,303.0,176.0,73.0,45.0,18.0,8.0,6.0,2.0,4.0,1.0,1.0,0.0,18416094.51240489,2.206750760948409e+61,128.87360352335574,3.8169807359322344e+23
46,199.52623149688807,2.8558793346134923e+62,22981981.748015255,4775.0,2103.0,1097.0,500.0,228.0,120.0,61.0,23.0,13.0,7.0,1.0,1.0,0.0,0.0,0.0,22981564.93503156,1.8344527405561943e+61,114.15539983146367,3.897963298134225e+23
47,223.872113856834,2.9560291757647917e+62,28648962.599572375,5877.0,2787.0,1309.0,680.0,265.0,142.0,58.0,35.0,13.0,7.0,3.0,2.0,0.0,0.0,0.0,28647991.84782136,2.338955964471354e+61,109.59639459002565,3.981533599603701e+23
48,251.18864315095823,3.2973173141060185e+62,35670427.60584852,7344.0,3529.0,1629.0,777.0,359.0,165.0,83.0,44.0,17.0,7.0,2.0,1.0,0.0,1.0,0.0,35669285.84041349,3.0451350923341174e+61,108.75369533225401,4.073508372675302e+23
49,281.8382931264455,4.151076557476912e+62,44352901.92179334,9225.0,4301.0,2050.0,936.0,442.0,201.0,98.0,54.0,19.0,8.0,3.0,5.0,1.0,0.0,0.0,44352604.60962885,3.8033581246442873e+61,107.81686878741372,4.175716628254312e+23
50,316.22776601683796,5.225895764510747e+62,55065378.286055624,11351.0,5457.0,2485.0,1133.0,548.0,251.0,125.0,60.0,26.0,12.0,6.0,4.0,2.0,0.0,0.0,55061382.538462035,4.7909816049621664e+61,106.7765674978215,4.289797702950357e+23
51,354.81338923357566,6.579012977330124e+62,68249255.17102265,13978.0,6430.0,3017.0,1485.0,714.0,316.0,158.0,71.0,33.0,18.0,7.0,2.0,2.0,0.0,1.0,68248250.41642766,6.3597311021673e+61,105.62281172305367,4.416041704994241e+23
52,398.1071705534973,8.282486621684442e+62,84428674.6486404,17221.0,7888.0,3614.0,1816.0,865.0,418.0,192.0,87.0,31.0,23.0,10.0,6.0,2.0,1.0,1.0,84428637.10948841,8.22232734497529e+61,104.34502628067347,4.556515217458616e+23
53,446.6835921509635,1.042703288088386e+63,104220677.56478411,21633.0,10043.0,4797.0,2212.0,1089.0,525.0,208.0,98.0,41.0,26.0,9.0,5.0,2.0,1.0,1.0,104215987.11299868,9.419826280866967e+61,102.93210471805975,4.711662327044814e+23
54,501.18723362727246,1.3126856663357914e+63,128344266.73494601,26072.0,12350.0,5721.0,2630.0,1278.0,594.0,308.0,151.0,65.0,36.0,15.0,8.0,3.0,1.0,0.0,128338553.81204957,1.1437890711089018e+62,101.37250763023006,4.883688378568302e+23
55,562.341325190349,1.6525733430480866e+63,157627035.6891817,31925.0,14973.0,7002.0,3417.0,1568.0,709.0,363.0,167.0,89.0,28.0,13.0,3.0,5.0,3.0,3.0,157626298.55041525,1.5779954799188413e+62,99.65440284086223,5.0731634610429485e+23
56,630.9573444801937,2.0804665764168954e+63,193007466.4815328,38997.0,18392.0,8670.0,4180.0,1951.0,867.0,435.0,188.0,92.0,48.0,15.0,11.0,7.0,3.0,2.0,193007139.98343655,1.8703075201661328e+62,97.76585594182245,5.282384159746294e+23
57,707.945784384138,2.619152241439616e+63,235530320.0327897,47359.0,22236.0,10891.0,4991.0,2360.0,1038.0,513.0,239.0,122.0,57.0,37.0,16.0,6.0,1.0,2.0,235529862.8523684,2.220466049319502e+62,95.69508020515924,5.51198470665075e+23
58,794.3282347242822,3.2973173141060174e+63,286331749.7075772,58288.0,27172.0,12855.0,6046.0,2810.0,1361.0,646.0,273.0,145.0,79.0,31.0,17.0,5.0,4.0,3.0,286331277.4314626,2.734303304476161e+62,93.4307549537422,5.7642610741439235e+23
59,891.2509381337459,4.151076557476915e+63,346609908.6869974,70714.0,33502.0,15715.0,7301.0,3365.0,1669.0,802.0,370.0,152.0,71.0,39.0,15.0,15.0,3.0,2.0,346594957.9894878,3.2004755275019264e+62,90.96242085501915,6.039802034301536e+23
60,1000.0,5.225895764510739e+63,417575990.09699273,85777.0,40299.0,18890.0,8911.0,4149.0,1996.0,924.0,435.0,201.0,101.0,45.0,20.0,10.0,4.0,2.0,417575052.3717017,3.752429041783879e+62,88.28095897392959,6.340749820191968e+23
61,1122.018454301964,6.579012977330129e+63,500380005.58843327,102557.0,48170.0,22739.0,10732.0,5028.0,2352.0,1115.0,548.0,249.0,109.0,52.0,22.0,10.0,7.0,2.0,500376024.3897807,4.484871708747214e+62,85.37915740970057,6.667477226536396e+23
62,1258.9254117941675,8.282486621684448e+63,596005442.9597745,122603.0,57731.0,27119.0,12658.0,5982.0,2789.0,1316.0,615.0,304.0,137.0,63.0,23.0,13.0,6.0,4.0,596002532.714124,5.3678322446793135e+62,82.25236452377585,7.02174269915546e+23
63,1412.5375446227554,1.0427032880883849e+64,705127639.8541279,144129.0,67823.0,31757.0,14879.0,7041.0,3324.0,1586.0,767.0,363.0,161.0,84.0,28.0,16.0,7.0,5.0,705126383.6406735,6.440976734243852e+62,78.89922070872542,7.403465277723238e+23
64,1584.893192461114,1.3126856663357921e+64,827932795.7957182,169857.0,79943.0,37549.0,17644.0,8229.0,3899.0,1814.0,852.0,411.0,187.0,91.0,40.0,22.0,8.0,5.0,827929978.2725251,7.530532845953885e+62,75.32245097398655,7.813705802373415e+23
65,1778.2794100389228,1.6525733430480865e+64,963898658.8035202,197764.0,92804.0,43657.0,20573.0,9634.0,4523.0,2141.0,982.0,469.0,222.0,104.0,51.0,25.0,10.0,5.0,963839803.5125909,8.75421264378776e+62,71.52968812197197,8.25163581853885e+23
66,1995.262314968881,2.0804665764168942e+64,1111544738.4634771,227555.0,107129.0,50344.0,23637.0,11099.0,5221.0,2434.0,1153.0,548.0,274.0,128.0,62.0,27.0,9.0,5.0,1111544295.8626583,1.0028942060818171e+63,67.53428106689863,8.717235557801822e+23
67,2238.72113856834,2.619152241439613e+64,1268169947.3238068,260976.0,122677.0,57540.0,26961.0,12676.0,5955.0,2800.0,1318.0,623.0,289.0,138.0,62.0,28.0,14.0,6.0,1268169695.3923998,1.1396911925248818e+63,63.3560255442911,9.208623614901839e+23
68,2511.886431509582,3.2973173141060186e+64,1429608946.5587463,293157.0,138114.0,64670.0,30333.0,14269.0,6715.0,3143.0,1482.0,685.0,329.0,159.0,74.0,35.0,15.0,9.0,1429602976.9003842,1.3059300605792716e+63,59.02173647399181,9.724300200930232e+23
69,2818.382931264455,4.151076557476914e+64,1590054365.1181698,326883.0,153521.0,72127.0,33921.0,15920.0,7501.0,3488.0,1651.0,774.0,359.0,174.0,76.0,36.0,17.0,9.0,1590053215.3040767,1.4362765523429383e+63,54.56556498049197,1.0261106179231152e+24
70,3162.2776601683795,5.2258957645107424e+64,1742008202.1825771,358189.0,168256.0,78916.0,37081.0,17477.0,8211.0,3794.0,1853.0,844.0,394.0,183.0,88.0,38.0,17.0,11.0,1742007827.7751338,1.5752806488154037e+63,50.02895211362623,1.0815751322042475e+24
71,3548.1338923357566,6.579012977330132e+64,1876437803.9178886,383914.0,180483.0,84784.0,39909.0,18745.0,8814.0,4119.0,1985.0,924.0,423.0,205.0,102.0,45.0,22.0,11.0,1876437371.3053608,1.7196026734746266e+63,45.46011035453641,1.1383797548867369e+24
72,3981.0717055349733,8.28248662168444e+64,1983213198.974928,407366.0,191429.0,89906.0,42208.0,19859.0,9313.0,4375.0,2065.0,961.0,455.0,215.0,97.0,49.0,20.0,11.0,1983209934.002925,1.794792108738382e+63,40.91293848870103,1.1960097681925902e+24
73,4466.835921509635,1.0427032880883863e+65,2051884790.0850163,420651.0,197714.0,92807.0,43698.0,20498.0,9672.0,4519.0,2133.0,1000.0,471.0,228.0,101.0,51.0,22.0,12.0,2051824686.7933462,1.869017326966226e+63,36.44531067436591,1.2539317951291914e+24
