,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30
g000,0.13260464862921872,0.7492866776324882,0.990556530505382,0.49744025565606276,0.08105834328626926,0.010143308432326128,0.0033033159701254273,0.001760000930291429,0.001070038284678666,0.000584217339433568,0.000314498058236515,0.00017166663724325367,9.451504548040765e-05,5.131601648306397e-05,2.7474919264286855e-05,1.4627659749958416e-05,7.65730004715168e-06,3.940996417855571e-06,1.9895974222017596e-06,9.816201224745087e-07,4.712625232804194e-07,2.2074955501670933e-07,1.0168322355709186e-07,4.593506411758426e-08,2.018709631354871e-08,8.755602776034994e-09,3.7570936454567066e-09,1.6163929754490854e-09,7.174893214595546e-10,3.39414722760823e-10
g025,0.11107337123456974,0.6414267609660983,0.8699607301832698,0.4484133614651452,0.08002840665485861,0.012461651707363375,0.004045894766203319,0.0018532118486535246,0.0010225454463157304,0.0005529312852012236,0.00030458754804970375,0.00017136428240917763,9.72351580601617e-05,5.441650659933234e-05,3.0034143069848795e-05,1.650252510272707e-05,8.942429320315857e-06,4.787852774883649e-06,2.529948830837526e-06,1.315948200314281e-06,6.729829942395596e-07,3.394201237902165e-07,1.703037788458294e-07,8.507907795174265e-08,4.227174458339588e-08,2.1228098346847466e-08,1.0911813271569584e-08,5.85997756138295e-09,3.3726339980763255e-09,2.1091966449493124e-09
g050,0.09384673719191988,0.5518104750004855,0.7598732808674441,0.40092543785161205,0.07751036096048974,0.01447262061348088,0.005182925426955066,0.002259706308903648,0.0010564165518076028,0.0005220829769221531,0.0002823244719341483,0.00016076834763668484,9.314545973068113e-05,5.335994357895116e-05,3.0172635158370837e-05,1.700921723405887e-05,9.489461639447088e-06,5.26224400587384e-06,2.9052929848255995e-06,1.5987661862752065e-06,8.803737685152194e-07,4.887949568175748e-07,2.7713012901958175e-07,1.6123898071594267e-07,9.656803820170609e-08,6.009162393858322e-08,3.893848522953703e-08,2.6272988594606305e-08,1.843704497578023e-08,1.3387308987116455e-08
g075,0.07870191427976259,0.47032880157991935,0.6543788193475379,0.3555343495512772,0.07370045900453524,0.01566843283956199,0.006092720521918955,0.00262057305557626,0.0010800983018860167,0.000485845808598181,0.00025627125530717934,0.00014767975195748503,8.762759462891766e-05,5.1575166269420744e-05,2.9977343184256123e-05,1.7381737581759743e-05,1.0003130754863546e-05,5.75369280748277e-06,3.3233457630308486e-06,1.9364575744475845e-06,1.146061211135187e-06,6.949649989356351e-07,4.365483942766825e-07,2.8436477043058267e-07,1.917661220950205e-07,1.3385705266300343e-07,9.631949163385282e-08,7.110189233148575e-08,5.366591181596839e-08,4.123654723723057e-08
g100,0.0637431280769075,0.3886611809893686,0.5546878453539321,0.3124468589804376,0.06862922975762947,0.01581016514354368,0.006760022614623596,0.0031677579284663054,0.001229275774681037,0.00048250260412908454,0.00023103612282811102,0.00012930607781231918,7.732615983822933e-05,4.6497379196109414e-05,2.7740475698053816e-05,1.655794296808428e-05,9.855546913518818e-06,5.907676045089328e-06,3.5957119943735333e-06,2.240714030319595e-06,1.4415148499902212e-06,9.651803881415516e-07,6.771851533623853e-07,4.953684915658188e-07,3.7522916153676195e-07,2.920207798315151e-07,2.3194920083855898e-07,1.8675893607879581e-07,1.5187132849252615e-07,1.2409800346126989e-07
g125,0.05193916044675635,0.322143171999849,0.4711869956010245,0.27359635980851255,0.06290790870408246,0.014778928509428085,0.006388447129087625,0.003064806565166965,0.0011780218580173577,0.0004392151832548319,0.00019770788291270484,0.00010727899910081629,6.416795165442185e-05,3.922258903543094e-05,2.3962944508899876e-05,1.4714311162214737e-05,9.063034093436505e-06,5.667389084517441e-06,3.636656390319797e-06,2.4185841257701155e-06,1.6784582803976394e-06,1.2209023734601333e-06,9.319930089103457e-07,7.394236729360335e-07,6.042561907802416e-07,5.036352072221406e-07,4.256746330716845e-07,3.6264403738378576e-07,3.104968446914144e-07,2.659480053153585e-07
g150,0.042861511070731745,0.26944260462095343,0.40017272158334394,0.23964935271311624,0.057507766828830555,0.013689293415354388,0.006012255163256411,0.0029752989883893334,0.0011417579356395135,0.0004039733970452987,0.00016629499175595114,8.479289048913256e-05,4.9921802251869895e-05,3.09050219445989e-05,1.9369631118989477e-05,1.2264589835050752e-05,7.819905373973474e-06,5.082313330184186e-06,3.4038785087496823e-06,2.372036899657476e-06,1.7285361268436664e-06,1.3194312522253282e-06,1.0536263074654664e-06,8.706051992635143e-07,7.377010483061635e-07,6.348216476315665e-07,5.520764221471871e-07,4.825619609197762e-07,4.2285375515065875e-07,3.699037465597733e-07
g175,0.03458824470288596,0.22138727500755526,0.33591239724793864,0.2100518447514203,0.05227298569176911,0.012078754819112508,0.004915720292091875,0.002269359867916495,0.0008688411540277409,0.0003096596359355132,0.00012394145576888446,6.0459981868065536e-05,3.466617982196713e-05,2.141045234436416e-05,1.3612547206174246e-05,8.82994967375163e-06,5.807960110971145e-06,3.916452695408812e-06,2.7335359168706635e-06,1.990343287199101e-06,1.514432537511993e-06,1.2026651434273474e-06,9.935982652685716e-07,8.444597106918038e-07,7.323429668790774e-07,6.423640286887384e-07,5.67725952618947e-07,5.032225283213764e-07,4.4639548807467624e-07,3.948428566252772e-07
g200,0.027677700694922213,0.17972554929271367,0.2822159343867295,0.18405981032920546,0.047536042899373195,0.010680479575724173,0.00402614020784428,0.0017351721918531713,0.0006592622647368088,0.00022905478429344233,8.586751474993483e-05,3.850474833358249e-05,2.067735260336149e-05,1.2383922052482861e-05,7.873454687601019e-06,5.2166580126399284e-06,3.5582522993104733e-06,2.5173950279256724e-06,1.8582821753074464e-06,1.4360058484320583e-06,1.156078837702016e-06,9.643513815552574e-07,8.291218476727689e-07,7.268293192413686e-07,6.455512148011867e-07,5.767560132479337e-07,5.172184333835123e-07,4.6394720622360595e-07,4.1569821939228133e-07,3.70909252232973e-07
g225,0.023025242360926734,0.1504628883539203,0.24141528965249984,0.16158823143810677,0.04335633356846883,0.009507285348440775,0.003357083923556228,0.0013570969899613823,0.0005077577514859544,0.00016944485440594176,5.875459677614333e-05,2.341496155753612e-05,1.109826198706652e-05,6.092323026263794e-06,3.7666872058838314e-06,2.550139610166698e-06,1.835679567937708e-06,1.3967766421742881e-06,1.1170576203076871e-06,9.328781623104931e-07,8.027026749271871e-07,7.060563276650467e-07,6.317314606736625e-07,5.701712722795156e-07,5.173488779716884e-07,4.695932963187723e-07,4.2625701263847673e-07,3.86068539050805e-07,3.486970956162679e-07,3.1327651126488394e-07
