,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
g000,0.0834288680277135,0.9673120930657788,3.468621307486161,7.577697822276785,12.249685945735134,15.97317724556327,17.675881800984975,15.499763564300231,8.055770254699537,8.055770254699537,1.947565042376093,0.1420750731107184,0.0084231654633708,0.0034785564042686,0.0021786514641353,0.0014220807860459,0.0009205415562301,0.000584344773029,0.0003632855693937,0.0002205781617358,1.0841124105072686,1.8035963169273184,6.106230233904236,0.0634007929485778,0.0110489794056139,0.0172555006297088,0.0342490359326985
g025,0.0819932359353917,0.9574805548336052,3.4390355702884694,7.516404549989562,12.151398690625085,15.829391154653583,17.43343145459122,15.107948746113523,7.780134071607132,7.780134071607132,1.8746871208931304,0.1375288995720087,0.0088638494447914,0.0039130483527819,0.0026050963086667,0.0018192518854429,0.0012714912173587,0.0008801604536208,0.0006031803796828,0.0004079186795041,0.990976471181846,2.078336899173401,7.127209832277495,0.0768842263649034,0.0129404498712785,0.0224709053299642,0.0403304912855161
g050,0.0799645740066771,0.9432206941813434,3.3960732122973636,7.42992166559944,12.013552213568172,15.629449742982889,17.109111389839647,14.641421078831646,7.469123069301174,7.469123069301174,1.7941361883146885,0.1324207499796831,0.009002767407469,0.0040142421578027,0.0027337234234042,0.0019675848639717,0.0014219507237726,0.0010210362913925,0.0007287648288451,0.0005157601265971,0.9001276329300794,2.347542280258805,8.143358429465238,0.1053942684468305,0.0156197048243409,0.0320168206014987,0.0514848368489319
g075,0.0770382789195385,0.9211780974393888,3.331459619973202,7.301582613863021,11.808860980306148,15.32652223940906,16.650430439564648,14.073857965179132,7.1195616322855715,7.1195616322855715,1.706548694083522,0.1272527905475839,0.0091219042719511,0.0039606264008455,0.0027018727210707,0.0019789370262076,0.00145982219546,0.0010703136407939,0.0007802742162705,0.0005643524860573,0.8132702239190166,2.6018737681262034,9.119487562514925,0.168466438547992,0.0200454596290353,0.0494848252209727,0.0714120062862305
g100,0.0731954500892868,0.8830544600162372,3.217938903144164,7.075707569218034,11.438942211389126,14.783865626144893,15.95527396276039,13.367159868963688,6.726270419901082,6.726270419901082,1.6115172721400648,0.1222115706119504,0.0094158213290828,0.0038599830331206,0.0025749822163367,0.0019045898948765,0.0014314506899481,0.0010709081332017,0.000796785236794,0.0005882317072128,0.7317054215449811,2.833572293801915,10.022384436975145,0.2853904416573737,0.0290529343171402,0.0814866665064785,0.1092656092275953
g125,0.0692415766249843,0.829002901956814,3.0230874693938112,6.654779577198517,10.750398036880714,13.899965463960228,15.051388550033558,12.593464416026608,6.3236232040157,6.3236232040157,1.5180344471032174,0.1189762335435859,0.0103580080599589,0.0039001890956818,0.0024309009340682,0.0017805166807119,0.0013551435317842,0.0010322992668854,0.0007830527879371,0.0005897247081169,0.6564032224146507,3.034102919326846,10.814964885246448,0.4959834129176779,0.0500855209527805,0.1398291666806368,0.1894756320815242
g150,0.0662541062795061,0.7910740340765982,2.8733839377268073,6.3212409561550915,10.2442992975917,13.326153913787474,14.455500405970822,11.983924598345755,5.9726778233370155,5.9726778233370155,1.4359364962390453,0.1177660914881126,0.0119484606037847,0.0041518365748776,0.0022925528885318,0.0016008797473449,0.0012177688907032,0.0009418432208154,0.0007284122482848,0.00055991607717,0.5877996982086461,3.2045071071904605,11.504529563837997,0.9063141683282516,0.0982054160572952,0.2425746659532892,0.3666585729080761
g175,0.0633463042108924,0.765479915298021,2.789093424574869,6.146744129398679,9.975053731938653,12.96834200684571,13.936136212222504,11.36407911104224,5.611078817021086,5.611078817021086,1.3514785931620794,0.1169518039766134,0.0141350600116466,0.0047037324468415,0.0022228146166772,0.001388151250209,0.001019812702369,0.0007918359361076,0.0006233365123714,0.0004897063331231,0.5259058169730014,3.353731851551049,12.12256091309538,1.6586416249620397,0.1885509058508783,0.4060547632764408,0.7206445106469935
g200,0.0594406285710623,0.7288549617061797,2.6705763212629017,5.901363285744817,9.58388279999345,12.413555742345794,13.18714559413352,10.597472311547222,5.198774484467971,5.198774484467971,1.2541555151707158,0.1138245658326058,0.0162690803433774,0.0054448330143891,0.0022540441531265,0.0011823248474851,0.0007830120712163,0.0005900039928345,0.0004683674472406,0.0003767910335466,0.4707139124642445,3.491648797105092,12.695554998134751,2.866632245892726,0.3323172746551692,0.6364339491077651,1.3218838702933546
g225,0.0545129307698593,0.6759116294345081,2.4901416967487133,5.517615425244364,8.963633236525771,11.570858398019997,12.176860036075412,9.697044533149828,4.748013459140253,4.748013459140253,1.1466857734985114,0.1070283444139758,0.017009957594613,0.005864261963315,0.0022836503073555,0.0010253994570769,0.0005793290795946,0.0004015125571567,0.000314486528254,0.000259045059603,0.42205193313883,3.609481049430058,13.195319247243118,4.517420530811644,0.5397420372910308,0.9162942092092756,2.171082239567538
