,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
x-100,0.2212683165012448,2.611497532729838,9.591269654517127,22.11544946828382,39.02730544430218,56.93873040180659,70.70293437999979,75.23615729852733,67.66251947323082,67.66251947323082,49.85737694824489,28.922436407300943,13.24543306360922,4.792573081137541,1.371212597749787,0.2997040478806054,0.0558932524860915,0.0093575838706971,0.001410284545207,0.0001932225686794,0.6561677300802,6.132017293004931,27.960305567760713,72.53067793235691,15.7876461737418,47.293769094915554,62.148239284583
x-075,0.2321513847163625,2.877717406399786,10.786051066241622,25.257442742149713,45.275215247050895,67.3618202746419,86.00498718949243,95.05460001639575,90.61837424917404,90.61837424917404,73.44271250615591,49.87604077598041,29.2029282159978,14.72577754791762,6.297353006813517,2.271652400794797,0.6874547152141824,0.1683561808693804,0.0357523515978425,0.0070226275336852,0.6315544347126041,7.768341909704784,37.06157979139514,123.12478187576436,24.378852183852636,78.84543038409075,107.79448322081149
x-050,0.2426933866987015,3.1544110820939832,12.094213641134916,28.79173052906119,52.54128766778924,79.89182516828873,105.03701326798824,120.73699090544596,121.63535216380475,121.63535216380475,106.9844614841336,82.16594784530739,56.79515966586555,36.103069102717285,20.530743123619448,10.470210561514868,5.0811447024796905,2.540683068245663,1.5088842316898543,1.1446490477044453,0.6974532589718115,8.92652023977047,44.500265612776786,207.04014080426492,37.324094686158325,124.44664461033896,183.7753335139557
x-025,0.2493560683822661,3.406541009175988,13.397873331658351,32.516835727904194,60.52410945341376,94.2869383871467,127.90971153235456,153.27913412896385,163.2767225682996,163.2767225682996,155.10151782592484,132.16832974918185,103.13885499626343,76.02334105820876,52.17459087900835,33.181702081848776,19.592553027363262,10.707967060301357,5.624659285811985,3.2290579612571793,0.8323678807007113,9.688148736978423,50.534454057702675,325.0561599151914,53.58864019612654,188.4489353365274,291.3385850809716
x000,0.2422022914034493,3.4984633101078857,14.167107650038782,35.17312468652025,66.94191739763494,106.96054048008072,149.83967855583182,187.5600772899832,212.09863828938035,212.09863828938035,217.56603566533235,204.1916141330987,178.13750710782156,147.3915354005107,116.140919579527,87.57513785145225,63.202677868564614,43.304223906305666,28.431093876564677,18.56795280817183,0.9713179911448157,10.303751817779656,56.27003146973987,463.7481596583937,76.21886076562176,261.4094232591107,408.5755945072763
x025,0.2113451767189618,3.2831910423114437,13.83283051963683,35.28844949401285,68.7183680294218,112.43724816799252,162.01873775570513,210.60712250337463,250.4967255039633,250.4967255039633,274.89716215790173,282.02495455922144,272.4661984757534,248.76269757436947,216.2319779762304,180.9420874801397,146.3494130801803,113.92730088354196,84.67369831912514,60.862536148759794,1.0123768100936623,11.156671224678703,63.49761235568508,586.9532453705428,117.39134166085124,325.0375821197266,480.0670786557297
x050,0.1650573779579175,2.7205749731896343,11.90236279410401,31.31566952151897,62.74807560568116,105.73013335353114,157.59274370468592,213.93914032173487,269.2211922156215,269.2211922156215,316.9418149480877,351.7976395257124,368.4724485758297,365.8968113914688,346.8337823512094,316.5788153719347,278.66126510804884,237.5576086514575,195.02602500749876,154.88418138655155,0.9523946593268504,12.225636975031852,72.27192180859142,660.4173518963855,195.71713993073416,362.6946430910116,462.2551652085745
x075,0.1219448827441256,2.1876528408570066,10.05382374784982,27.369299741851,56.55209241704358,98.21599324712112,151.04899190788646,212.04151797393203,276.7895279743039,276.7895279743039,339.77523042914464,397.2727394516379,445.3885658340964,480.01253707574256,496.158826902642,491.7129576522948,469.27244731393506,432.81990048284746,386.091672626879,333.22723549268704,0.8699851589636584,13.444711020072145,82.5796604100383,698.9926313550234,327.0978866785666,390.66499063534343,391.639001952272
x100,0.0829609697767531,1.6395155648082398,7.927221158590879,22.40226266927316,47.91980277148768,86.16517363340057,137.4688623202983,201.0399766591264,275.0634232310068,275.0634232310068,356.66889971061465,442.8178315525624,528.306242484611,605.643697755936,668.2733448309972,711.771927458376,739.8726774409681,748.1149228739878,734.8724512481604,697.1607258273118,0.8059032105503573,14.736159942772325,94.41659513698394,756.0089694225128,504.8124497630928,492.4505089504155,468.2919076818123
x125,0.047680249451359,1.0911825898528096,5.796166873868558,17.465383765851552,39.26553314111023,73.62057198098563,122.11765945978335,185.2358908724648,262.5878937661453,262.5878937661453,353.1155130994088,456.3311474687934,570.7367903823446,692.9162391513285,816.2061118560393,937.1309296088974,1055.8738414870777,1160.6793118391556,1246.6839652056058,1305.7118920528944,0.8280066476892324,16.198368087215098,108.95631823877576,782.6434496909405,596.1468272430254,651.4850250164451,1147.6398782761205
x150,0.0247098162227571,0.6216707695738746,3.6189894070301434,11.689366536506212,27.731009513664993,54.25917988252825,93.39047740512156,146.35799230346908,213.8076757266556,213.8076757266556,295.70326814677077,391.7731618991715,501.23171337532807,621.4344339051113,746.2333334897476,874.7899862627778,1008.9438568957522,1141.3070766205997,1269.847685973759,1388.2410753002064,0.6496948996148914,17.696196475153084,125.29190587698596,763.8691001809029,421.51067962444387,502.81025874972295,1190.3713833539423
x175,0.0125052476824593,0.3203842025661046,1.9224025447149136,6.426065939442688,15.75393296972818,31.811041755238012,56.454218098911554,91.02807681717331,136.59151600276255,136.59151600276255,193.5767662734391,262.1167952297976,341.7751553914465,431.45189275717235,528.2653467724873,630.8225832935575,739.1717507645296,848.8222585221718,958.3496291785162,1064.5486592153825,0.4003586795980512,18.748887654618173,139.40789001627718,754.2541657553753,245.2383748662027,340.55851906411544,955.5413922245488
