,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30
g000,0.6405556713140654,3.4641522564558547,4.146658177188941,1.8259739561234072,0.2628090812780725,0.02919360461184309,0.009465354845336789,0.004992353727375889,0.0029637135549031384,0.0015726048200963808,0.0008214768738317989,0.0004389245373357754,0.0002389015724912686,0.00013012648791577998,7.153501455520654e-05,4.02132878796192e-05,2.2854957945982953e-05,1.3087119296615836e-05,7.482087818324408e-06,4.2312294765122025e-06,2.3497435898474245e-06,1.2779030345531026e-06,6.844980968319666e-07,3.608607782724462e-07,1.871942577198304e-07,9.741946706896493e-08,5.170364745339314e-08,2.8784022491941402e-08,1.7383766964588243e-08,1.1577305153863594e-08
g025,0.5011292056175826,2.7897326997758847,3.4591353820734514,1.5883553423684542,0.2509625188191085,0.03455533933398752,0.011156750105019615,0.0051237140715135,0.0028030937607084654,0.0014821067230113964,0.0007970090598302343,0.00044283485465300497,0.00025211551448514006,0.00014497795161773935,8.502110689052692e-05,5.151488805501676e-05,3.1881459481559e-05,2.0059132123085244e-05,1.2691791589682443e-05,7.992125119403276e-06,4.980710464230591e-06,3.055573422515524e-06,1.8522370861628828e-06,1.1084583068990783e-06,6.541073720371675e-07,3.837558663738997e-07,2.2592383178484223e-07,1.3521329240822762e-07,8.389867669440409e-08,5.47987868907432e-08
g050,0.393376589038499,2.2508342317597956,2.881138105864668,1.3769625871171856,0.2366584459156076,0.03902137070647913,0.013562790394849367,0.00576698211973413,0.0027571393354952544,0.0013716592036431825,0.0007352244793869412,0.0004169391823227693,0.00024439657822609035,0.00014539032391306102,8.839900871260483e-05,5.5573655001459834e-05,3.5707854985677196e-05,2.334586993099241e-05,1.5374176259991512e-05,1.0105094319888384e-05,6.601366540391872e-06,4.267128833755629e-06,2.7405092244302236e-06,1.7489918332198883e-06,1.1091144859524433e-06,7.032935779127118e-07,4.496031783497109e-07,2.920519288674797e-07,1.9509388280626073e-07,1.3500124238607628e-07
g075,0.3107133413941674,1.819838749280789,2.383620318053315,1.1905781984524897,0.22106172141107266,0.04209530725350793,0.015803079262487845,0.006539897514218547,0.002773313314900907,0.0012675747808284022,0.0006656841676243565,0.0003829030593101781,0.00023073062866738086,0.00014174246809058792,8.900486911537914e-05,5.76957471638213e-05,3.8179856772553106e-05,2.5694872891752845e-05,1.7429414484672403e-05,1.1823378998746862e-05,7.995848545642702e-06,5.372310741005221e-06,3.603045330347521e-06,2.4140842907673016e-06,1.6173399757189127e-06,1.0889528333778417e-06,7.41755802042047e-07,5.134511702384047e-07,3.635284102641904e-07,2.6386319030650915e-07
g100,0.2400836781990988,1.4404709265466271,1.9533426044412172,1.0238776209298317,0.2025160573102222,0.04134710006829431,0.016248314975759914,0.0070256926006263196,0.0028693927336268907,0.00120411341034756,0.0005944951143883132,0.0003369927863477289,0.0002064933690345442,0.00013070252836818662,8.484438646039842e-05,5.680538178781155e-05,3.877289326106422e-05,2.6894898024156858e-05,1.881499687165476e-05,1.3192463292253585e-05,9.252255594720797e-06,6.476348651121792e-06,4.549493666507251e-06,3.212198331040714e-06,2.2834824230454117e-06,1.640412573153616e-06,1.1971232758973732e-06,8.888691364926543e-07,6.732899233929927e-07,5.192300366431498e-07
g125,0.18703970252409308,1.1476776711751688,1.6146563212023266,0.8798690263851245,0.1839797250189392,0.0385666803320695,0.015356421073547875,0.0071644683772448935,0.003052887679032127,0.0012267724343009178,0.0005509634592434542,0.00029357142067269884,0.00017814855326626065,0.00011505906964029342,7.697397301721988e-05,5.314620836923048e-05,3.7360247357782506e-05,2.6664381256905946e-05,1.9201849968803227e-05,1.388812927632128e-05,1.0078687980808305e-05,7.3304466093226655e-06,5.3759389387245495e-06,3.981674120441293e-06,2.9842449843197374e-06,2.2682282254948205e-06,1.7550839796249495e-06,1.381995017014794e-06,1.1078757531839426e-06,9.006634210296318e-07
g150,0.15017399906656026,0.9358219525633354,1.347211156115932,0.7569130725063878,0.16683882863050342,0.035501165388174064,0.014409663852768664,0.007451104398949102,0.003468410854639186,0.001406503427479857,0.0005717338716886139,0.0002679439867532591,0.000150835560632552,9.60034934809759e-05,6.533584695808209e-05,4.632030468017885e-05,3.346002352973894e-05,2.4507453581273182e-05,1.8098162106011715e-05,1.3429446056883048e-05,1.0012414732910686e-05,7.496283548615198e-06,5.6713441241765486e-06,4.342183221581602e-06,3.3707521602935017e-06,2.6562534752412047e-06,2.131447262958824e-06,1.7393855406120968e-06,1.4427879713988814e-06,1.2113974942316967e-06
g175,0.12071055246061183,0.7634740839862181,1.1165885282164323,0.6519696486333287,0.15149109554831253,0.03264571677639265,0.013447260223774559,0.007544200612722923,0.003823364226699857,0.0016289297006717757,0.0006395020934317468,0.00026536204977955445,0.00012981055560979014,7.58239534071237e-05,5.0403670281044764e-05,3.61347035558372e-05,2.6718735083836697e-05,2.0087827187376348e-05,1.5226947950168252e-05,1.1594077881542133e-05,8.86866111409116e-06,6.812245920415214e-06,5.286021380521953e-06,4.148617459614744e-06,3.2988758021602984e-06,2.6591603278489316e-06,2.1788457792630414e-06,1.8121617458858184e-06,1.5286655912991732e-06,1.3029086001452375e-06
g200,0.09530475543608494,0.6117818644242529,0.9179671913813282,0.5616155626739607,0.13737770915773367,0.029846687083397862,0.012289958842318592,0.007185846425551413,0.0038295014106947568,0.0017076093018085295,0.0006783873113507547,0.00026429911363857247,0.00011218550524292107,5.614275693402181e-05,3.406734265466571e-05,2.392189173911917e-05,1.7977379207082575e-05,1.3930030866695824e-05,1.092756315400488e-05,8.621260698599946e-06,6.83237539233691e-06,5.434460787566451e-06,4.361682701501115e-06,3.533929143191281e-06,2.8944897986607615e-06,2.3961424495117302e-06,2.0095813249727392e-06,1.7050196602977854e-06,1.4625850737378607e-06,1.2642835734264757e-06
g225,0.07512398947160694,0.48972919409974475,0.7584745081646178,0.4849422838772737,0.12450654541963714,0.026896153994019983,0.010758944552363694,0.006207862575081752,0.0033614573501672984,0.0015293361849043703,0.0006124064628653336,0.00023110792387413497,8.935370921045616e-05,3.8700374345284384e-05,2.0726657388555112e-05,1.3859366063832847e-05,1.0495878779926722e-05,8.406164860823215e-06,6.874562493459455e-06,5.669181701213003e-06,4.6950152932695964e-06,3.897314754114752e-06,3.256022698880913e-06,2.736186220051906e-06,2.315192889819234e-06,1.97117526793888e-06,1.6925433248255769e-06,1.464348269473975e-06,1.2762366757781305e-06,1.1177499352916473e-06
