,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
x-100,23.926645271816287,340.8907981156309,1310.8951896859298,2895.087320288145,4606.066300639797,5762.435400237656,5852.26327589997,4821.45733165161,3203.587430395127,3203.587430395127,1761.686775781779,817.2406112038507,318.3758182108581,101.7222648519086,26.313131604553536,5.37318109656842,0.9719448096715344,0.1601591783517329,0.0239056371247299,0.0032792190865778,55.54119160108068,2677.8212598308364,10863.983713710551,10639.425912594692,10618.58012950349,4757.254514285683,23685.478419483763
x-075,19.566056114365853,279.8917468376949,1089.8523515461336,2461.279064967161,4034.75537948892,5254.423437514069,5659.638843433961,5102.953057564085,3844.094388147679,3844.094388147679,2449.877409310718,1365.7372084305646,691.2336493817556,311.25876371553176,121.7612737582658,40.836915725479834,11.693940800796137,2.7648562915280124,0.5768586713506579,0.1121699680537343,49.63934292427394,2917.040023632068,12372.96980386005,15166.065988491606,11671.315306685068,6405.5078819707,32432.722593378585
x-050,15.182501234700007,220.64182053081595,874.2220573672774,2026.241224353748,3446.896229246112,4730.647846121809,5472.648954164476,5403.4572146521505,4593.9281058738825,4593.9281058738825,3383.739330193454,2209.9945820340445,1342.6617042316511,769.5377249043677,402.64246473220754,192.23028052617056,87.93646361371634,41.46319122441832,23.525127219770543,17.4974508831468,43.03641360656387,3112.154327448201,13824.991433831625,20253.880043289904,11366.927850647342,8052.280553461177,40364.77338466782
x-025,11.357872100760025,169.58241223514483,687.2187233594651,1644.8652837590666,2920.2713829791587,4227.817722452688,5235.148924805386,5674.968393215757,5426.5734633107295,5426.5734633107295,4581.581681453357,3482.48180045681,2453.958396159114,1653.9710390599182,1050.990693612226,629.6278181119048,355.89274497828086,186.734505527429,94.0145203264778,51.706684772275274,37.14699312391351,3265.7347130691223,15226.612290718887,25205.95733389914,10461.83322961179,9655.478893422754,45433.95912463619
x000,8.342579071907425,129.47782693856462,539.9051533151385,1336.081625771341,2471.238892955246,3769.516941014848,4983.552216222259,5842.342987567617,6167.460877720502,6167.460877720502,5924.635004582488,5206.029608837591,4233.836023274273,3262.299957102298,2394.6834777677286,1694.0123801364944,1162.3555513460813,762.1748173544114,476.8083027089483,293.8130504011268,32.44851158331987,3372.532883004631,16577.515062104572,29217.494182548828,9954.89296962729,11031.37555120112,45729.504649940565
x025,6.109888898105782,99.01928746361092,424.7616336261601,1083.843989194833,2081.442274548232,3325.433136025091,4653.368118767807,5859.238483166568,6734.826625091687,6734.826625091687,7116.9587814016395,6999.789905505489,6464.849217382923,5617.142335584498,4619.586769223017,3650.7998914108466,2807.956844120587,2098.3667449755912,1507.7560077131682,1047.88255638298,28.27711642594945,3414.902626665201,17825.79186937739,31775.479539327695,10834.278541481272,12081.448466188158,40797.99467256657
x050,4.292937556613339,72.82200599007541,322.97854614334386,852.0329424974436,1696.6666505279377,2822.736393802182,4137.284408549453,5510.896241684244,6797.034275006513,6797.034275006513,7836.379720909857,8500.012824124504,8661.024577772312,8313.647084250268,7569.70219505635,6603.411955242597,5551.1424191650785,4539.434317013562,3603.036191065687,2786.746315113494,24.13915557726655,3390.106326496263,19014.47791877188,33145.977650877816,13439.600589659596,12933.806469556292,33598.92076608844
x075,2.972960542687458,54.52979262553642,253.0316180785833,690.5481908846746,1423.2514181276736,2456.2836862140325,3744.094215128395,5199.291377715293,6701.561006598919,6701.561006598919,8104.682717666844,9312.250011302613,10232.912127480664,10777.58297399259,10842.52765043609,10404.077591812793,9581.070561404182,8522.28348047977,7352.623435648306,6167.337833534122,20.583372674867064,3257.1846675370675,19971.67306204176,33889.87848670197,16619.13275321095,14137.53447716695,30546.3147251999
x100,1.8852245507707424,38.05475689644211,185.78507688388967,526.7171034940361,1125.7937864116393,2016.665829118862,3197.9119936074844,4640.603177432435,6292.082148070685,6292.082148070685,8074.1080431584,9905.400951981872,11653.371897736224,13134.828582063126,14200.84650915853,14775.874602896363,14995.170662941087,14808.332387342783,14214.381059892325,13177.34480522286,17.511967546982564,2984.398940607479,20232.21885670585,36971.81665401844,18710.53006214048,16560.15136756901,39116.42506267806
x125,0.9771904624719372,22.74280958289923,122.13293256876638,370.250240076292,834.2537133944506,1562.5499347309235,2582.5777799094567,3895.387983810824,5481.7477632318805,5481.7477632318805,7308.996328978121,9358.80635608417,11593.886219640988,13941.936651958364,16264.481852732662,18488.541535943736,20620.906465203043,22416.111342286775,23781.586161233074,24572.38242674866,16.158624379182125,2610.4005260101467,19364.59721360081,55470.281650605786,17405.658660164503,18765.519154815647,56807.76532197823
x150,0.4551080045070023,11.593926187898516,68.19419858213092,221.98786459894407,529.2893746577437,1038.1188899203214,1787.4025762115275,2797.2603451774276,4075.477346953962,4075.477346953962,5615.788916956539,7407.1655904770705,9428.093994943878,11622.933650243667,13866.918031498057,16146.29062641978,18503.592589949552,20809.638297237296,23040.99004405656,25092.400373071832,11.79856386558872,2214.758749962078,17534.015081516274,76354.05397124556,11083.680007049055,14027.635471545884,49670.39670571687
x175,0.219217756476551,5.690190039944998,34.458714689700564,115.86191628351284,285.00232797730814,576.3604102054269,1023.2623556443376,1649.435024737293,2473.1848051921925,2473.1848051921925,3501.47341479878,4735.668991741921,6167.209827151182,7775.479693686036,9507.176842078628,11336.959164108235,13265.989027251946,15211.16460717208,17145.47998733231,19009.321994520444,7.050789863891647,1854.8708664398732,15292.785271708424,67750.00422938632,5850.163877655415,8843.840383441255,33070.08287418652
x200,0.1193179724317416,3.137422293106493,19.339191178901316,66.2591622996297,165.93725257629472,341.3456056379809,615.5907075092352,1007.286701071095,1533.5867452033071,1533.5867452033071,2204.249367934559,3026.865451381331,4000.1700885204928,5115.841012144328,6362.8902463192635,7719.627803165618,9175.34537541602,10692.790098699716,12261.060264308782,13830.689961703982,3.9282879883935102,1546.1739172007842,13048.954977840283,57182.88256495826,2733.0650696196494,4864.646834060811,19890.714822731396
x225,0.064257014743769,1.7048432639713431,10.60918688549995,36.629118646791625,92.32960401405606,191.47341613140284,347.7979071766005,573.9250100423425,880.9710074352832,880.9710074352832,1278.0499525522432,1771.4699409704626,2364.233444808564,3053.152897861836,3841.138035679173,4718.30545373176,5676.186470351437,6705.023035251834,7792.742979460068,8926.857548261558,2.059105822663557,1261.3526256347034,10776.439765078503,42746.92490106747,1155.3725913686806,2304.3373014802937,10349.78186466159
x250,0.0326585603935542,0.8734617045797819,5.475133144430747,19.006108567401935,48.140524582511055,100.3901717093815,183.5727720108869,305.3006906783037,472.6011637483126,472.6011637483126,691.7512073667191,967.5784150173852,1303.1049593014873,1698.1616284284444,2155.7790121456383,2671.5528485342616,3241.827102633906,3862.574373555949,4527.91408260889,5232.09299956757,1.008874906950314,994.803163929676,8558.616133558406,27654.540739437372,450.4302854931177,952.51786320439,4654.259368999637
x275,0.0159240709010035,0.4325334570812384,2.762347290786312,9.755267401649354,25.09906484350153,53.10896735122164,98.45623336183012,165.8735906242675,259.93221772798915,259.93221772798915,384.9035423008313,544.3700498742196,740.8826430286791,975.1763757362482,1249.5249115529264,1561.8796648758937,1910.6385748062464,2293.7079420478335,2708.1201022596156,3150.606239173965,0.4597470524181155,756.1543635905773,6535.409735859828,15100.694648151732,163.65049931394154,352.4579604999573,1838.179676616414
x300,0.007215167454634,0.1990696904170974,1.3061211087329982,4.73082534658389,12.437638709671964,26.79468244615737,50.418761809730256,86.00320931893086,136.21381291809607,136.21381291809607,203.60366617904776,290.4682378960192,398.61935030293824,528.9818513859648,683.172771223015,860.5578475550284,1060.7049027460016,1282.7548335768176,1525.5202918289278,1787.4220422616177,0.1940745856664099,555.4290365622331,4812.355200789758,6886.061869693574,54.70113978928629,119.19491308991506,636.5446293366964
x325,0.002664667393271,0.0740514860427829,0.4980354632437732,1.8474303877361256,4.954717426569643,10.84813733500119,20.685093383530894,35.678835789601045,57.060301664909915,57.060301664909915,86.03411303325942,123.74315078097112,171.16177384471058,228.94333721759116,297.9833007662831,378.2704721587419,469.8933488451475,572.615862019758,686.1748501249364,810.0096841784618,0.0719238115649063,396.7141960329455,3435.225484660688,2575.172657996276,16.596826878474698,37.576976680626885,189.5880128989912
x350,0.0006728250495777,0.0188353157699672,0.1299492063104854,0.4944702713587639,1.3556595718979088,3.0246131420139934,5.864415818425273,10.270733444495868,16.663254020811934,16.663254020811934,25.46943624807136,37.118678212550904,52.00032426731863,70.4384979066882,92.78970456859514,119.16999976065988,149.72610471382802,184.44369827742193,223.3355136378046,266.2998210645803,0.022187641456131,277.72665294211936,2395.821147430086,764.4300950882496,4.595475827200121,10.769323887523251,47.53054776598654
x375,2.5469361714448636e-05,0.0007148842740811,0.005202473050354,0.0213447149849788,0.0636899148997225,0.154974761773989,0.3272330684415616,0.6217699462064947,1.0890321910074288,1.0890321910074288,1.7871576399828366,2.7823808698519414,4.140868376816476,5.933972338108581,8.227202969747315,11.0724493724075,14.519776794195163,18.594198469788985,23.31790131531918,28.70117427004855,0.0022622142643784,186.8122111984013,1602.616275160305,149.92842986003745,0.9393159391511426,2.2637331553771287,8.078525449773743
x400,4.589888009623081e-06,0.0001248904662036,0.0008921142718945,0.00362462686683,0.0107602801217352,0.0261211442582742,0.055132256801642,0.1048659102764188,0.1840825192420553,0.1840825192420553,0.3030882955670713,0.4738639113763209,0.7088349111284608,1.021905423944829,1.426511595510955,1.9346458819055985,2.558722807070043,3.307635331101145,4.190622326175859,5.216361591009972,0.000770278007617,119.97376127332883,1020.669228489468,16.499765017252326,0.086208450496032,0.2254844343387632,0.7371451775585995
