,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
x-100,12.067191122363417,168.3010371014741,638.6539867079181,1408.8936607406554,2265.379615717939,2893.841687806167,3020.6982643814213,2559.4242787420026,1743.757631907301,1743.757631907301,980.7363245820802,465.02292227381673,185.1060034026887,60.044920509531245,15.688567870698716,3.2164725385118733,0.5814193838146476,0.0956589022785413,0.0142447857429257,0.0019461467429276,27.34702329889037,938.2153554181384,3953.3295857520015,5005.509497817799,4159.445666437129,2106.6260313493317,9682.712095320185
x-075,10.379487384375912,147.01142456960227,569.1191129298767,1286.559365779274,2124.506923848091,2798.540904476173,3053.4618394798517,2788.7263169668668,2129.10854940439,2129.10854940439,1378.0077847082864,782.2717533470868,403.6941727926226,184.4601780706641,72.76297235008036,24.56011836934341,7.052310469680868,1.6663268699536842,0.3471376058866271,0.0674081823282884,26.35363381686714,1035.1788250310797,4557.063466917997,7408.608354867194,4951.365181019684,2996.352564801047,14063.276709466396
x-050,8.262028012715605,119.42714661732896,472.00331394281136,1095.1546981919378,1870.711203151188,2582.8654455771994,3008.085856917199,2992.09209247811,2566.607700551218,2566.607700551218,1912.6042618401775,1268.526186181257,784.3320628324143,456.281408977641,240.67597908052167,115.4200056281286,53.001134076477925,24.981521895354504,14.070182472617624,10.36810577323596,23.58159727697432,1118.489721214823,5151.097488386362,10192.646907438972,5061.604602109951,3955.64692703453,18401.739394850567
x-025,6.275774473082995,93.33651237197095,377.68248255120466,904.5927445807608,1609.935459499218,2339.2987937801213,2909.4318910828097,3169.7523422258178,3049.7375774239267,3049.7375774239267,2597.218731728091,1998.356167834296,1429.470483820994,977.6931782945608,627.3398153841856,377.4088828222396,213.7720596754043,112.41754201865818,56.53499329886186,30.86711534726292,20.644778539214993,1186.559899311222,5725.820095376048,12921.944667028056,4673.623669004511,4922.523771902317,21475.312457209093
x000,4.656599285972753,72.0155461605556,299.9775309581868,742.6719312794203,1375.8357804909176,2103.662238282061,2789.570191661214,3282.707298458533,3482.7576245083155,3482.7576245083155,3367.9865980465624,2986.8736651927834,2458.2459696892124,1919.439675897044,1425.1293708136805,1014.7795598026646,697.9972949051427,458.3589394382359,287.5859816740611,177.80247639438997,18.17869347181093,1241.791882895502,6294.193457882932,15136.203336446746,4314.113244219713,5748.994301997691,22177.159187490608
x025,3.438482657721788,55.53512970734019,237.99490233681183,607.4200162068382,1167.7881045889771,1869.0207888121013,2621.4718014948808,3310.5924043247114,3820.102016308618,3820.102016308618,4058.087204059053,4019.6021827016025,3745.871769644495,3289.766869838698,2735.3629961559845,2180.356031159739,1684.3481299507166,1260.4049763600797,906.1752174965736,631.0127413219046,15.949754859625754,1275.9687407716688,6823.672890958181,16507.72048549479,4528.166201090015,6295.507807472592,19998.229969460343
x050,2.4375235987528394,41.18418641114051,182.43916462112475,481.2979697141768,959.213912843932,1598.1684508021303,2347.142421811873,3134.4609847027364,3878.5859834788184,3878.5859834788184,4490.281001207466,4896.963178006903,5024.364913997565,4863.330867069047,4468.197296932245,3930.26082046569,3323.950973753708,2726.0132847107666,2165.0265948387773,1673.9981133969818,13.751178034748792,1293.693581865267,7350.793708168367,17198.769370555492,5722.912388645454,6549.257442368206,16077.35169766037
x075,1.7124722709375833,31.228228626091585,144.55495236327468,394.2620053003576,812.9583587996689,1404.758059488409,2145.3231870152913,2986.7436992974954,3862.340967010374,3862.340967010374,4690.054429348389,5414.879758159122,5982.2377089107395,6336.686282381527,6413.869405489604,6193.796500459062,5736.024670047908,5120.960731662733,4424.605987879246,3711.249474207868,11.919730624360891,1283.266799300999,7839.014798630157,17672.939326419153,7743.806446591431,6922.042534707165,12771.638955018474
x100,1.10906083963779,22.26610624081336,108.38806112009144,306.92535494149195,655.9716002192467,1175.9597500357736,1867.3947878158708,2714.9900206852803,3689.5513053149866,3689.5513053149866,4746.875650573631,5840.684831522601,6894.710051803173,7801.977107122158,8473.329765783465,8857.059122525863,9022.2349849296,8930.198288860447,8579.387624083956,7952.961185318242,10.377919024827785,1229.1834894368792,8185.927628731342,18360.447956514938,9735.683156063134,8397.31435449615,14649.00275232959
x125,0.5885420257388797,13.685877450230908,73.37823003694571,222.15267361484177,500.226058918793,936.9293389084488,1549.4425293665076,2339.4185304388775,3296.471358351405,3296.471358351405,4401.966476733681,5645.028799377408,7002.504746608615,8429.161824843035,9839.41910067792,11187.046851832729,12475.343862461808,13555.864227235155,14373.659627176025,14842.91388064338,9.741809729396332,1124.1431094069872,8168.977489810174,21449.32036257331,9711.625033766346,10261.528040761732,26041.695537344625
