,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,C609,C370,HCO+4,H2S1,H2S2,H2S3,H2
x-100,0.7194718794207348,7.807927480463896,26.58037903739909,56.31735403009201,90.10579629320978,116.13279476692875,123.12024429690068,109.23674462589216,81.88025847775407,52.52816572221688,28.981907631359743,13.753623855310192,5.484477528010543,26.15369398683964,106.93075084767008,0.236168603497153,59.8446449226304,105.78048381168276,204.777491639032,207.0654164158256
x-075,0.7041973369542097,8.235158255214712,28.99898685638583,63.27034083025213,104.47754303923143,140.45133476235486,158.0544869370275,151.81723161319607,126.438963244566,92.84078462582912,60.99943558563794,36.44558428042178,19.444938338433783,28.83014116611421,125.66967995929365,0.2504770238656204,85.13284791013146,162.00046627138062,331.90570971846125,327.5425484566237
x-050,0.6483080835006398,8.213286713705873,29.99270826502145,67.34410710223113,114.54589434022816,160.0071419578616,190.71551915076725,197.882189212746,181.50541819598547,148.76637245210827,111.74428661743336,78.39535829053091,51.438117171857805,31.07937102245944,143.3148955630803,0.2679699731385109,108.63495497037438,232.22374604670185,501.0904975705754,489.27508990933256
x-025,0.5477372447437343,7.460840107930308,28.42228560306136,65.83620644291706,115.57388584737087,168.6706890943147,214.22438954353893,241.02766093576645,242.74744221092504,221.2280251691781,186.7986185138484,148.85110426170397,112.89498329785243,33.333554592626825,162.10952918713554,0.2940670583057842,119.16229960304572,307.5951476539935,670.8859330004391,668.3956969184163
x000,0.4387676158650616,6.350102111538599,25.276779959596965,60.719059209052205,110.63947520995794,168.65678087733394,225.34029412274725,270.1058987898069,296.64902218133784,300.1974414414856,282.77026911944336,251.135963191487,212.9597522000835,35.58062257887333,182.14056285090652,0.3356282906731593,122.96973767245105,368.2707134923921,778.6204646470715,830.5612230380652
x025,0.3402890673062081,5.16437110605782,21.452439973400963,53.53697141277824,101.23836158448484,160.50687306134068,225.01306616715428,287.1243311134739,338.8959995980827,370.4636619812839,380.1673927138396,370.604848277864,345.1092751471506,37.83994852710656,203.64598482652636,0.3944587416008877,149.30876187320854,389.67721061445377,788.2268045952052,966.0298280449778
x050,0.2563235479489696,4.1414540705758665,17.901587243867223,46.34431197146919,90.94486697312664,149.97506525343775,219.14033002442784,291.62058240207705,359.3085991559025,414.7584964931005,456.9329503833845,482.591761111988,486.78695829426704,40.20010304538025,227.40855672552087,0.4673674882939173,227.96172536800685,387.05863116654,701.4802861349665,1070.1481889700551
x075,0.1845173298770242,3.125567850009519,14.036723078515124,37.71342832224034,76.78945378056802,131.33161159982663,199.14365334517257,276.56724262773514,359.5935774061072,442.9390556900085,521.6242547044792,586.6110183313833,629.6801205898996,42.25775402468661,251.9672228173448,0.5473128516952452,373.2418916781742,389.00765741062673,579.3307690078262,1166.5532819808757
x100,0.1264556356512313,2.391534954048708,11.38078361057968,31.82980368660227,67.34525225104183,119.65872965545104,188.6216307789689,272.4843849965964,368.1966681172709,470.54853552652327,575.4676637997649,677.8504789378776,772.918389776561,44.39466260166232,280.1086677198125,0.6576770017671065,594.97916615066,495.0545139194411,651.1783632464114,1293.9260758172045
x125,0.0747865971118759,1.6302026094478956,8.373221430687243,24.669615657225748,54.55247899293163,100.98596577096676,165.5809340386978,248.71230422542288,349.77455448749726,467.1751948112264,599.9054310126917,745.2613491942582,897.3133014550643,46.20695625227037,310.7871721064441,0.7971776928040322,703.7925772208054,664.5883076866786,1198.135252381106,1356.8162999721178
x150,0.0382068863577709,0.928437414134795,5.222583191063691,16.452850881497554,38.3656253899115,74.17456784351327,126.51844442808358,196.7416082976381,285.4301390178899,392.4016446784682,517.3514006684653,659.2379878847266,815.2927358177172,47.09210848606904,338.7684042936576,0.7088831426952196,552.9441709362306,599.9734287298052,1345.083481917767,1291.859697726668
x175,0.0193263019967848,0.4875980989792609,2.8783300451908604,9.4801779637898,22.957845376593347,45.94318364555856,80.89990891711432,129.71652981156382,193.7951686190544,273.59687630077354,369.54299628720287,481.4066969369141,607.2026406799864,46.41817733477257,354.1717669273381,0.4963391735725979,349.76533797121505,463.44886602844025,1324.320089575851,1364.5539546905786
x200,0.0108280860592709,0.2768196611861634,1.6652609482849086,5.605066897016742,13.866229638375303,28.30670247657456,50.809481870151934,82.91232579191944,126.07929363820388,181.01905181662923,248.4632649804687,328.2702796461259,419.84362006051487,43.9976862961743,349.25565268184624,0.309996381827088,186.88033263288457,301.49972629639456,1094.140716710797,2408.619153509489
x225,0.0062874500156422,0.1631165168863471,0.9965713624742232,3.397722746501345,8.49172909778137,17.503774313665986,31.66723955811731,52.103643808391865,79.82297850825903,115.6319634400374,160.11393957389396,213.5437329489378,275.68280095639426,39.57032512455485,320.894431527579,0.1797457291597133,87.22473470837132,160.95520451467837,673.2187985983539,2465.7320940357804
