,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,CO21,CO22,CO23,CO24,CO25,CO26,CO27,CO28,CO29,CO30
g000,0.49749857151620974,2.703422115839145,3.2793587812486016,1.4859574881887094,0.22915928003273076,0.028373638064408197,0.009198747847556423,0.004868273734364161,0.002909401273466071,0.0015523274442362802,0.0008138373014245834,0.00043427046656292686,0.00023573660618206603,0.00012745500583498216,6.877630372457554e-05,3.736361746036081e-05,2.0166202232888564e-05,1.0796074871850967e-05,5.705722797248957e-06,2.961793007699e-06,1.5034995420270948e-06,7.478542835787628e-07,3.6782688669973515e-07,1.7921340799046763e-07,8.670308557952047e-08,4.2842952382811915e-08,2.217298074714253e-08,1.2452180718840935e-08,7.818040777074538e-09,5.479797395432452e-09
g025,0.39038329504966207,2.185830770822823,2.7575603902940786,1.3028973682350375,0.22278167408634103,0.033843969474625785,0.010824048642208752,0.0049896388362592374,0.0027461835743698947,0.0014596465813125463,0.0007856465522876588,0.00043329172979695164,0.0002431722009029354,0.00013607104380783028,7.605544340422119e-05,4.287241771441001e-05,2.4097110481926938e-05,1.3506201289776813e-05,7.520156053385984e-06,4.142455002991993e-06,2.2540706998034386e-06,1.2142434733234944e-06,6.541242461951766e-07,3.541190203335513e-07,1.939927933940892e-07,1.1005692302380703e-07,6.593176399930304e-08,4.248265885149438e-08,2.9709173367835522e-08,2.2342373947503213e-08
g050,0.31032678811555664,1.7841749750110751,2.320069209854267,1.1375337931999232,0.2131674034682931,0.038364729601199805,0.013266167564719837,0.005767777282179618,0.002747585699009383,0.0013608620311554467,0.0007263128189971259,0.00040735937717919856,0.00023424594263956908,0.00013465953732631666,7.739279684072405e-05,4.4911078484525456e-05,2.606001192233171e-05,1.5149829381873897e-05,8.806830855523042e-06,5.11068682868515e-06,2.9652495908615766e-06,1.7277101027156287e-06,1.0224615219066512e-06,6.179194853632739e-07,3.835266466396164e-07,2.4741374595121964e-07,1.6687049092173754e-07,1.1795046418912051e-07,8.73075917552426e-08,6.722546332113092e-08
g075,0.2485075143728553,1.460261707249556,1.9368824454327296,0.989159633448939,0.20111939878451865,0.041053355945279056,0.015338778410489147,0.006556329563569205,0.0027688431165221695,0.001259361660818675,0.0006587997757035297,0.0003745474595279311,0.00022083912857337375,0.00013059532791655232,7.722253675276576e-05,4.610149306214383e-05,2.7567830868605524e-05,1.6575836164573047e-05,1.002397733991346e-05,6.100299215117928e-06,3.748593887048107e-06,2.337939665199088e-06,1.4951591757701413e-06,9.831768654278726e-07,6.659119462112774e-07,4.6614099549777074e-07,3.370222383034024e-07,2.5097751392224293e-07,1.91967751740443e-07,1.5009438962521535e-07
g100,0.1941487747957653,1.1677677336982955,1.5970470155233365,0.8552294282466493,0.1864897321907999,0.041077737894148265,0.016677661444336432,0.007681998077795337,0.003065763045656967,0.0012366118861837172,0.0005946563802547057,0.00032975422582513645,0.00019623935886919073,0.0001187134467152294,7.214068476302812e-05,4.4360077966512866e-05,2.741307637618559e-05,1.7122967918081347e-05,1.0839844439996895e-05,6.977822334428564e-06,4.587780687393058e-06,3.0982723576099336e-06,2.1668124061377894e-06,1.5677073733460007e-06,1.170595395898692e-06,8.985084573458219e-07,7.059221134912799e-07,5.643285874277801e-07,4.572715073111931e-07,3.7348652636094264e-07
g125,0.15174490824522038,0.9333411990564422,1.3225490569153522,0.7392597101732991,0.1713287883452488,0.03876279572113128,0.016034115643304953,0.0077059480400934145,0.003092351845488941,0.0011826548739424314,0.000525938276360719,0.00027886894812920784,0.00016506780800785713,0.00010148261645313125,6.32397605004805e-05,4.003483181985642e-05,2.5571249992697987e-05,1.659320733281624e-05,1.0986749370252584e-05,7.458373050143105e-06,5.212233298575024e-06,3.7656759763422635e-06,2.826747130740413e-06,2.194938332012321e-06,1.7545586053128236e-06,1.4339278009364635e-06,1.1926872611668988e-06,1.0035900713728593e-06,8.514220065708055e-07,7.244684450093647e-07
g150,0.1216311277965861,0.760731480839529,1.1025183422188978,0.6413877899522428,0.15714085946745657,0.03615422810868698,0.015279151604300621,0.0077323474744373745,0.0031788145829670113,0.0011703295831231432,0.00046986647444784515,0.00022788721410729393,0.0001302584086556307,8.05225009090471e-05,5.140263278330241e-05,3.3533304600308666e-05,2.2125088349838237e-05,1.4856788426711301e-05,1.0201854176833263e-05,7.2017315579338174e-06,5.245329535497431e-06,3.953464524723117e-06,3.0935846684652923e-06,2.4984694378499695e-06,2.0712303339236627e-06,1.7493936811876557e-06,1.4990651577318063e-06,1.295923348189053e-06,1.1266832932587258e-06,9.804518081923778e-07
g175,0.09658795761236132,0.6147816497042026,0.9108623535377739,0.558675388721601,0.14357725133415347,0.03253430733483703,0.01313621804904094,0.006512556159102898,0.0027428201455508934,0.0010131403681597638,0.0003842850527830785,0.0001715645207469782,9.27254240638275e-05,5.6462689141072965e-05,3.647122631709533e-05,2.4380971630962476e-05,1.6582197617237385e-05,1.1516939803069818e-05,8.198572600207204e-06,6.0091937351224655e-06,4.543638027394631e-06,3.5485848212025473e-06,2.8673149161078467e-06,2.3812097213362833e-06,2.021677732408067e-06,1.7421942231590816e-06,1.5187200656488052e-06,1.332582366910427e-06,1.1737630712982065e-06,1.0334938922272073e-06
g200,0.0748690193493283,0.48627571485574855,0.7493694608497953,0.48874171254056903,0.1311295447009088,0.02916743617611415,0.011154780182773473,0.005306486101840899,0.0022146015640357743,0.0007912179490564467,0.0002812146158415816,0.00011511629379632303,5.7577614139414e-05,3.363136273248759e-05,2.161186972404968e-05,1.4720830190395419e-05,1.0347920428588801e-05,7.496555229284044e-06,5.5991734694662805e-06,4.318819248026579e-06,3.432014657025523e-06,2.8050454866520086e-06,2.356763277261343e-06,2.0209366130828607e-06,1.7606721683955883e-06,1.5487212939235234e-06,1.3724831630883506e-06,1.2206426014371417e-06,1.0874123212837637e-06,9.669071663170088e-07
g225,0.05969246108164103,0.3924802591636317,0.62847992960265,0.4299547263253993,0.11980866830923707,0.026022005708366693,0.009360230606190246,0.004125421306888404,0.0016475741476981492,0.0005606501566715516,0.00018949794442748384,7.184983455973395e-05,3.245384023135809e-05,1.7421391640342235e-05,1.0846763168202888e-05,7.509612966362176e-06,5.52107403661659e-06,4.246215575713345e-06,3.3867369106529307e-06,2.788524311759175e-06,2.350403260759707e-06,2.0201192901232207e-06,1.7677732985527777e-06,1.5649659090490552e-06,1.3975570462073454e-06,1.2530042213366919e-06,1.1271249753318786e-06,1.0145133576599872e-06,9.127591854070347e-07,8.184785578818833e-07
g250,0.049227694322608435,0.3260232441003569,0.5373193381577223,0.37998119123946983,0.10988238505119362,0.02320561685633974,0.007801157192302712,0.0031373788218753357,0.001207283252132068,0.0004011956326195384,0.00013391645355159438,4.9057980144281406e-05,2.0415018046933746e-05,9.8407539257118e-06,5.722116289398127e-06,3.948460247544973e-06,3.0156957129450583e-06,2.450612984015048e-06,2.0692229378132974e-06,1.7948022087562394e-06,1.580357468466389e-06,1.4074810257664098e-06,1.2668971079846246e-06,1.146508949758926e-06,1.0416894892736816e-06,9.466870518573032e-07,8.607753471976404e-07,7.815230348054692e-07,7.081649724195849e-07,6.389180702972278e-07
