,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
x-100,0.0485730788891365,0.5458352513325359,2.008418882651346,4.7142150059423855,8.566969001022146,13.020827926956342,17.057236630314204,19.36655376045476,18.794592740327147,18.794592740327147,15.263599408620236,9.723433431402457,4.711967451404185,1.7434690863154625,0.501803905302305,0.1083267714434747,0.0198775179019882,0.0032930990335681,0.0004920027634158,6.690226351752195e-05,0.2026552150461585,0.9813398089182828,4.438504389848016,8.4792305149241,1.056698449438366,13.544102164755223,5.461981682755633
x-075,0.0527396916362932,0.621514049242951,2.328793826733274,5.542629380323164,10.210183748961006,15.7899469738092,21.210294754328263,24.992876594356883,25.687629008362176,25.687629008362176,22.77757834590761,16.88285938885457,10.438012920827257,5.3829592599710026,2.318622926335713,0.8339379331758789,0.2485627179971747,0.0596883200760694,0.0125221195488393,0.0024407939085701,0.1816080494318232,1.3985888952400565,6.627478413333579,15.142263068728573,1.7136623743620103,22.68009440546675,9.94347182257378
x-050,0.0560882186758174,0.695415998108953,2.662118608826212,6.432297906363941,12.03566719031587,18.955612037872864,26.13347754835844,31.91396029878719,34.577571466629934,34.577571466629934,33.01456543772031,27.61007126995105,20.187110251729784,13.176416250942893,7.558072147718266,3.859719462451536,1.8518743342428536,0.8993788894435603,0.5106783831396496,0.3740179712964126,0.1802392113212026,1.733518937728405,8.592207153082551,27.99801371371341,3.065282549024501,36.24671462064299,18.635551240578316
x-025,0.0594992860919814,0.7764384428561638,3.0402335540902974,7.468137207987988,14.212706629996932,22.85396825680633,32.34481082664715,40.95039960794448,46.66710946517863,46.66710946517863,47.69498169545047,43.880725624169,36.302268128138834,27.59176344629233,19.175602497320657,12.265867355944872,7.253841626243251,3.923796585978213,2.01043046151597,1.1081073428710966,0.2042304152968043,1.9432850996224744,10.1125794646425,49.01817045912517,5.559320061219408,55.87482315546774,33.19490933154955
x000,0.0627233163217766,0.8650151533001896,3.4716280571334215,8.68447737908889,16.828287118704626,27.624282685858887,40.12833321546368,52.604036680122775,62.86537865183463,62.86537865183463,68.46241156578883,68.38176053815025,62.79912290210984,53.550915933749785,42.86909904496793,32.57828946967448,23.69664529077618,16.370409325686623,10.764625525861575,6.989347632176087,0.256053054261084,2.0297002044727357,11.141351218662477,81.1793860242079,12.142404017166491,79.73849710372495,54.99643476529162
x025,0.0628781887264181,0.926678673626572,3.831685243498172,9.78393301156016,19.306026861983717,32.30652832420601,48.003113221622314,64.81391803515902,80.50239344331447,80.50239344331447,92.3489211556828,98.52512122117784,97.82073535899124,90.89578004984364,80.00405460490346,67.40152583472333,54.72522368846899,42.891256780332775,32.1463993822554,23.195243740993767,0.3067310216077237,2.0846572827766425,12.041848739161718,124.58254891758608,28.813488832493963,104.03651604722428,82.20098098910083
x050,0.0569873490874425,0.9183706144971552,3.957734294073296,10.360310837214849,20.84809371926695,35.54267669270092,53.85718869053663,74.44001108641449,95.19917972003178,95.19917972003178,113.44956008312673,127.08334677414456,134.2370359927103,134.493967744478,128.6676565407222,118.19890039534091,104.35161802347707,89.17806524059013,73.68145189019774,59.125329141358634,0.3300945487126794,2.2488394304589465,13.52103302091506,166.07183088079717,61.26758241291411,123.1012968274454,102.29513532376195
x075,0.0437843067628932,0.7770017508838455,3.5558791208122567,9.670899910821827,20.01402146981946,34.88196038928574,53.89317027814671,76.02316259221024,99.72368416197864,99.72368416197864,123.07642215841436,144.83303190083709,163.62088922256277,177.73250301803992,184.92556143583553,184.1338006824194,176.1574132807302,162.47515718648157,144.91714726814294,125.52969098498706,0.3164075061266547,2.5621174766206156,15.89718023052064,193.07808991077576,112.0351039264505,139.55701943822288,105.20832578359656
x100,0.0309666343759501,0.6075594107074945,2.9238576319252063,8.242771859301982,17.622914203598178,31.720885561336683,50.71586986120733,74.37459330622168,102.06422908402376,102.06422908402376,132.73239728988153,165.23481642589866,197.6333375980247,227.13920658313543,251.26494921907977,268.1616042917302,278.8834205095124,281.5000569823748,275.60213253037085,260.65947472695586,0.3015408677187583,2.929049233548563,18.79858692718096,220.6348214155154,178.3807066378097,180.91748934555295,152.46391276666034
x125,0.0181353969692646,0.4161893387997543,2.212151374844614,6.661330267452455,14.964268880969229,28.043995722383546,46.514610435547105,70.56881357837183,100.0595466353519,100.0595466353519,134.56570067008718,173.85223908120258,217.24005807393772,263.29047029090617,309.3359651606624,353.97347020279307,397.2626289063499,434.7258797169312,464.64937250514095,484.2774799602863,0.3115867688819478,3.4188827090644605,22.787158866996872,232.523463643141,211.4246147565459,236.9741453514821,413.8021059475552
