,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
x-100,0.949471874490842,11.908863559192088,43.7066216619965,98.46510541043146,167.34166145807393,232.22588388895096,271.5459654089199,268.4482832833472,218.47983416185383,218.47983416185383,143.51380730002123,76.5503283152197,33.24047392019799,11.627812940856256,3.311692970390198,0.7411127406982457,0.1422649880301411,0.0242618629216328,0.0037129955918359,0.0005155909926525,2.187411315102988,35.9906270157951,162.81609446956355,370.15836714551494,135.61445353222794,165.7469039058736,425.08091472840493
x-075,0.9758149095572476,12.768515807325388,47.95664211883998,109.95228847335224,190.2500514454427,269.73625748665364,324.19098761477113,332.80101240004285,289.22293332941115,289.22293332941115,210.7132049495651,131.7319503676264,73.25206573020428,35.5566892031732,14.981347807441884,5.471351215899965,1.7045377529202572,0.4318813325581266,0.0937444743914236,0.0186814985491212,2.3845665825859155,41.60723277019666,196.7956241226551,607.0433008989969,201.79969786684245,267.0733276306792,711.8133208098357
x-050,0.9685642606772972,13.231206847636471,51.06518727605883,119.65667073158548,211.7135908281693,308.01897692801066,382.0070068937418,409.1429824917897,380.5360076900555,380.5360076900555,305.6111054744478,217.2638003278608,142.8701841948325,87.4625103266486,48.56501960100068,24.84194654340128,12.425296296117688,6.539788584387924,4.131240696780968,3.287274195176191,2.7404796008880803,46.06150565297085,227.2925726782504,949.9859417697198,277.1345870691468,407.5855841827614,1126.5905345809683
x-025,0.8837778004496991,12.688468003623996,50.49233418733449,121.2514979957444,220.03831291217384,329.95819603669315,426.2370152437108,482.77369434543783,482.42447649706736,482.42447649706736,427.68638633269745,344.8507795101397,259.0556249776788,184.99407518632185,123.41558847561662,77.39170904943064,46.05034940195989,25.892658145345603,14.299533190942867,8.780314068757155,2.944322212925544,50.16722599460046,258.2973131071035,1349.6580317823973,327.87261152988947,587.2246911381442,1591.2236455955351
x000,0.7103050428779425,10.765156127453611,44.51891978916982,110.48032383830434,206.7789217258818,321.104418275388,433.6695236583935,520.9640039846142,566.3557707559248,566.3557707559248,563.944009753812,518.2299409940564,443.3774464158042,359.17552492224434,275.72879356746216,202.789860002869,144.30423401906987,98.6426584470066,65.11314475430628,42.83641459865269,2.8377861536561704,54.55275985636409,293.0668998269427,1704.3236969925206,348.17484801451474,767.0794154944274,1905.7998802409727
x025,0.5537251692669072,8.76268736811149,37.296009044775424,95.27639876183976,184.3483136111748,298.11123505785486,423.7443011867354,543.8899516277478,640.0310963056754,640.0310963056754,695.8876841569089,707.5779124717209,677.1567537680085,610.6846724228557,521.3348436902105,426.12981113492214,337.5240660401184,259.41957671466764,192.23227509645923,138.67038183768074,2.6271424218305572,58.489867615656976,327.9834052078287,1945.103688250365,403.699264537096,904.8289534172465,1897.954741974964
x050,0.4180184728267949,6.9383035348855255,30.496020189219696,80.34217329851471,160.6791803663604,269.6375677306581,399.90325396394616,540.2449113533369,676.9917603943599,676.9917603943599,794.3256699655716,879.1289532371526,917.2313398000178,904.4041210109576,846.8021306285953,758.6061989729213,653.6203493383181,546.7114372669084,443.5168668859144,350.7350285101513,2.4069260877057004,62.183856708373675,364.1417312155668,2078.0617597157957,574.6745529872711,975.6542433865224,1620.222183406691
x075,0.3085229970093408,5.5345202950081855,25.423686727013777,69.18237169957224,142.83650362609689,247.7822391909814,380.61478336028154,533.7781175476366,696.3013462810295,696.3013462810295,854.1763372878683,997.4499580914388,1114.9226640030806,1194.1265903554013,1221.480882443719,1192.742263965545,1118.4055880515198,1012.6090298752148,888.7727167570625,758.5892057220461,2.1926066967032836,65.91039882005738,404.0522816095743,2166.227048331635,891.4033476511555,1015.6091453702264,1268.880688225624
x100,0.2090324870065334,4.163325215451634,20.18165655120561,57.03737337174743,121.89278421083203,218.8616769012156,348.54112101230436,508.58687150797095,693.8849153559917,693.8849153559917,896.3287643597253,1107.2936732384069,1312.663707100137,1492.6780784941086,1630.6847470544628,1716.603724359543,1762.3192976842536,1759.3073134105744,1706.28445454418,1599.308881144798,1.994086064660957,69.50121959865804,448.85019501434886,2321.7258436192824,1317.5318762901245,1223.0559469153989,1331.6713363653578
x125,0.1145936868622747,2.642197937732302,14.105972762007651,42.61982360710006,95.91222680359822,179.74458328556608,297.66069902818515,450.3117740643972,636.0712972665991,636.0712972665991,851.6699889297662,1095.292143867697,1362.710715680814,1645.294034420251,1926.599322000285,2197.754844510349,2459.1975967936532,2682.508681917399,2857.0161723002384,2965.851819012126,1.9357307022683907,72.34263453669486,496.3683081921161,2359.9957220741535,1512.0127072901466,1583.1184893753918,2842.4499820690926
