,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,C609,C370,HCO+4,H2S1,H2S2,H2S3,H2
x-100,11.313942788363448,131.67233104628363,420.5475504901577,791.6211901431722,1097.5605487385587,1226.993605623764,1154.3777392181212,938.1271890516484,662.172917059883,405.8195640671439,212.5331208848928,94.5314255239756,35.31691568327916,1186.761005410419,4486.733636176313,1.6104256428066832,2616.866712916494,1936.860467721554,6959.1169288288565,3631.284097068799
x-075,8.841524036773764,112.98365272907088,383.30147050269926,769.6461088100818,1148.9328354083043,1396.6939464190864,1442.1062265047854,1292.7583422846922,1022.529372500281,721.9027747351678,455.4277709468414,258.1410969833469,129.61790644924562,1249.89093039371,5057.03312411332,1.692964882208119,2800.649452456444,2509.007914259608,9380.54099985174,5102.94838424287
x-050,6.627727668509681,90.89520906109271,327.412312651021,698.0110137714413,1115.885328586671,1471.485081431473,1665.1289406348858,1649.444447241881,1456.5390421665677,1157.3414956539534,843.2039185779015,568.5025572716316,354.72440855304694,1297.8746011804003,5596.2634530696105,1.7968607791946951,2675.694704472698,3037.799484051107,11565.473839846743,6728.680199496054
x-025,4.8979336328682415,70.6878669112203,269.5117705028077,607.4356025532473,1028.9924563546435,1449.9717591448475,1784.5227573235195,1954.92296764696,1922.4895534216485,1714.4307716670044,1416.9093254319123,1097.988062841133,801.506173452507,1336.6910979484278,6129.10921885551,1.969142704689952,2403.342383951513,3480.053032788313,12962.571687739024,8314.943052211513
x000,3.6202490502099063,54.34009775101258,217.79994095942757,516.8275156411753,923.7812757941356,1381.1023892664264,1812.9014629637625,2136.954357581161,2310.743734428326,2307.650175428432,2145.397802637164,1870.88706437092,1544.14291136346,1361.341462695771,6643.535216251733,2.2644474529810967,2218.7496949581187,3747.626003709536,13030.25225592584,9646.606462541944
x025,2.680644365747836,41.516336330989866,173.7622340299724,431.9224198062868,809.1582236538834,1269.1032110038552,1760.451406646775,2225.7387538919147,2607.6975560743017,2831.6715566777207,2882.436643755669,2774.9542778397263,2534.154308725072,1376.5446466942394,7173.298336437598,2.702915604050644,2438.485207879075,3746.292432535436,11813.395313265391,10782.691581264236
x050,1.983925136201612,32.28517841677574,140.08595388870344,362.3589988520125,708.3706833095592,1162.6089320358917,1691.1820550242553,2241.7044613561584,2751.5357500471987,3161.626526624106,3460.175495085012,3616.713152885927,3591.714497435674,1369.7379709226204,7673.970812543528,3.2479253773885937,3261.9219315791534,3652.9776156715966,9772.572651736473,11777.346656174192
x075,1.416373470032969,24.173474706498386,108.76844174378832,292.084529884865,593.5786279550159,1012.6196332636144,1531.1960428118732,2119.7235580799697,2744.978181393196,3362.5170354126726,3930.067340629391,4374.690329497249,4632.708301748677,1334.6431127177898,8125.12051446983,3.814771683596332,4607.938705506562,3780.33458405034,8111.503509718993,12785.735964865786
x100,0.9468126311805768,18.08455649368604,86.44614202386511,242.02015966820508,511.58387288592274,906.9566759238674,1424.9994282168238,2049.753846327914,2754.810151696224,3496.60197937235,4241.120776015847,4947.58715126055,5579.608319480536,1260.531005480584,8421.847312630774,4.495977899720979,6111.286722714427,4756.236037390604,9722.45503549714,13884.177638131894
x125,0.5367734814304211,11.840908539817407,61.17785351724988,180.63386490264568,399.4747678794721,738.4518738846923,1207.538760246816,1807.069208326768,2529.7032266862866,3360.772797700812,4289.984324277725,5294.176366921679,6326.018777365097,1136.571763513368,8307.985888815003,5.237977441203681,6298.463635177946,5987.2319142964925,16220.803447302143,16738.56607830366
x150,0.2516795760513051,6.205048034952519,35.26407449661002,111.78794332679573,261.60331768108693,506.5571385453839,864.071476234002,1341.843214423223,1941.8376331293664,2660.394243357777,3493.1098546332983,4430.230719953573,5451.076983574324,989.768331722374,7756.948148708325,4.486862579048327,4539.532581255399,5214.225347022245,17384.558515403995,27285.509120342733
x175,0.1175118506515754,2.992201393648351,17.777011541655735,58.80458975338543,142.7988015166934,286.29417601748446,504.7428144455764,809.8394056828673,1209.9172687196203,1707.0783277909857,2303.063683301229,2995.4559283455724,3770.645915931445,842.855971134599,6903.221658341132,3.027654374570257,2641.702218454788,3681.547949107614,13407.699265160554,30398.786430125157
x200,0.0644903292768872,1.6668934883637097,10.10450818234989,34.17451697508149,84.77577702565647,173.28276806255096,311.1655148479622,507.73647980565033,771.8489768366271,1107.6765921601304,1519.555170819703,2006.4369428416232,2564.5131442431584,710.3690727558501,5965.422672526306,1.8705143285053285,1321.4154482393146,2196.7423119661485,8761.204982500896,26638.35239015683
x225,0.0361887764518955,0.9505075659531512,5.8628922139273465,20.1254550518052,50.54994550426958,104.57786117779752,189.6956063894676,312.67513217587924,479.5732936848644,695.1824410759114,962.899329615704,1284.215558043989,1657.48311926287,590.4390469888029,5025.867190666662,1.06583064065462,590.4934539164339,1115.8751250974096,4918.6884851871,20219.283894191816
x250,0.0190325581773672,0.506045898792271,3.1576529842197307,10.925067133690836,27.59647393259621,57.40660549378568,104.73007864588088,173.7871638108538,268.4561990636062,392.1834015469639,547.6204685619856,736.439862291528,958.542153856038,475.0359171080759,4075.198463515321,0.549646135561298,240.65409772599835,489.74443222800977,2373.8449842576947,13642.522377734873
x275,0.009233682210609,0.248896467653536,1.579445754740075,5.546044333296618,14.196268193794433,29.904208950716708,55.22883076380148,92.7568212603476,144.98689326899913,214.2590810850409,302.5368019030542,411.2293448650185,540.7635800116034,367.851737684492,3172.252862161188,0.253134589728919,90.27316668417156,190.1860415876964,992.6208753867244,8010.716282694911
x300,0.0041615955561314,0.1140544281658615,0.7447369946962902,2.6874222686285005,7.04596278699697,15.150455815774407,28.47353249273972,48.53464292543119,76.83839576282075,114.829457163848,163.8017517145996,224.7754429962524,298.2669270136867,274.937703516893,2378.2590348496087,0.1065169680551817,30.8312799260856,66.73150350669812,355.2488958699381,3813.76694863787
x325,0.0015400472045895,0.0427121160827026,0.2867215400540652,1.0621459723235622,2.846216895307464,6.228845055168431,11.875013519702396,20.482026179387866,32.7567204934939,49.39125137668617,71.03927518543287,98.25733991856328,131.41536874864215,199.78778678045128,1728.9209482561123,0.0392663710958779,9.536475283807928,21.560133012649885,108.30229232806472,1463.444323414211
x350,0.0003927696121667,0.0110007562965665,0.0759437558221841,0.2891668723873384,0.7931821539092722,1.7701542764257516,3.4323840184306795,6.010769533393687,9.749314793447944,14.896503273029548,21.70066059796235,30.386542811748683,41.13979586505619,142.56855208459564,1230.2834521494876,0.0123679952086485,2.7094202626499677,6.341497231153983,27.992467169753397,448.2273502346932
x375,1.511225916352524e-05,0.0004238964256675,0.0030819544704271,0.0126368658818228,0.0376837656629416,0.0916487937117102,0.1934337306763242,0.3674136281305566,0.643316727429524,1.0554371856171323,1.6427902332522737,2.44437249368692,3.5021766224455457,100.31977653366069,861.1408970384816,0.0014035862133241,0.5727424972515278,1.3789796810724595,4.951021665514616,91.65801704709524
x400,2.8105426581379465e-06,7.648287064470265e-05,0.0005460533273245,0.0022179650827145,0.0065818022394507,0.0159724379884101,0.0337015723353105,0.06408695870117,0.112473139362861,0.1851484563409728,0.28941913409924,0.4328601099663235,0.6239518307828478,67.68471564943864,576.0656107181524,0.0004703089453588,0.0531053953923945,0.1387477884927449,0.4530140435466574,10.141912838704686
