,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
x-100,3.709328498827794,49.164450566546904,182.26270237362257,403.9274890954719,665.7533108350315,886.5730958935454,981.3925961707346,896.0647426297294,659.4169185571918,659.4169185571918,395.58591030215905,197.20588952576895,81.37610928331904,27.08969716882603,7.180032260993931,1.4660424588180792,0.261898834774203,0.0427207392908076,0.0063100148211096,0.0008541610017098,8.039437135812447,186.4515953390835,822.9948822027663,1474.8376028389414,832.3621760900751,600.8914210620986,2196.5112927252194
x-075,3.581348621582518,49.01694310154333,186.3486803210511,422.1732604656565,710.112903682056,965.4457843630368,1100.342835371103,1056.7435513651965,845.9156875832007,845.9156875832007,570.7808022693891,336.30259621251656,178.84734154401633,83.59442829384581,33.556765777713565,11.386096745412392,3.2426557896590023,0.7554734252687444,0.1559243215565318,0.0300952095371193,8.846431847630376,208.66623625862948,961.9102771493006,2314.1807115546712,1138.0039486298497,922.5721509237818,3481.6809204597657
x-050,3.148970825200899,44.72213039821953,175.14090685096383,407.1872565288607,704.1637997154331,991.3096219502364,1180.3320655322,1200.1401939027887,1052.937112712119,1052.937112712119,804.5379390219103,548.542666791212,347.9433825911514,206.53277838804468,110.84227483340356,53.77368250612245,24.629490548044675,11.395589977160665,6.257566558797954,4.536968715889971,9.01448964296624,229.38175905035249,1103.4299986791725,3386.2809810121435,1344.0920276116417,1325.9778267570289,5035.695307820906
x-025,2.5012909630317472,36.816810756441704,148.37629847480483,356.02323906809113,637.8941749922154,936.1415462790916,1177.9267125708557,1299.895360762784,1269.5720719685307,1269.5720719685307,1101.2194525666937,865.5595735341113,632.6917926041203,440.7844301471563,287.40273584053585,175.4524234701963,100.36694020572077,52.81082563857186,26.22694115475978,13.97727906763655,8.297999040805374,248.3404952988659,1248.0680954395402,4486.77213373822,1345.2402288552933,1778.9958786509296,6383.389281422597
x000,1.9107855040833568,29.28781550638396,121.62762492739678,301.4291461193761,560.7620456777955,862.9622383104289,1153.6094399138217,1370.7460908586313,1471.190691045981,1471.190691045981,1441.7738008766007,1298.6980577170846,1086.985325347964,862.3016099492158,649.414719702653,468.9031514558925,326.7335806409165,216.90420336600863,136.80594744714034,84.40076715402589,7.5126631438821105,265.1163622311036,1393.844821401995,5394.96159163864,1261.9333256633938,2189.568221254859,6973.946207530916
x025,1.4478522473964857,23.182720783587104,99.05730215739662,252.91688023525083,487.5911903977823,783.9182836482416,1105.9844452696063,1406.67487981251,1637.0975284563426,1637.0975284563426,1756.7845215229695,1760.3185386439934,1659.632831948045,1474.2133643980417,1239.5931037448213,999.0035930042064,780.5010948751224,590.7350920748653,429.0302470997064,300.9184428245618,6.763528408012529,278.5348230038315,1534.6155981536406,5979.358772480114,1334.6807076174664,2477.016213581898,6535.202066481939
x050,1.0558825513432095,17.699310978787324,78.12830254422826,205.9822030357114,411.14912022726406,687.2155852153442,1013.7184820589836,1360.8190820216216,1693.515251453954,1693.515251453954,1972.436164739098,2165.2095327249303,2237.805252122395,2183.158619838058,2021.4560842900516,1791.653458194737,1527.8624042249255,1264.8214997737955,1014.1742512014624,791.2489397293065,5.989041679274194,290.06615818920193,1678.9904352009355,6267.828640334365,1743.9489872578415,2592.927534260134,5339.7013638076305
x075,0.7587031470713963,13.739337187738403,63.37794189012632,172.66853459567676,356.23135535700976,616.6264512718218,944.1641306303522,1318.7965613109968,1712.0876680994977,1712.0876680994977,2088.423864475429,2423.1804863274233,2690.2606617473707,2861.98938265698,2907.7693378537665,2819.2295630804306,2623.977187300655,2357.97247346862,2053.0300132040684,1736.1718736895612,5.303564101015767,299.1073639935502,1829.6684647845923,6464.124353722809,2544.7292429311806,2664.562743431017,4041.1592366749414
x100,0.500146488721048,10.025448113826103,48.74949984072188,137.95927888095306,294.84826095648975,528.898971792473,840.805473379629,1224.103975476703,1665.8090220085187,1665.8090220085187,2145.923796368703,2643.3891343376436,3123.788734196301,3539.2350630973856,3849.9582688377895,4033.498707624712,4121.418947214394,4095.999603656712,3954.722612406306,3687.221894430996,4.69347774447841,302.773131374278,1976.7573278271711,6804.228131867138,3582.026784655602,3201.214231576636,4003.577167639822
x125,0.267302995591502,6.2021400910679745,33.21584014767225,100.5325993357999,226.42230907084723,424.3401712966333,702.3098840537616,1061.3755692010036,1497.1624773638755,1497.1624773638755,2001.5091902150657,2569.923248369799,3192.434935269069,3848.986951258285,4501.250816291581,5128.909354896444,5733.425732091148,6247.618743295181,6645.808996297988,6887.3416527860545,4.477530797649079,297.9396929272099,2095.3951656478243,6792.3505573016755,3939.790935863402,4120.628633382782,8099.32881448952
