,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,C609,C370,HCO+4,H2S1,H2S2,H2S3,H2
x-100,21.57039551712505,252.42521602067515,793.4125567636265,1467.9249354611864,2008.7283580377184,2222.773603128736,2071.588177400886,1666.0800514366065,1160.0836330432985,698.4948719793794,359.6468305243807,158.38703396158854,58.84513669014496,3348.2294617844827,12096.985439794336,2.699076701163265,6178.399377516678,4166.290167160552,16247.202123546114,7389.612978498274
x-075,16.36675852201697,210.41573319945928,708.0146096051748,1408.0964261787603,2085.5069854890403,2517.778459729056,2581.4608621911866,2294.760881572305,1794.6321516705016,1247.676226077769,773.7841735602185,433.20878942999576,216.2420636511846,3494.004375092376,13537.874341732102,2.8410724439473087,6317.817404455049,5181.938199423087,20981.41615708484,10149.464374398598
x-050,12.039690887661996,166.07297334237325,596.0351031579794,1263.8689265298924,2010.4583750876816,2638.8391290679583,2970.8153397887395,2923.3466315361347,2558.002013751331,2006.6954846146923,1439.3912949875075,957.0181920226406,592.4216632083716,3598.304247958093,14892.74666390628,3.0232507047997466,5916.482048585775,6058.483751156689,24989.565958664,13155.360794696146
x-025,8.787414476006875,127.50006328641268,485.577333065006,1091.196894740215,1842.4420673651828,2587.091487540818,3170.921979535105,3455.615807245804,3373.7313754069905,2977.928600284814,2428.820479588046,1856.629950701936,1341.6025274229655,3665.83249365693,16199.37615012146,3.323918559104058,5398.322382308534,6746.205911464655,27273.83978936856,16071.87735939391
x000,6.435386423038918,97.08127099054468,389.20859169246495,922.1221648532288,1644.4087343451586,2451.635906895548,3207.1217491178186,3763.539255651053,4045.539823546517,4007.8497203220886,3686.950494446957,3176.8650027721765,2593.7862353257806,3688.603884411123,17457.170918491975,3.8317022076715097,5240.290986907929,7138.07526979777,26904.562535856545,18526.83511633072
x025,4.723197679649629,73.54411354337002,308.1507809395752,765.4122612748807,1431.4688454994164,2239.800567497725,3097.508181904588,3901.178390806668,4547.974235997896,4905.701440535075,4951.242921667116,4720.907991018583,4270.178447582556,3668.059820362394,18716.2525244317,4.571814581033427,6005.973378299176,7152.108579333788,24169.43852569197,20644.608285801845
x050,3.4528243386093647,56.59433096979829,246.1020070032447,636.6008512743294,1242.974887758325,2035.8350795596168,2953.079322898825,3899.9481429679113,4763.958160582973,5441.47608396479,5915.602632559193,6139.4667171418505,6051.672364970796,3566.0304463998345,19847.17243993805,5.467709868328247,7809.172626331303,7236.192749972159,20437.59857390278,22489.63390862801
x075,2.4216679641895875,41.63662027266678,187.97218385635296,505.28903901468624,1026.306645282641,1747.9642186549102,2636.540429627571,3638.510404937995,4694.956543158595,5728.70053789197,6666.633007854613,7383.505460025756,7774.263810634055,3361.079163966046,20697.835517467374,6.37171155343612,9990.504661103929,7892.918133866277,19429.76982962084,24202.59199693323
x100,1.5863769638796836,30.498972763216035,146.39808319151996,410.6102719020335,868.1986993924357,1537.9147935813976,2412.41386864011,3462.304001857526,4640.37643441871,5870.493064418366,7094.058770404054,8243.87189598273,9265.169602293096,3032.4379467893004,20756.468886412,7.458856904569465,11790.4646226173,9631.35225650134,26246.818849740324,27624.188237851828
x125,0.8886939207757248,19.619637409799253,101.39417790474675,299.41087952064174,662.1503025308474,1223.7221349904476,1999.976667915211,2990.6678952761863,4183.172661936771,5553.522093022772,7085.87777553934,8743.47673522662,10449.530631976855,2620.30558529801,19627.15643517224,8.677760156144533,11345.089481527812,11170.773449540542,36841.92834260225,43264.48669311596
x150,0.4171087011272779,10.286963605534572,58.45474816749185,185.23164353382367,433.28484042775074,838.7010523071101,1430.2082397189074,2220.4879612341,3212.7794398615306,4401.11668243195,5778.428870964032,7328.705822548462,9017.828042603867,2209.340083913793,17635.91617656068,7.450426287078445,7924.963910354717,9230.800480523156,33202.2519413058,61292.4695101825
x175,0.1961470369624226,5.004033026802134,29.76964344344453,98.52542678578452,239.24032490861336,479.4776673405547,844.9717667080217,1355.2178993719715,2024.1563777179904,2855.442722750844,3852.1895588377274,5010.679260739788,6308.457241415276,1844.953816645913,15323.693507205508,5.041557952546285,4544.25172089474,6372.249371847723,23758.946603639342,56280.12632507704
x200,0.1065271275385905,2.7571669948746464,16.740639822466115,56.702917903284366,140.83523865994115,288.14036462123806,517.7787235320639,845.2800284898634,1285.394954808969,1845.0140869697184,2531.2933655843367,3342.342290249269,4271.609380414167,1534.2881463479025,13035.283236753745,3.090497210522699,2252.648932249757,3773.0609577224377,15318.023562965223,48026.6170016314
x225,0.0592986642838515,1.5578412715944887,9.6151729928448,33.03371919523673,83.04324554714833,171.9288669399005,312.0491284349086,514.5668612558968,789.443828745577,1144.5428994342578,1585.4090324362817,2114.427550219271,2728.800517030894,1250.5526801828337,10752.056652448744,1.7433265640173234,996.6292472452112,1897.0259330888764,8495.645795946246,36161.74054356837
x250,0.0310709654762767,0.8253704371579691,5.145585888894504,17.791212864305844,44.92135484265707,93.4252102376988,170.42518640728306,282.7927836768532,436.8368638692164,638.1526376622973,891.0335001216058,1198.1700820191024,1559.3803694343787,987.2684889100996,8542.43172179678,0.8955707653831365,402.2744403564555,822.3678895672106,4025.112218974233,23859.01299885212
x275,0.0151721344839532,0.4088138293616796,2.5931073852418765,9.101937380181322,23.2915336618698,49.05271490267059,90.5785438332144,152.1051968521463,237.72135546189017,351.25138343301904,495.89733174898686,673.9516100766265,886.0988487565753,751.2325597946686,6524.761996651116,0.4154692576980233,149.72774584940296,315.84375701024686,1652.6187729032204,13439.488577703418
x300,0.0068736729963038,0.1883904134772142,1.2300377099137687,4.437772465362543,11.63177004108465,25.00257883832313,46.97276039957241,80.039184373397,126.672671252353,189.24469584588752,269.87810440575976,370.24688450546006,491.1977238136237,552.5432436453399,4805.455627684938,0.17596713341616,51.00685541721604,110.43156625765656,588.4456276774392,6318.779266096837
x325,0.0025423204185302,0.0705312433247824,0.4736755679568156,1.7555172229680542,4.706208905506942,10.302939484850397,19.64740159588107,33.894634817301764,54.21525069331963,81.75505976777781,117.59598452669778,162.65879450117615,217.55495936149697,395.1017259338973,3431.128195505639,0.0648338078249795,15.78512648669626,35.70739883185341,179.609110380644,2431.3164137872186
x350,0.0006457948935804,0.0180861338721456,0.1248435899941323,0.4753015803832908,1.303589356497521,2.9089239186597093,5.639990572981068,9.876072746787452,16.017938791512062,24.474010623490024,35.65237803147188,49.92265346103428,67.59029561412532,276.81954261787587,2393.1184487696405,0.0203480348621526,4.458778711833481,10.441249892059588,46.12510825930735,740.5244516252535
x375,2.483672815902863e-05,0.0006967700781361,0.0050660545169031,0.0207722909174504,0.0619436110048518,0.1506480493888307,0.3179528840892436,0.6039179436842305,1.0574014592064724,1.7347581775543122,2.700104607267958,4.017506795099576,5.755962443984389,186.3130912761704,1600.9124951067988,0.0023027068986969,0.9373177008897714,2.256383943280476,8.093445313818274,149.75384180932954
x400,4.615926870335888e-06,0.0001256177697445,0.0008969713758204,0.0036436803340516,0.0108133224042312,0.026242446712386,0.0553725603408146,0.1052981327960796,0.1848002563099308,0.3042106778407944,0.4755339912511223,0.7112146671055756,1.025186721696577,119.73581975831009,1019.6597375635056,0.0007718430241905,0.0868251241587478,0.2268166978741687,0.7400114361303828,16.552808789894407
