,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
g000,0.4091310694900766,5.023169516411949,17.96954614416248,38.67502016620694,61.64771477991592,79.66015531724896,85.60072410313197,68.57993553923902,32.39360773478582,32.39360773478582,7.634196721591801,0.594981652290217,0.0237281735063835,0.0082914967227916,0.0051435806210335,0.0033566911913701,0.0021714100408403,0.001375815809758,0.000852947231145,0.0005160975777704,3.224745240848781,11.575713465272074,38.91912865010898,0.2508359578421429,0.0743683798083064,0.0961245339955751,0.1845493807409111
g025,0.3791050732486266,4.697458683182183,17.019761593823176,36.81766192020613,58.60328835920597,75.16619847319909,79.98088334361623,63.48677463002451,29.879374973101825,29.879374973101825,7.0208340564839,0.5430188253105915,0.0241251589107266,0.0092668757984529,0.0061049032267691,0.0042491053163572,0.002957026688467,0.0020354330233739,0.0013857539094789,0.0009305092567445,2.842336636293146,12.738515584346182,43.262759237990856,0.3198214673937967,0.0859685520448192,0.12955996744043,0.221179004749255
g050,0.3507922836672379,4.310382571860692,15.60681124568396,33.79050679082727,53.73210983187579,68.95702352549866,73.568881483039,58.3280933400901,27.416358649374377,27.416358649374377,6.426574576118891,0.4938799384063393,0.0238856923072786,0.0094776567326546,0.0063854817424448,0.0045743826072462,0.0032867318836861,0.0023431341503524,0.0016588302361148,0.001163808395706,2.4984586676558624,13.731872138439066,46.991071566155945,0.4744616679717199,0.1052490961148434,0.1907597493491286,0.2860729398386458
g075,0.326685600722198,4.022283041332653,14.490607677388066,31.34929562978889,50.073652872368896,64.71201176970168,69.02069052317994,54.158434144630114,25.27674785529759,25.27674785529759,5.908117436091856,0.4545702720630658,0.0238189428687225,0.0093411018812939,0.0063019059173132,0.0045921488494083,0.0033671658756408,0.002450900865014,0.0017724092026418,0.0012711249892347,2.194110910380286,14.53504406224468,50.09142156693587,0.7879495720522651,0.1444360986055099,0.3034224940593942,0.4051197981431016
g100,0.3014017097249561,3.7967583755645378,13.767900147489346,29.899033231750543,47.87499791057978,61.641322607631515,64.73380865185443,49.87000183245148,23.08718828849591,23.08718828849591,5.38701099620521,0.4176672466701857,0.0241990601415116,0.0090868283724163,0.0059913585796469,0.0044073078795009,0.0032920392836533,0.0024451033677958,0.0018049298825359,0.0013216559538834,1.9292407608912772,15.173059421164046,52.63161819884627,1.347335071174431,0.2355314746719664,0.5100210603674068,0.643938922165616
g125,0.2688173823880372,3.4768047601250416,12.74996745440627,27.836373465067144,44.58894676571655,56.96026697176988,58.8084506952006,44.716973830300354,20.665427438381897,20.665427438381897,4.831254577593032,0.3817775920412563,0.0260018881269515,0.0091460737627507,0.0056371155720515,0.0041066211785623,0.0031064326037167,0.002349498576029,0.001768519569155,0.001321402670858,1.7018388652812035,15.655791695683094,54.6205318882217,2.411975773201707,0.4460772251181716,0.8757254844683307,1.1529192161895043
g150,0.2311151378821114,3.040091354862493,11.28894802879164,24.796393739455155,39.71238719400704,50.31091721068937,51.348064440797,38.95921738624776,18.133822034914115,18.133822034914115,4.262085523374195,0.3466169670804461,0.0290420536352203,0.0096358512595187,0.0052784039489349,0.0036717599650522,0.0027780824778643,0.0021341823492604,0.0016384802475938,0.0012500819302708,1.5077188307960725,15.971099036342652,56.01697690982359,4.485604383329832,0.8647390366312326,1.4680566587913635,2.188637831814991
g175,0.1948083567920272,2.546774045207255,9.517946741499202,21.003333612829348,33.64046786798184,42.507467060216754,43.46269483684651,33.37974902533374,15.77665524167815,15.77665524167815,3.737481682502501,0.3159989818842011,0.033221150445841,0.0107199425998524,0.0050460701457504,0.003151616968674,0.0023082925503209,0.0017820539977749,0.0013933678271022,0.0010870620122458,1.3413098944039126,16.013066990669213,56.42910730582808,8.06534359282842,1.5453763998024688,2.3198246037848955,4.03114423134842
g200,0.1664429820333353,2.1307565050681294,7.944803664876659,17.574509579099182,28.25688773695306,35.90735536065962,37.11858862172053,28.943087476576267,13.873224747812824,13.873224747812824,3.3068020095760753,0.28998083866268,0.0371497642955247,0.0121146794177831,0.0049970342399187,0.0026323507303293,0.0017468158545352,0.0013124813411833,0.00103620304632,0.0008284616708577,1.1975054291492475,15.857235675689196,56.13192448114116,13.325526844392362,2.4894068864521604,3.4018509103105057,6.788596773904574
g225,0.1459648131469271,1.8401307581574753,6.825335814709613,15.117513999327672,24.42594629269695,31.28159685176927,32.5879814624571,25.60828670754097,12.372556263929129,12.372556263929129,2.957922433773773,0.2650044060377259,0.0379488186039922,0.0127198287055472,0.0049170026169924,0.0022164734696599,0.0012616435524442,0.0008771467410881,0.0006856136297277,0.000562215401639,1.072435311735113,15.57921933895416,55.46513069945499,19.921085047844574,3.613828962276016,4.5639151201149595,10.18344436037884
g250,0.1292428633692089,1.6308274428175145,6.055304275678547,13.453819357549207,21.82921645496292,27.996155035183783,29.07656213094242,22.833492682476976,11.082251544913095,11.082251544913095,2.651104886960294,0.236975780632365,0.0348788500358726,0.0118350610649255,0.0045261590678785,0.0019198814496307,0.0009934878775829,0.0006435461320709,0.0004942551891481,0.0004133411340656,0.963011606096865,15.27501851252719,54.809196210947896,27.003923716721214,4.707064586700398,5.551938403171875,13.54105885232986
g275,0.1132705132878003,1.4249264375812851,5.306318400068098,11.826931574631711,19.22351755063769,24.632164279902156,25.546598569325074,20.15852106985023,9.868621910549358,9.868621910549358,2.3632185996458115,0.2072984510127052,0.029284460294378,0.0097898240895748,0.0037939938662899,0.0016456858037614,0.0008640760066925,0.0005607650758596,0.0004297145900301,0.0003597541926794,0.8665525824827217,14.974924984292748,54.18707145845367,33.2951623060255,5.5455991654527805,6.156515808251315,16.10751477233618
g300,0.0994109217080137,1.2377279205307443,4.606468406213012,10.291797199361598,16.778650534585065,21.550956014264266,22.430027029710267,17.841802908288766,8.819510607540261,8.819510607540261,2.11305942654347,0.1794541142595577,0.0234312935165777,0.0076975980547934,0.0031127901282649,0.0014455100638645,0.0008016324806008,0.0005275697802464,0.0003959210244464,0.000320398915782,0.7815795294697421,14.628697811251106,53.35175550098937,37.576798056142806,6.095701098224924,6.352320155184001,17.500050045742647
g325,0.0881707072120326,1.084313746780595,4.027616108211615,9.016190253533573,14.746414937818448,19.008700971290253,19.87425711056035,15.929995643080597,7.947368149523016,7.947368149523016,1.9095237825739877,0.1585953079945451,0.0192530004023841,0.0062222627318984,0.0026531857901164,0.0013267957086825,0.0007713138721856,0.0005063063949766,0.0003636840574089,0.000276461801888,0.7061599063754044,14.189447220490566,52.17387870577186,39.353412772151145,6.479823987151237,6.269386227170293,17.844175794948804
g350,0.0791656373052926,0.9637956235724237,3.572935657103569,8.010489503837894,13.14932902803932,17.012574521848908,17.840486911196482,14.3699110622751,7.227094968797294,7.227094968797294,1.746831160529118,0.1431622700252484,0.0159575436550642,0.0050078827616707,0.0022842068674983,0.0012576651200864,0.0007835251497622,0.000525791668146,0.0003697607442791,0.0002672920810469,0.6393534088990377,13.677671201391128,50.74113515465985,39.056092028730646,6.818914382043903,6.044759263622299,17.509552756817975
g375,0.0716067669442818,0.8669191959503335,3.2084571258164787,7.204496647250449,11.864861854915828,15.397122028714254,16.160636438069158,13.05647374886045,6.620003716372333,6.620003716372333,1.6166560097560083,0.1318037262783652,0.0131695473836355,0.0039278128264288,0.0019568854961417,0.0012175457240351,0.0008351871348012,0.00059584708104,0.0004325196253454,0.0003152330223695,0.5801828863324242,13.0967711153709,49.086249608038834,37.51477786675276,7.1691820129435815,5.757950028955922,16.810689237264835
g400,0.0647200209838518,0.7780820839781278,2.8788902335768363,6.474474915797541,10.682055506291787,13.877442504667128,14.593061587559506,11.863140102455366,6.087337948353079,6.087337948353079,1.5138345436746912,0.1256115163143842,0.0114825361117833,0.0031849576628003,0.0017012468295573,0.0011716936018009,0.0008744068176392,0.0006667896145152,0.0005110846853172,0.000389680656137,0.5276444103221027,12.460757161194705,47.27926174897549,35.35624741854572,7.531780537757276,5.4404329070905035,15.92926239476249
g425,0.0590448545707032,0.7028528867182959,2.594719044765957,5.840817348425227,9.66560371731598,12.603112951500751,13.310641845767194,10.887705289730288,5.659043235249302,5.659043235249302,1.4442938906661056,0.1253409393986539,0.0107798269734273,0.0026706466963486,0.0014464608261156,0.0010583476411528,0.000835682100455,0.0006701132757516,0.0005385168482049,0.0004299414488814,0.4814024378359824,11.826456354051311,45.537537224734514,32.93003140432156,7.887921418055026,5.0958535459491365,14.952085259093682
g450,0.0544901237461429,0.6447957107616523,2.375089643748234,5.35351186194547,8.887443911583418,11.636498363676624,12.32223085840904,10.114277752437877,5.327529197151077,5.327529197151077,1.4093019596833076,0.1326514553628459,0.0110258869288372,0.0023093472973032,0.0011736968457519,0.000877060126517,0.0007142851399035,0.0005904419847338,0.0004894061811684,0.0004037357749186,0.4407290416509779,11.239109937238007,44.01203418437797,30.321623879794615,8.187439897667774,4.7121960683285025,13.883317018169691
g475,0.0502727088162276,0.5918927077926108,2.180945420468621,4.923049845499552,8.190708452128009,10.74002644796254,11.39498640157309,9.406301896605012,5.043917368240245,5.043917368240245,1.3967308584363167,0.1474348281533431,0.0124223267650615,0.0021393122183384,0.0009278726176,0.0006815279461165,0.0005613371888168,0.0004704598302792,0.0003957094607457,0.0003317681273253,0.4048311539808793,10.717276385716916,42.73110057478701,27.595394104786177,8.407165873800565,4.269827486642091,12.705408277290122
g500,0.046690348544293,0.5445714776199857,2.001502406016811,4.520860255506204,7.540231968420878,9.935371989858895,10.606543907932274,8.82693316721638,4.834994096558715,4.834994096558715,1.4149467696719742,0.1736018698400584,0.0158264027008473,0.002291035970525,0.0007516910227456,0.0005128596977868,0.0004206961632112,0.0003540287866843,0.00029920279257,0.0002521845553598,0.3732722911422414,10.278206534579155,41.73257757065372,24.79286036676242,8.605814539590535,3.787251902681116,11.440225877938522
g525,0.0438974877340709,0.5095584724486566,1.8696580062763917,4.225913106294107,7.069645848637922,9.3600952484969,10.031867544329128,8.395113705301867,4.704030228015346,4.704030228015346,1.465498741068187,0.2139502477606482,0.022629769278375,0.0030176104126373,0.000683001943298,0.0003858367606091,0.0003081456355607,0.0002588900810327,0.0002188578703556,0.0001845614519643,0.3455479714049451,9.910003560255236,40.96601303005664,22.09493571703969,8.8951940855017,3.364093883470943,10.255510061710906
g550,0.0412926554520509,0.4787641756375524,1.7585217723034998,3.979514629550867,6.673112652532191,8.85682579819286,9.515213975408098,8.023324122553245,4.624990543403056,4.624990543403056,1.545841250566491,0.27162537556918,0.0350667098052895,0.0048589758647122,0.0007991220022174,0.0003071650529136,0.0002244085520386,0.0001866348666682,0.0001574887288761,0.0001326355584842,0.3212306256047181,9.582062924947152,40.29931906930821,19.631789976720288,9.31194597117447,3.0487644722168574,9.270764874823
g575,0.0388969441635952,0.4483631039991376,1.6449206838031594,3.724447777506864,6.262227469994688,8.357565074173158,9.04551334818126,7.729106611972265,4.611091174810839,4.611091174810839,1.663507544804969,0.3514472080070169,0.0565087609646963,0.0089074903894162,0.0012958671304817,0.000297283851987,0.0001675219530562,0.0001339499990034,0.0001124517301432,9.449656360346208e-05,0.2997457110040549,9.29192751535474,39.74852986412045,17.36003090618864,9.662359801827384,2.7307074784631933,8.338301363174045
g600,0.0369108765592824,0.4239643767007144,1.55551459271683,3.5266458405871757,5.948987455149004,7.983539621384897,8.702607106978476,7.545634993745436,4.676431390091549,4.676431390091549,1.8282006742963557,0.4595916232012995,0.0917535406051206,0.017213217239028,0.0026510395311594,0.000424953469273,0.0001411836282893,9.735445590667946e-05,8.017638228506066e-05,6.71248163489544e-05,0.2812311968746121,9.033453200179192,39.31204943640307,15.253302047705104,9.921058264037102,2.4046920608480247,7.396343674645033
