,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,C609,C370,HCO+4,H2S1,H2S2,H2S3,H2
g000,0.9944870508364057,5.993986163438086,9.243617435368552,5.8766553403874005,1.5693784836572282,0.3626407704212823,0.1225129752019963,0.0687865117129992,0.0488004602490326,0.0331269433450108,0.0223898330468767,0.0151576041167417,0.0102374573102365,34.11853401087436,33.71203081836346,0.0077437716466475,0.53087746253814,0.5076255997517451,1.2521371919668451,1.2469250192103014
g025,0.9326561886736828,5.667002891855314,8.728019198932436,5.712144317938972,1.764226514655351,0.5326415342074926,0.1943275457983663,0.0867687740282268,0.0505766132184386,0.0333906304853309,0.0232663017833034,0.0164765311357774,0.0117117557388034,38.235195475166535,42.24599579708958,0.0075442352718603,0.5693538511472652,0.6136342276162684,1.3636127257134194,1.4506801640966462
g050,0.8493676606213655,5.215326472644393,8.058452450393103,5.467988130210372,1.902382898645844,0.7123797436739526,0.3169525914383678,0.1395823355866919,0.0613630005629321,0.0338898845819617,0.0227102807418258,0.0163195578481742,0.0119213885504811,41.86855865825894,50.916699727359074,0.0074186351023158,0.6416032855728,0.8110682111777491,1.5610339990938225,1.900890635032103
g075,0.7427428565561882,4.636587059291074,7.29724179004628,5.1710191426470855,1.9865564181082256,0.8706622689887321,0.4505058605052197,0.2104474803789513,0.0799651504055446,0.0361393909538067,0.0221028729703665,0.0157606639438528,0.0117094599875801,44.77999221441437,59.20676625801656,0.007351174615499,0.8014351426884913,1.177238474081292,1.928720418589693,2.7473724435020968
g100,0.63511779313738,4.039219385528808,6.545479916623814,4.819043588212479,1.98808217621911,0.9678175325667866,0.5825750151994834,0.3198982539106091,0.1236923858792607,0.046496566261827,0.0229192809166929,0.0149339399332567,0.0109858711685109,46.94310288267706,66.72715540364932,0.0074538885058521,1.1806945396437467,1.8430771211987849,2.684904964841176,4.275484507537231
g125,0.5506123651896,3.5495729066253534,5.882311793512499,4.448478331672295,1.923546038414106,0.984514362550548,0.6500939455088293,0.4095026806448679,0.1778795247220551,0.0658997115663843,0.0270672714035258,0.0147646775334018,0.0101168645348102,48.34260352888684,73.24365522172593,0.0077416843144584,2.0144692464115823,2.97333008295118,4.263167460967185,7.290181269762071
g150,0.4851022905132518,3.1545859193900108,5.280897837490765,4.093705757308675,1.8464130364664897,0.9887017157008364,0.7106914951722112,0.5084629285628544,0.2522833522887642,0.1001691453893057,0.0378118256947716,0.0167012751239807,0.0096535689768766,49.05090715609396,78.64390179927796,0.0081872918002917,3.5632953917655468,4.703861162410454,7.334081791173147,13.159465095611548
g175,0.4201418408662671,2.762773601589652,4.694151075840131,3.744850348737333,1.7340763715645795,0.9317725016163204,0.6882790858362717,0.5367633805823606,0.3018478058167977,0.1341751228705078,0.0525559243841278,0.0209978306556651,0.0099737645491432,49.24182358554846,83.19303657598653,0.0088813125392618,5.920418203238106,7.051459300802989,12.50280682910769,23.024607464621443
g200,0.3612134595450092,2.401468052089947,4.16495695909397,3.4216385829250044,1.620121514148677,0.8600122375904085,0.6334490438565937,0.5220437184119955,0.3203954536970066,0.1569488810010402,0.0665340862186317,0.0266686775370254,0.0112421075464606,48.99464516157866,87.17227317755304,0.0098227394751561,8.865839888631037,9.808926355847396,19.624775983994628,36.739406729170575
g225,0.3128339457376284,2.0987175365100987,3.7106470111965937,3.1264451661762034,1.5073606776312862,0.7763965083770974,0.5486851927308382,0.4556890225544756,0.2967735802369026,0.1566826200166839,0.0716369915674313,0.0300235523315019,0.012363375001992,48.15407120824746,90.40138357823116,0.0110051889460847,11.940920273648729,12.531153559974443,27.616417436192062,53.01824714889759
g250,0.2736789888696805,1.8469685472636983,3.317734851926905,2.860380131726994,1.4036013906778473,0.6945039351315591,0.4593985461093003,0.3702362835920962,0.2536798242641607,0.1394575526300275,0.0662510583043645,0.0286636583098721,0.0119613430168949,46.61147043173943,92.59284543242087,0.0124336325878766,14.579362051460622,14.638934032223837,34.78498369436647,69.41174255271582
g275,0.2416502330265649,1.6382463760358916,2.9755918522115428,2.6323214865266573,1.3231641394805855,0.6342103714522973,0.3912412178529607,0.2945309159088742,0.20898744192014,0.1154032127747884,0.0549643351286391,0.0239871578764702,0.0101595649743237,44.42115290412082,93.68126870843612,0.0141023261695086,16.35713165648313,15.81540325805418,39.78714268635961,83.38865336011078
g300,0.2115968029414951,1.4447988507403955,2.670609185245715,2.443397925319935,1.2667838406345302,0.5933451949713833,0.3380048013068774,0.225187382257556,0.1589361814402161,0.0875474709142689,0.0419021581068454,0.0186658169819916,0.0082061148129314,41.90883481191082,93.93243695131272,0.0160910071739367,17.393187831237686,16.084444919853738,42.18790347379127,92.31426231887252
g325,0.1860145355039034,1.2790009608669468,2.41542438220757,2.2903616607135358,1.2308799142490707,0.5687332698561789,0.3034193698172431,0.177193125386119,0.1188180103902222,0.0668961786517496,0.0324079253032989,0.0148053702964887,0.0068141726639093,39.41887499909537,93.8375158879076,0.0182761955631645,17.977255668775328,15.760781529595109,42.4092965808106,95.37617528135355
g350,0.1658097143566291,1.1471413388326122,2.2146089316019166,2.1753080706126737,1.2216101587226498,0.5639468921001479,0.2889792943531124,0.1509003508398887,0.0898928809549019,0.0513704396171785,0.0248169898878004,0.0115588979123096,0.0056254775443412,37.16600049297216,93.71916228822543,0.0206816078987129,18.35970832996336,15.10963012432229,41.18212589646008,93.66237445942996
g375,0.1499843977927905,1.043119407565203,2.0542238631986898,2.084729587518888,1.2322564220265864,0.5790631124204664,0.2930277011823617,0.1401825431517774,0.0691614921452928,0.0371410605446981,0.0175671432402275,0.0083952763214432,0.0044452973669006,35.10000333893258,93.3992896818024,0.0234031635537463,18.63218585389124,14.27990409473831,39.29197368369535,89.53057332870192
g400,0.1383176026088572,0.966534144916324,1.9342631202755207,2.0321024659772213,1.2780055474126828,0.6200221924156716,0.3161212635192463,0.1459981364190068,0.0605115954753526,0.0273801423997441,0.0125161579303253,0.0061642156286767,0.003556186439664,33.13619786528069,92.77109683803889,0.0264651209364521,18.74064759770419,13.28879412936354,36.79207700021595,83.6552618192481
g425,0.1273331365711999,0.8985641926376489,1.8369481814451225,2.011586902514797,1.3527842135627013,0.6840164832288028,0.3611357263011586,0.1715489727308449,0.0653497212002716,0.023485414720208,0.0096244091629524,0.0047073322703707,0.0028522505804394,31.23751532628631,91.78190063026852,0.0299971225680717,18.91784513542627,12.26848515717164,34.13105204066621,77.17946197482424
g450,0.1176102840561657,0.841089129761153,1.767363966063108,2.0299038580871342,1.4651697834115842,0.7770370218578146,0.4235944693683036,0.2107802503587872,0.0828863173809011,0.0259149527330407,0.0084513677902919,0.0037096850816709,0.0022402404866647,29.437302225014317,90.55905294407648,0.0339331643820345,19.287385658488905,11.326137989406991,31.5331647202186,70.50106662119806
g475,0.1094237871638445,0.7953487825273825,1.7292232817381603,2.0907120722447976,1.623435204464034,0.9105398435821478,0.5143910573684156,0.2727788995249369,0.1163365767720614,0.0366293086655942,0.0096203465956711,0.0032010111651362,0.0017413054304827,27.7758538280996,89.23426714368306,0.0384939226411592,19.38982718304905,10.257930171118351,28.79609770660015,63.6895334170849
g500,0.1039897650045029,0.7686454237066273,1.72960492342657,2.197233571695197,1.8368866460163085,1.098017876757871,0.6399277103612971,0.3598980754373808,0.1687705294942367,0.0587363955692573,0.0148077958181895,0.0035386916517528,0.0014190636497153,26.26771307523368,87.95752183464877,0.0439155637630708,19.1049072666606,9.013325016315749,25.7451946091168,56.73039857357343
g525,0.1004915626310345,0.7573861595528925,1.7642889915490103,2.3498882287461837,2.114476417244295,1.3574211157618694,0.8118291909438637,0.4796316179270151,0.2453634558457629,0.0966840555206164,0.0269795637605574,0.0056524915797867,0.0014165154172167,24.92855300908863,86.79616141877882,0.0503086190328703,18.576139772440584,7.673549375409139,22.492327623586583,49.683680012020055
g550,0.0983673466076047,0.7580922763294319,1.8279993112800568,2.5495624798030776,2.467575262466585,1.7146942966787355,1.0494698816746688,0.6435036117851162,0.3540836892105112,0.1568624529239723,0.0507574641688423,0.0114882094215534,0.0021450124915834,23.70557052578425,85.5944496772109,0.0579378101577737,18.12538104878337,6.423044712627555,19.34040264151848,42.73970105760409
