,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,HCO+4,C609,C370,H2,H2S1,H2S2,H2S3
g000,0.0478320300725563,0.5483949031724556,1.971302119770607,4.333955241882796,7.048187392818639,9.203366972495,10.198306576648896,9.155536788695509,4.9175881146315215,4.9175881146315215,1.1986885361102573,0.0862816045075977,0.006154948410497,0.0027592808221487,0.0017742327071385,0.0011758938901732,0.0007690564759618,0.0004914762436888,0.0003067527012844,0.0001865525399805,0.7193253465595716,0.9551515925656816,3.2430114742495086,0.0399676550235865,0.0057058370344346,0.0095347924620984,0.0192594600731297
g025,0.0473354631186383,0.5450848954585936,1.961519330999721,4.31286198912777,7.011916814070793,9.151120484854149,10.115713622182668,8.995547090486914,4.790591520052038,4.790591520052038,1.1645472519724889,0.084586029591495,0.006543303238824,0.0031139362317464,0.0021182231320386,0.0014945612704422,0.0010495670484222,0.0007269924384231,0.000496910822719,0.0003343184930049,0.6659878948336408,1.1187564154627334,3.849743147045192,0.0479128104459177,0.0067380546457259,0.0122598868922633,0.0225526585582775
g050,0.046679940964138,0.5402712327101665,1.946957470118479,4.28257524701196,6.961028585254479,9.082405313334997,10.012103417169923,8.811342761900251,4.649803677424902,4.649803677424902,1.127443688045614,0.0827169533284828,0.0067024049989754,0.0032012742943347,0.0022204055233713,0.0016099261673063,0.0011655736999755,0.000834856616149,0.0005923815157106,0.0004156675169698,0.6132747127577509,1.2817451130919326,4.465557942393383,0.0641143570247051,0.0081410363579279,0.0172459138527098,0.0287022572543892
g075,0.0458624005636497,0.5335232527737709,1.926481486211578,4.240035540525077,6.892360752821404,8.990281038943397,9.879907170871205,8.599847974499044,4.496824829806028,4.496824829806028,1.0885525197500578,0.0811550124992553,0.0068668504544462,0.0031701355622449,0.0021975465125942,0.0016191298306253,0.0011953632595747,0.0008736096207904,0.0006328511818032,0.0004537283397078,0.5620841909994305,1.4385544034140032,5.068269245217545,0.1006308343540864,0.0102888852596019,0.0263391988369397,0.0396567851853447
g100,0.0449123036547514,0.5244853239242941,1.8967043865279267,4.177562711956003,6.790888038046156,8.85905936593771,9.708101099710964,8.358267257081542,4.332029908791123,4.332029908791123,1.0481904955247567,0.0801440226358669,0.0072013596793041,0.0031034939403015,0.0020962824511663,0.0015570935936017,0.0011699375785243,0.0008717650547052,0.0006441784468959,0.0004712850383791,0.5135603020033432,1.5852039967325873,5.64077595278847,0.1703948148651337,0.0143355949281373,0.0429421094649718,0.0600229087050403
g125,0.0438693275490501,0.515158124398738,1.8649895820338516,4.110065367895206,6.68602338123431,8.729813963052123,9.529220398550962,8.100938867638186,4.160465144302528,4.160465144302528,1.00857863369044,0.0806448588064323,0.0080901107888403,0.0031536428999601,0.001978892808171,0.0014524954049366,0.0011039898962682,0.000837019022272,0.0006302834888334,0.0004702829908203,0.4678648294539184,1.7182950283880805,6.16974340760389,0.2938242651477272,0.023411966196014,0.0732262604075211,0.1023210734994539
g150,0.0425976768147958,0.5048623317586997,1.8322477191741096,4.041883040813863,6.580602863513294,8.58802372058746,9.308350661486116,7.7983117927849905,3.968682724877683,3.968682724877683,0.9649069903800508,0.0816338045638645,0.0094818829841076,0.003369268824551,0.0018627862138961,0.0013011493154806,0.0009877133830104,0.0007599202718107,0.0005832244503083,0.0004441230716915,0.4251599488044632,1.8398731999220792,6.65936149683478,0.5320370125807208,0.0448951129245165,0.1275929831830266,0.1969121566747108
g175,0.0408592382532882,0.4908157864889578,1.7883539330540317,3.9521390103110097,6.43940160131808,8.388628805869985,9.000070341743632,7.426476290816214,3.749465160022281,3.749465160022281,0.9148562218853108,0.082289396847704,0.0112286822595818,0.0037839739801284,0.001787036246685,0.0011174677501965,0.0008200343245204,0.0006334882581994,0.000494830350228,0.0003851394681946,0.3851126513061452,1.9515168897088715,7.1146103751738075,0.9748389528445351,0.0876421602054884,0.2171489387665244,0.392776755488399
g200,0.0383777843969141,0.4686511784000416,1.7178391922812677,3.807447825291368,6.208997792506581,8.054028857680377,8.533637305482891,6.953698062458521,3.4936385104538146,3.4936385104538146,0.8548071458150024,0.0808363296805452,0.0127186165409837,0.0042679499490705,0.0017623116146966,0.0009288814508319,0.0006176533061662,0.000464367477317,0.0003661373023594,0.0002919357724703,0.3482252282953217,2.0549912557605485,7.538155681594119,1.705036402666411,0.1597057547432556,0.3491845137863689,0.7433367773604377
g225,0.0350136243717892,0.4338502730677097,1.6030138787030066,3.567165739883715,5.819829050336185,7.506184599339517,7.861749014592893,6.371190567650019,3.2035298775369188,3.2035298775369188,0.7845981386217776,0.0757730866281571,0.0129244434288084,0.0044238640334529,0.0017092454852263,0.0007712458670141,0.0004409538635718,0.0003074997351845,0.000240270148622,0.0001965028218636,0.3144537678022853,2.1497013051587532,7.929177223636484,2.737161807417387,0.2708847964166288,0.5171882490137677,1.2649711924356584
