,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,C609,C370,HCO+4,H2S1,H2S2,H2S3,H2
x-100,8.118641734618505,94.02871525734936,303.0992645898419,576.5341127354867,805.4232828973671,906.061792249526,859.931581490032,707.7834849476733,506.4744906457159,313.2455930099769,165.04778667797694,74.15454153460622,28.15081023248404,698.7654681446547,2694.253642641213,1.266562994008009,1668.2350269138517,1317.410817345035,4466.489763897682,2510.0190917460536
x-075,6.450675677092872,82.11205147105228,279.81140971843456,564.7819435236584,846.4876619786513,1033.62611625686,1075.1575683505291,974.6127525876452,780.8259207398671,556.632302235687,353.0511160358452,201.34001311299463,102.2647672145206,740.1262488003122,3050.2734432319,1.3346155347778328,1838.917894958745,1748.0439663251716,6165.9553909063525,3567.799611091867
x-050,4.87510411502654,66.59009838956801,240.3233563194781,513.8285568021583,824.0781287157957,1091.7568095218708,1244.1662481244275,1244.5069202213604,1111.5471946258394,891.8282401782433,653.2342271177486,442.0437607627089,277.6680017446057,773.2076357520245,3391.9230013586016,1.4183436650346857,1783.2265135133118,2162.1786111437277,7747.227783793249,4747.15139080385
x-025,3.641334592011527,52.24445808844601,199.2542026003376,450.0545379726936,764.9178748599018,1082.859464941497,1340.9489168990692,1480.7822363999328,1470.140000995115,1322.1676683672606,1098.136411094032,852.931017279396,624.5447175000438,802.012508491499,3734.179471591525,1.5558011370441358,1601.0010278297532,2525.097619160331,8810.30765166936,5913.970043933765
x000,2.736078739181672,40.716208764603806,162.9757121881851,387.29346278542766,694.4069486935466,1042.796201437381,1376.8493181624767,1634.581179780902,1780.0958288622933,1786.9914841551315,1666.0830204428753,1454.433830371236,1201.4094221397222,822.0496177681524,4062.852100504174,1.7914522601109777,1459.9070822013114,2763.524126046389,8961.998824807615,6919.822928877168
x025,2.063579833728068,31.71464325706143,132.3414626449522,329.0826545148225,618.0082653535273,972.9944321818538,1355.7733518703203,1721.290470792254,2023.0604133211737,2201.493814249676,2243.63485262256,2160.3807608516704,1972.3764702306264,836.7149563887967,4399.592201091716,2.13892129486462,1592.5648218344022,2785.32761364104,8213.021766624182,7795.264823548139
x050,1.5421748883146855,25.02184062587486,108.34522162562452,280.1617404481603,548.262140149331,901.4158302700864,1313.636924601612,1743.9506385559357,2143.167546808252,2464.533398908837,2697.733741533325,2818.443550798215,2796.878356529527,841.3541674535888,4730.079735799505,2.564327527081541,2156.4629889616717,2691.267553926756,6824.936713212337,8558.07479468723
x075,1.1031590157877549,18.841144726694296,84.74715850008118,227.5351887954556,462.52383155483966,789.4679813577432,1194.4040857242223,1654.047524885405,2142.0105062768625,2623.060679935322,3063.8100599407,3407.424768441191,3605.3553259354862,832.3544272709073,5045.936335879982,2.999892052376301,3166.036101493361,2707.5947409406645,5508.884619400436,9334.14664705227
x100,0.7341889658914793,14.04136801447648,67.19932603163987,188.26396209892903,398.1184917184147,705.9681474798723,1109.2777269082364,1595.4020450860687,2143.4685158835896,2719.358759220236,3296.6822489954275,3844.473370294287,4336.141625289015,802.9264580564251,5300.39827649298,3.530776105144329,4438.235702321716,3404.5010264110774,6148.9946278416,10174.88338261638
x125,0.416481473089225,9.17493751698701,47.38532913562161,139.9262821978103,309.54160317913943,572.3970313346618,936.3023911405076,1401.6065053380837,1962.794904518984,2608.770557963925,3331.933260692619,4114.760088899468,4920.991050574575,742.5151600448211,5352.85494526217,4.132710836835049,4740.430920989123,4436.517089204702,10735.65039379163,11090.975160020544
x150,0.1973584143851123,4.844097699912292,27.462324055273903,86.97511902983503,203.4892730854249,394.0595409437687,672.3256805774585,1044.4476053950807,1512.1583141213048,2072.855914185066,2723.394484997073,3456.5484121110176,4256.5874739770925,659.0715629168461,5110.506676978874,3.567786245644639,3474.97105045202,3961.273737240465,12533.220194646305,16774.221549090318
