,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,C609,C370,HCO+4,H2S1,H2S2,H2S3,H2
g000,1.4968550174412003,8.914850712155582,13.403591656544602,8.27161610808647,2.118141068831052,0.4742148197817452,0.1593108218839914,0.0888686881617352,0.062493080159134,0.0417969294094537,0.0277828794068604,0.0184890846899759,0.0122809120752707,58.80984258838048,55.940999805758416,0.009999845465722,0.9510118247834018,0.8616231283375281,2.1093488041316126,1.9253742918464347
g025,1.3700028957517405,8.263179019725381,12.527106002286116,7.970446718768916,2.3611463079324992,0.6908483012527521,0.2493618973871517,0.1108814431699427,0.064366760522901,0.0418827475072975,0.0286828231066653,0.0199583270421934,0.0139507666504176,64.9031916185985,68.83224412677406,0.0097172708830504,1.021395121331346,1.0511784538841342,2.3062029380699496,2.281561781407356
g050,1.2386130392641372,7.5540882275361,11.498394160156126,7.574425698223006,2.528603663032119,0.9169672010274664,0.4014317516884247,0.1755546456948047,0.0773046618037954,0.0422655329150229,0.027849868713102,0.0196641692788288,0.0141320558809398,70.02028843142399,81.50947265625783,0.0095271569265063,1.163831919477788,1.4051351817463356,2.657030314439093,3.0546959723215195
g075,1.0807887771147069,6.694792114210336,10.35277813996292,7.116604216265312,2.6248269682573997,1.112758272187957,0.5630762034912732,0.2590685617488378,0.0985312645356431,0.0444949329800421,0.0269336463784748,0.0189129661601746,0.0138389509550217,73.95909321778157,93.4811590031874,0.0094078167707766,1.4915532801735594,2.0600878464800823,3.323447316531277,4.480898481654667
g100,0.919677367162691,5.801783214216681,9.21731326757796,6.593852901771202,2.6108209461133534,1.224485354068377,0.7162549680778567,0.3851521541040165,0.1481915490222881,0.0558764168439476,0.0275705843067347,0.0178046149310337,0.0129286853485483,76.41630037337497,104.01342985402384,0.00950125561055,2.245834232398056,3.229052982968481,4.679323625228329,7.0908168558260805
g125,0.7869074015566894,5.041812926743249,8.207956918007248,6.055013795559574,2.5107237565435283,1.2301589732275051,0.7826483191285775,0.4793811008798629,0.2058528269970102,0.0763755807937357,0.0317070809996621,0.0173743536012299,0.0118320429309566,77.4415888465777,112.85685280558288,0.0098259014764215,3.833281816558297,5.167218418967213,7.446260899979341,12.272108061438932
g150,0.6813373137500434,4.416787609453107,7.307118608805498,5.5446200295280414,2.395488406072036,1.2207176782757303,0.841560619908801,0.5843436764863326,0.2858809777625139,0.1132936040339939,0.0431462413484067,0.0192819108422337,0.0111868759245063,77.07809217475247,119.7698702578901,0.0103431367528357,6.67002921697578,8.052833505696663,12.642577747202594,22.12894284846353
g175,0.5857752247399203,3.841742894120223,6.463882032722423,5.051517322896889,2.2390743744499706,1.1384320650386652,0.8024224822450813,0.6065477106765895,0.3374651760810079,0.1501619629809236,0.0592753521254916,0.0239265090431626,0.0114502074287367,75.46251798899648,124.68705952262144,0.0111663362282583,10.82603899393801,11.856768071046488,21.05408458497265,38.217879637726845
g200,0.5022098478694706,3.328735966529518,5.714666184557321,4.598624208455813,2.085292986265612,1.044298511602722,0.7329576462387409,0.5871059100549944,0.3583857241928394,0.1763058840590657,0.0752783643392475,0.0303865131104104,0.0128762636630248,73.41762716680135,128.4909857998996,0.0122879189799531,15.79608254105895,16.18421012998187,32.21668628278151,60.03909092399343
g225,0.4322151150846416,2.8930451976071767,5.070479710569512,4.187424195961349,1.937754939517204,0.9419398812380808,0.6354526412149448,0.5151019135454096,0.3347847414682774,0.177658952308503,0.0817319333379061,0.0344341272298859,0.0142288353934067,71.14054284591374,131.71955527428753,0.0136965378558664,20.739690397669417,20.309896182777536,44.28714796620662,85.36204723730795
