,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,C609,C370,HCO+4,H2S1,H2S2,H2S3,H2
g000,0.0506758670173764,0.341017324551375,0.6530017309073458,0.5809999073824678,0.2200328966845077,0.0596648193608331,0.0206690550694778,0.0119081320769168,0.0087126459295436,0.0061750706417697,0.0043674538937205,0.0030813653075403,0.0021568163553324,1.0413526380150404,1.3896155587657202,0.0013515878428681,0.0115746351899869,0.0178795287801514,0.0467229932199461,0.0883247835081079
g025,0.0509387934751577,0.3459512752068807,0.67032531586888,0.6130524151426029,0.2608036856877564,0.0906849603217641,0.0344702880652161,0.0155838074339293,0.0092037126817846,0.0063289302483314,0.0046166064647999,0.0034079776141871,0.0025106100278761,1.2765437136430016,1.934208213855696,0.0013301695417009,0.0126575857116324,0.0205528335113652,0.0499987848888757,0.0962968022080954
g050,0.0506181868449195,0.3458752168422452,0.6749472077716063,0.629184386019654,0.2927884064454676,0.1254240732865443,0.0592792233915573,0.0266642084279911,0.0116124132557925,0.0065439892650691,0.0045638741902142,0.0034120996148413,0.0025788684133066,1.5104334526789327,2.5521044472322387,0.0013224437440881,0.0140952678742776,0.0254892279817338,0.0560968349900263,0.1124836787113515
g075,0.0498250643661039,0.3417336987288835,0.6693548143031958,0.6326106065961113,0.3162366407415976,0.1579420637248296,0.0876441575937493,0.0423590437101539,0.0159764233627018,0.0072041323568087,0.0045099460128585,0.003326061765145,0.00254955410882,1.7298326932617138,3.198274221755311,0.0013251957184476,0.0162378105632089,0.034532818473712,0.0667376439541562,0.1482924984412676
g100,0.0486186932337938,0.3339239275664425,0.653921178304396,0.6216182693957029,0.3257454037523901,0.1811899991586024,0.1179240184177259,0.0675118697830222,0.0262377383225962,0.009767711987032,0.0048049856834113,0.0031924383975984,0.0024112114296336,1.9290127511535449,3.8368568941679473,0.0013600051505671,0.0202040132162789,0.0512489424979989,0.0866296510437875,0.2171645787686532
g125,0.0470768758656424,0.3233097667079189,0.631424086761868,0.5997116797167356,0.3222072447380384,0.1893895197550085,0.1363196938337276,0.09004184079293,0.0397319618821078,0.0146778741976219,0.0059380128420811,0.0032279094095612,0.002244130025419,2.108359892357918,4.439757312116749,0.0014320714445727,0.0292267632613164,0.0816884119879599,0.1277695144309033,0.3363512451883618
g150,0.045440063545064,0.3115958927867439,0.6054539238370755,0.5735019714578192,0.3157810272947814,0.1951160767764152,0.1532105349245584,0.1149072749180083,0.058192527464235,0.0232347830653049,0.0086898076565735,0.0037825786270156,0.0021803128878812,2.2675460008477124,4.990045109804033,0.0015348638836449,0.0511806799570877,0.1365677825712039,0.2219597462322387,0.5713353521264714
g175,0.0436085278680757,0.2983822879813965,0.5751554745486797,0.5413598945350715,0.3009062923105137,0.1872384090344191,0.1516880060415802,0.1242274036180024,0.0713236155976805,0.0319548754671832,0.0124791355731833,0.0049304533160959,0.0023150582823168,2.412982620139754,5.502191181887614,0.0016869028077212,0.0958891803196931,0.2293739987557046,0.4297660580420995,1.0368308650349485
g200,0.041498573048256,0.2834801832466616,0.5416347648837636,0.5077101602340915,0.284097605777903,0.1748314180664482,0.1415115387411598,0.1224967810573584,0.0766510685300875,0.0378382982188893,0.0160265816004168,0.0063815686218929,0.0026648800602393,2.5522557608287118,5.997752699384718,0.0018888119148884,0.1687858103427803,0.3604685292902493,0.7846069499321047,1.7689884476430595
g225,0.0388661231312109,0.2656983704916676,0.504459349975829,0.474294304525087,0.2662491947322483,0.1585784986251167,0.1231686290761452,0.1075153295742447,0.0713053569398484,0.0378448446760505,0.0172512027697694,0.0071824065641095,0.0029361242337853,2.686602184202357,6.486468457922055,0.0021428370032845,0.2794944025824319,0.527451789871357,1.3107403017600987,2.810216679577848
g250,0.0355787910570963,0.2442973731695461,0.4642896158715829,0.4432091174310705,0.2492092244578908,0.1418557011483338,0.1030693737418941,0.0873532163491589,0.0608888290918719,0.0335404254947917,0.0158419658699722,0.0068024950022136,0.0028206548735661,2.817381454551512,6.976268770580363,0.0024500765766914,0.4230602955280475,0.6960921944405628,1.9376728417882751,4.0486890006939
g275,0.0317336594985972,0.2198538101420938,0.4244010796996722,0.4165208208831443,0.2357867479032717,0.1293163227277386,0.0875397353154274,0.0691818441890603,0.049903543856878,0.0275479911015303,0.0130332120769892,0.0056499703209156,0.00238267090104,2.9391334575175625,7.470087928650074,0.0028085679364491,0.5584430978672349,0.8237853778570451,2.510566003997745,5.281863651164915
g300,0.0281652918259362,0.1968311454626758,0.3906842885167075,0.3944935663001855,0.2261436741347764,0.1203092804303155,0.0750701596045915,0.05231724321197,0.0374992426210358,0.0206145199761805,0.00980885844622,0.0043527421858357,0.0019123727246528,3.046571141672161,7.96135291287666,0.0032309655710852,0.6704358157814369,0.8795991418899445,2.893813913777143,6.229056511229933
