,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13,C609,C370,HCO+4,H2S1,H2S2,H2S3,H2
g000,0.2387274670842955,1.5234777444992684,2.646032108701615,2.006012741527386,0.6059628519418891,0.148444521366241,0.0503965599817002,0.0283830923629324,0.020336217307506,0.0139696522029121,0.009542766563812,0.0065174317649319,0.004435946325563,6.216274631796627,7.09833685093517,0.0032202960443631,0.082386834958014,0.0990099295552379,0.2501978038497904,0.3395987834476409
g025,0.2340027917404258,1.5047718405671666,2.6260615488390817,2.023677339221156,0.6947334860818658,0.2211630354969037,0.0813934021445512,0.0362888550445438,0.0212267200858238,0.0141698899923823,0.0099946599081112,0.0071604668994436,0.0051486822833836,7.280054324076421,9.376334821478384,0.0031478284095346,0.0887642565337777,0.1164881030840523,0.2696222334882816,0.3782436029711801
g050,0.2260447936832246,1.4625174103806922,2.559416122017605,1.9955654366726143,0.7595388892117224,0.2983007276231352,0.1341959517384301,0.0591506436209324,0.025986474496348,0.0144576354355086,0.0098050508196353,0.0071356967059538,0.005280864352799,8.279636241321498,11.817113927405885,0.0031061984803726,0.0982110898433492,0.148750906418901,0.3040952145470141,0.4635934707252993
g075,0.2168654326921852,1.407836856002838,2.4595208446169585,1.933848390491904,0.801124770430876,0.366184386854652,0.1917990216480538,0.0899990250963908,0.0342290588213379,0.015527938698428,0.0095844414178464,0.0069164760263542,0.0052054442783771,9.173983709938993,14.259196229867518,0.0030882539035468,0.1156768007258929,0.20853618039148,0.3657627474515916,0.6413362400826356
g100,0.2059339657079747,1.339511281549674,2.324108861251216,1.8380690111570224,0.807917920291274,0.4086858279377489,0.2494578931791361,0.1379487164940165,0.0535827600853496,0.020218410417702,0.0100187448992578,0.0065911453427867,0.0049089548354216,9.965801423454815,16.603296876847107,0.0031429488211127,0.1548656371853955,0.3196532059368287,0.4879667557801697,0.9590758372822178
g125,0.1915420298137284,1.250587972827587,2.156522141882395,1.722255566784305,0.7859309640799749,0.417296511924134,0.2801829151911083,0.1781917119612634,0.078079153440099,0.0291510130040383,0.0120237795499448,0.0065890439087054,0.0045566535783332,10.668462011596642,18.80185639361762,0.0032766085409246,0.2507925836699441,0.520560177396773,0.7538458530240989,1.5469465624795218
g150,0.172960601828752,1.1379336285342292,1.967273605550268,1.6036449635482897,0.758021742626505,0.4209987806166435,0.3084978704894666,0.2233819388776863,0.112296459039665,0.0452112310730251,0.0172247651068309,0.0076274719461558,0.004418660865053,11.273908808829736,20.826200108819712,0.0034767912734552,0.4582138944965899,0.8586578679106672,1.329717127384027,2.7349131741589043
g175,0.1514624955401816,1.0091503720731554,1.771796293417954,1.481767887176352,0.7145278335627525,0.3988847991612945,0.3017706107225979,0.2393994455451387,0.1372514330983153,0.0623429877047569,0.0248399994793307,0.0099928461118685,0.0047322480183303,11.783655716842723,22.704717699531063,0.0037837876667973,0.8176103861684731,1.3677108982745825,2.4379862484467147,4.918915563575477
g200,0.1319573339161854,0.8884607555292323,1.5966027103362206,1.3648217847010324,0.6697392457018073,0.3705335013310024,0.2812298412835345,0.2375315145810716,0.1497724899702002,0.0756139085215771,0.0328726847978049,0.0133779385709788,0.0056514633923274,12.195920482102562,24.46119533286978,0.0041983350010462,1.3374983185672662,2.0311169669523914,4.170018093558265,8.220545505833638
g225,0.1191614645624991,0.8025716391335675,1.452398423663344,1.2548400187516109,0.6248169700338663,0.3368857115351928,0.2471976496070098,0.2127181207433877,0.1434865191608218,0.0785963377203298,0.0370745300371157,0.0158915598821455,0.0066194193920197,12.50469433331246,26.08891386440504,0.0047203522436573,1.994003414400178,2.7724646844333622,6.386589117372239,12.46043555255841
g250,0.10733021883108,0.7250451778975029,1.3159553716219454,1.153716158505551,0.583010447345048,0.3032969325604518,0.2098595536312164,0.1772302541689634,0.1264139989321387,0.0723062716874283,0.0355205504752316,0.0157480947307188,0.0066654590548457,12.768418979942664,27.670972072063797,0.0053538533947092,2.6766061679452235,3.423732469146741,8.64526544768511,17.037934223892368
g275,0.0953593882047386,0.6472932293038495,1.1860306412926007,1.0646249792805682,0.5499575485428285,0.2779813444896904,0.1802220300694769,0.1432366140516523,0.1061561173872846,0.0610395656672233,0.0300167213688023,0.013371306398349,0.0057196720779082,12.949764809012231,29.21733081279959,0.0060944467683534,3.2162836167897173,3.841511760581551,10.427129900769652,21.229584234575047
g300,0.0842780035579757,0.5754747046558032,1.0700771650525092,0.9894302346522692,0.5261283487578524,0.2603393995597671,0.1563747678774893,0.1108398181257513,0.0824060060376495,0.0473932940306918,0.0233303848545075,0.0105164822254722,0.004624018556731,13.030704500756336,30.667755438607774,0.0069747358127905,3.5858696903752163,3.983428241786617,11.428653409172714,24.15043257408088
g325,0.0744615918101407,0.51237702704641,0.9714307739600184,0.9274821229643904,0.510557200618337,0.249590020165925,0.1406312406657942,0.0879899500642231,0.0627927689447729,0.0369430502038692,0.0182917930586095,0.0083734812036946,0.0038158394836909,12.97128780805035,31.927926529678857,0.0079425961929289,3.842678302953388,3.9369888153444337,11.704956060813783,25.41903246838549
g350,0.0667932528575706,0.4617186914805318,0.8928189057522177,0.8791088359394367,0.5058082075138585,0.2472964345239124,0.1336066313690492,0.0749133383953887,0.0477801051163975,0.0284996156376771,0.0139804258868604,0.0064698231646303,0.0030934551040729,12.746919611521776,32.88727090969404,0.0090074869068022,4.0652087579546174,3.792365682311226,11.483982755306926,25.244052776177963
g375,0.0607393396850149,0.4218586416420438,0.8281928058593863,0.8402414869189019,0.5092024195988497,0.253164267661102,0.1343289791582355,0.0686940001434208,0.0363108340283237,0.0203294117168511,0.0097074109221664,0.0045768143978512,0.0023722863449892,12.373609551339497,33.44726295899328,0.0102070595405369,4.304015234256612,3.6132338246027538,11.070695149732064,24.374819330850496
g400,0.0556037070842214,0.3886975612606568,0.7764094950636341,0.8167683883511934,0.5272445263596611,0.2702345562360557,0.1435224417049364,0.0702516732736342,0.0311315231478334,0.0146794256167267,0.006755035534095,0.0032728744312537,0.0018528044575592,11.89898919247354,33.66022218439539,0.0115556792475055,4.554657579308683,3.4132840976546337,10.494060888534037,22.983292444339604
g425,0.0507894444478328,0.3589865257022464,0.7340344087116581,0.8063783820754769,0.5571280339797194,0.2970807204637762,0.1624933404374424,0.080997884614675,0.0329299921017308,0.0123959313241586,0.0051131597388568,0.0024602558716987,0.0014687228299412,11.385429357879753,33.689398877482745,0.0131026420525866,4.811884647461794,3.201318782896237,9.8643628795795,21.42884960160453
g450,0.0469962972153683,0.3358973544653271,0.7047094213294166,0.8114919214753243,0.6025821951831333,0.3363893742424967,0.18931471631514,0.0981983451395498,0.0410690244568247,0.0135796153417226,0.0044785133838339,0.0019280309082518,0.0011475836562118,10.912253607142372,33.754286661370344,0.0148261092896706,5.07623412221589,2.97548061218986,9.19281023013262,19.78542527562113
g475,0.043413275632513,0.3160634317596344,0.6863772266966938,0.8342610058730139,0.6667950664043584,0.3926289892278092,0.2284837130171328,0.1254709115669865,0.056675321057619,0.019039216348842,0.0051560931418286,0.0016775876076264,0.0008919878166451,10.500519720878474,33.863562127799206,0.0168118251835274,5.347774884254545,2.7361818718693383,8.491743333508282,18.1175330762769
g500,0.0407126361719304,0.3021187905705514,0.6820522390483358,0.8760466910433082,0.7532506575434729,0.4712326677146843,0.2827452691925628,0.1637631609204066,0.0808880311968727,0.0301087212823031,0.0080174732628307,0.0019073300246794,0.0007344336365077,10.113253633495871,33.90412361525022,0.0191710184023841,5.654588572522668,2.507429987837203,7.803149862718902,16.496607911810436
g525,0.0389355025868494,0.2946300156157558,0.6925422827167611,0.9370406214302652,0.8649130938680806,0.5789121244614489,0.3569422239364072,0.2162113871586043,0.1157558809890123,0.048690856821284,0.0145503010352318,0.0031386348266427,0.0007582821766061,9.734238051917062,33.87008356163684,0.0219400609161549,5.991189219755661,2.29831445230494,7.157672826429988,14.953460044606128
g550,0.0383572238200887,0.2960920709905621,0.7193168265890355,1.0176416710946554,1.0061389360516124,0.725663495405393,0.4592309493382986,0.2876813231301174,0.1645371985017572,0.077507308068404,0.0269448372803907,0.006433727918012,0.0012033450063031,9.343164663658786,33.70016743489842,0.0252384260633765,6.297103719699617,2.085682138945175,6.517776797867886,13.46332387957254
g575,0.0375898975278192,0.2978719124986301,0.7516131522986496,1.1162517526849265,1.1792812799348458,0.9212823370735188,0.6018110299227075,0.38586172277227,0.2322622619327555,0.1202680752125206,0.0482123089822875,0.0136916959048943,0.0026723823732668,8.957158121235508,33.44729669248962,0.0291909986248097,6.547124224715316,1.8632306951986133,5.862328242614097,12.022266435883434
g600,0.0371494240885911,0.3018706717482483,0.7908704639748825,1.2315167063063135,1.383807070312495,1.173171625048455,0.8010798715641793,0.5220220013098188,0.3260404218249207,0.1820849628262744,0.0825867870541836,0.027962395132027,0.0064841652174502,8.572606923485589,33.09540420973199,0.0339315757851909,6.741141491693724,1.6349980180988395,5.193783411185062,10.619121116070987
